; Candidate 7178
; ADRP+ADD at VM 0xfffffff00885d738 (fileoff 0x1859738): page=0x1fe98c000 add_imm=0xe80

0xfffffff00885d6b8: 28308052  mov	w8, #0x181
0xfffffff00885d6bc: 494effd0  adrp	x9, #0xfffffff007227000
0xfffffff00885d6c0: 29c11f91  add	x9, x9, #0x7f0
0xfffffff00885d6c4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00885d6c8: 484effd0  adrp	x8, #0xfffffff007227000
0xfffffff00885d6cc: 08811191  add	x8, x8, #0x460
0xfffffff00885d6d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885d6d4: 880c8052  mov	w8, #0x64
0xfffffff00885d6d8: 404effd0  adrp	x0, #0xfffffff007227000
0xfffffff00885d6dc: 00ec1b91  add	x0, x0, #0x6fb
0xfffffff00885d6e0: 4a010014  b	#0xfffffff00885dc08
0xfffffff00885d6e4: b25a0194  bl	#0xfffffff0088b41ac
0xfffffff00885d6e8: f60300aa  mov	x22, x0
0xfffffff00885d6ec: 80008052  mov	w0, #4
0xfffffff00885d6f0: 58780094  bl	#0xfffffff00887b850
0xfffffff00885d6f4: a84240b9  ldr	w8, [x21, #0x40]
0xfffffff00885d6f8: f4cf04a9  stp	x20, x19, [sp, #0x48]
0xfffffff00885d6fc: f5a303a9  stp	x21, x8, [sp, #0x38]
0xfffffff00885d700: 484effb0  adrp	x8, #0xfffffff007226000
0xfffffff00885d704: 0af10c91  add	x10, x8, #0x33c
0xfffffff00885d708: 08298052  mov	w8, #0x148
0xfffffff00885d70c: 494effd0  adrp	x9, #0xfffffff007227000
0xfffffff00885d710: 29c11f91  add	x9, x9, #0x7f0
0xfffffff00885d714: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885d718: 484effd0  adrp	x8, #0xfffffff007227000
0xfffffff00885d71c: 08811191  add	x8, x8, #0x460
0xfffffff00885d720: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885d724: 880c8052  mov	w8, #0x64
0xfffffff00885d728: c34fff90  adrp	x3, #0xfffffff007255000
0xfffffff00885d72c: 63440f91  add	x3, x3, #0x3d1
0xfffffff00885d730: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885d734: f60300f9  str	x22, [sp]
0xfffffff00885d738: 604cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00885d73c: 00003a91  add	x0, x0, #0xe80
0xfffffff00885d740: 418dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00885d744: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885d748: 02008052  mov	w2, #0
0xfffffff00885d74c: 7956eb97  bl	#0xfffffff008333130
0xfffffff00885d750: 3b000014  b	#0xfffffff00885d83c
0xfffffff00885d754: 800c8052  mov	w0, #0x64
0xfffffff00885d758: 81008052  mov	w1, #4
0xfffffff00885d75c: 1d780094  bl	#0xfffffff00887b7d0
0xfffffff00885d760: 802e0034  cbz	w0, #0xfffffff00885dd30
0xfffffff00885d764: 800c8052  mov	w0, #0x64
0xfffffff00885d768: 2c780094  bl	#0xfffffff00887b818
0xfffffff00885d76c: f60300aa  mov	x22, x0
0xfffffff00885d770: 8f5a0194  bl	#0xfffffff0088b41ac
0xfffffff00885d774: f50300aa  mov	x21, x0
0xfffffff00885d778: 80008052  mov	w0, #4
0xfffffff00885d77c: 35780094  bl	#0xfffffff00887b850
0xfffffff00885d780: f60b0034  cbz	w22, #0xfffffff00885d8fc
0xfffffff00885d784: e88b40b9  ldr	w8, [sp, #0x88]
0xfffffff00885d788: 290340b9  ldr	w9, [x25]
0xfffffff00885d78c: 4a4effd0  adrp	x10, #0xfffffff007227000
0xfffffff00885d790: 4abd1991  add	x10, x10, #0x66f
0xfffffff00885d794: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff00885d798: 882c8052  mov	w8, #0x164
0xfffffff00885d79c: 494effd0  adrp	x9, #0xfffffff007227000
0xfffffff00885d7a0: 29c11f91  add	x9, x9, #0x7f0
0xfffffff00885d7a4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885d7a8: 484effd0  adrp	x8, #0xfffffff007227000
0xfffffff00885d7ac: 08811191  add	x8, x8, #0x460
0xfffffff00885d7b0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885d7b4: e00b00f9  str	x0, [sp, #0x10]
