; Candidate 7767
; ADRP+ADD at VM 0xfffffff00887e314 (fileoff 0x187a314): page=0x1fe96b000 add_imm=0xe80

0xfffffff00887e294: 030080d2  mov	x3, #0
0xfffffff00887e298: f10309aa  mov	x17, x9
0xfffffff00887e29c: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff00887e2a0: 11093fd7  blraa	x8, x17
0xfffffff00887e2a4: 1f000071  cmp	w0, #0
0xfffffff00887e2a8: e87c8012  mov	w8, #-0x3e8
0xfffffff00887e2ac: f503881a  csel	w21, wzr, w8, eq
0xfffffff00887e2b0: ff0200f9  str	xzr, [x23]
0xfffffff00887e2b4: c812188b  add	x8, x22, x24, lsl #4
0xfffffff00887e2b8: 1f0900b9  str	wzr, [x8, #8]
0xfffffff00887e2bc: 1f000014  b	#0xfffffff00887e338
0xfffffff00887e2c0: 15008052  mov	w21, #0
0xfffffff00887e2c4: 1d000014  b	#0xfffffff00887e338
0xfffffff00887e2c8: b9d70094  bl	#0xfffffff0088b41ac
0xfffffff00887e2cc: f50300aa  mov	x21, x0
0xfffffff00887e2d0: 80008052  mov	w0, #4
0xfffffff00887e2d4: 5ff5ff97  bl	#0xfffffff00887b850
0xfffffff00887e2d8: e80314aa  mov	x8, x20
0xfffffff00887e2dc: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff00887e2e0: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00887e2e4: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e2e8: 08b50a91  add	x8, x8, #0x2ad
0xfffffff00887e2ec: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00887e2f0: a8248052  mov	w8, #0x125
0xfffffff00887e2f4: 694dffd0  adrp	x9, #0xfffffff00722c000
0xfffffff00887e2f8: 29c11191  add	x9, x9, #0x470
0xfffffff00887e2fc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887e300: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e304: 08b91891  add	x8, x8, #0x62e
0xfffffff00887e308: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887e30c: 280b8052  mov	w8, #0x59
0xfffffff00887e310: f52300a9  stp	x21, x8, [sp]
0xfffffff00887e314: 404bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887e318: 00003a91  add	x0, x0, #0xe80
0xfffffff00887e31c: 418cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887e320: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887e324: e34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff00887e328: 63ec0691  add	x3, x3, #0x1bb
0xfffffff00887e32c: 02008052  mov	w2, #0
0xfffffff00887e330: 80d3ea97  bl	#0xfffffff008333130
0xfffffff00887e334: 157d8012  mov	w21, #-0x3e9
0xfffffff00887e338: 200b8052  mov	w0, #0x59
0xfffffff00887e33c: e1008052  mov	w1, #7
0xfffffff00887e340: 24f5ff97  bl	#0xfffffff00887b7d0
0xfffffff00887e344: 00060034  cbz	w0, #0xfffffff00887e404
0xfffffff00887e348: 200b8052  mov	w0, #0x59
0xfffffff00887e34c: 33f5ff97  bl	#0xfffffff00887b818
0xfffffff00887e350: f70300aa  mov	x23, x0
0xfffffff00887e354: 96d70094  bl	#0xfffffff0088b41ac
0xfffffff00887e358: f60300aa  mov	x22, x0
0xfffffff00887e35c: e0008052  mov	w0, #7
0xfffffff00887e360: 3cf5ff97  bl	#0xfffffff00887b850
0xfffffff00887e364: 17020034  cbz	w23, #0xfffffff00887e3a4
0xfffffff00887e368: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff00887e36c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00887e370: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00887e374: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e378: 09c11191  add	x9, x8, #0x470
0xfffffff00887e37c: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887e380: 08b91891  add	x8, x8, #0x62e
0xfffffff00887e384: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00887e388: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00887e38c: 280b8052  mov	w8, #0x59
0xfffffff00887e390: 004dfff0  adrp	x0, #0xfffffff007221000
