; Candidate 12337
; ADRP+ADD at VM 0xfffffff00908c154 (fileoff 0x2088154): page=0x1fe3cd000 add_imm=0xe24

0xfffffff00908c0d4: c00a0035  cbnz	w0, #0xfffffff00908c22c
0xfffffff00908c0d8: e8024039  ldrb	w8, [x23]
0xfffffff00908c0dc: 1f790071  cmp	w8, #0x1e
0xfffffff00908c0e0: 68010054  b.hi	#0xfffffff00908c10c
0xfffffff00908c0e4: e83740b9  ldr	w8, [sp, #0x34]
0xfffffff00908c0e8: 891eff90  adrp	x9, #0xfffffff00745c000
0xfffffff00908c0ec: 29a52391  add	x9, x9, #0x8e9
0xfffffff00908c0f0: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908c0f4: 4a792f91  add	x10, x10, #0xbde
0xfffffff00908c0f8: e87f01a9  stp	x8, xzr, [sp, #0x10]
0xfffffff00908c0fc: ea2700a9  stp	x10, x9, [sp]
0xfffffff00908c100: 801effb0  adrp	x0, #0xfffffff00745d000
0xfffffff00908c104: 00543391  add	x0, x0, #0xcd5
0xfffffff00908c108: c62bcb97  bl	#0xfffffff008357020
0xfffffff00908c10c: e03740b9  ldr	w0, [sp, #0x34]
0xfffffff00908c110: 9a7a0094  bl	#0xfffffff0090aab78
0xfffffff00908c114: 15008052  mov	w21, #0
0xfffffff00908c118: 80020039  strb	w0, [x20]
0xfffffff00908c11c: e83340b9  ldr	w8, [sp, #0x30]
0xfffffff00908c120: 680200b9  str	w8, [x19]
0xfffffff00908c124: 48018052  mov	w8, #0xa
0xfffffff00908c128: e9024039  ldrb	w9, [x23]
0xfffffff00908c12c: 1f01096b  cmp	w8, w9
0xfffffff00908c130: 83010054  b.lo	#0xfffffff00908c160
0xfffffff00908c134: e80315aa  mov	x8, x21
0xfffffff00908c138: 087d4093  sxtw	x8, w8
0xfffffff00908c13c: 891eff90  adrp	x9, #0xfffffff00745c000
0xfffffff00908c140: 29a52391  add	x9, x9, #0x8e9
0xfffffff00908c144: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908c148: 4a792f91  add	x10, x10, #0xbde
0xfffffff00908c14c: ea2700a9  stp	x10, x9, [sp]
0xfffffff00908c150: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908c154: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908c158: 00903891  add	x0, x0, #0xe24
0xfffffff00908c15c: b12bcb97  bl	#0xfffffff008357020
0xfffffff00908c160: e00315aa  mov	x0, x21
0xfffffff00908c164: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00908c168: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00908c16c: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00908c170: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00908c174: ffc30291  add	sp, sp, #0xb0
0xfffffff00908c178: ff0f5fd6  retab	
0xfffffff00908c17c: 08218052  mov	w8, #0x108
0xfffffff00908c180: 891effb0  adrp	x9, #0xfffffff00745d000
0xfffffff00908c184: 29a12f91  add	x9, x9, #0xbe8
0xfffffff00908c188: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00908c18c: 681effb0  adrp	x8, #0xfffffff007459000
0xfffffff00908c190: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908c194: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908c198: 4a492c91  add	x10, x10, #0xb12
0xfffffff00908c19c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff00908c1a0: ea0300f9  str	x10, [sp]
0xfffffff00908c1a4: 0c000014  b	#0xfffffff00908c1d4
0xfffffff00908c1a8: 087c4093  sxtw	x8, w0
0xfffffff00908c1ac: 49218052  mov	w9, #0x10a
0xfffffff00908c1b0: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908c1b4: 4aa12f91  add	x10, x10, #0xbe8
0xfffffff00908c1b8: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff00908c1bc: 691effb0  adrp	x9, #0xfffffff007459000
0xfffffff00908c1c0: 29b92d91  add	x9, x9, #0xb6e
0xfffffff00908c1c4: 8b1effb0  adrp	x11, #0xfffffff00745d000
0xfffffff00908c1c8: 6b593b91  add	x11, x11, #0xed6
0xfffffff00908c1cc: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00908c1d0: eb0300f9  str	x11, [sp]
