; Candidate 9880
; ADRP+ADD at VM 0xfffffff008b8ea04 (fileoff 0x1b8aa04): page=0x1fe7a2000 add_imm=0xd50

0xfffffff008b8e984: 297cc99b  umulh	x9, x1, x9
0xfffffff008b8e988: 29fd45d3  lsr	x9, x9, #5
0xfffffff008b8e98c: 0a068052  mov	w10, #0x30
0xfffffff008b8e990: 2a850a9b  msub	x10, x9, x10, x1
0xfffffff008b8e994: ea0100b5  cbnz	x10, #0xfffffff008b8e9d0
0xfffffff008b8e998: e80300aa  mov	x8, x0
0xfffffff008b8e99c: 2905098b  add	x9, x9, x9, lsl #1
0xfffffff008b8e9a0: 29ed7cd3  lsl	x9, x9, #4
0xfffffff008b8e9a4: 3f0100f1  cmp	x9, #0
0xfffffff008b8e9a8: 0a00f0d2  mov	x10, #-0x8000000000000000
0xfffffff008b8e9ac: 42b1899a  csel	x2, x10, x9, lt
0xfffffff008b8e9b0: 2078fff0  adrp	x0, #0xfffffff007a95000
0xfffffff008b8e9b4: 00c03291  add	x0, x0, #0xcb0
0xfffffff008b8e9b8: e10308aa  mov	x1, x8
0xfffffff008b8e9bc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008b8e9c0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008b8e9c8
0xfffffff008b8e9c4: 208e38d4  brk	#0xc471
0xfffffff008b8e9c8: 0821df17  b	#0xfffffff008356de8
0xfffffff008b8e9cc: c0035fd6  ret	
0xfffffff008b8e9d0: 7f2303d5  pacibsp	
0xfffffff008b8e9d4: ff0301d1  sub	sp, sp, #0x40
0xfffffff008b8e9d8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008b8e9dc: fdc30091  add	x29, sp, #0x30
0xfffffff008b8e9e0: 685c8952  mov	w8, #0x4ae3
0xfffffff008b8e9e4: ea3cffb0  adrp	x10, #0xfffffff00732b000
0xfffffff008b8e9e8: 4a7d2491  add	x10, x10, #0x91f
0xfffffff008b8e9ec: ea2302a9  stp	x10, x8, [sp, #0x20]
0xfffffff008b8e9f0: 08068052  mov	w8, #0x30
0xfffffff008b8e9f4: 0a3dffd0  adrp	x10, #0xfffffff007330000
0xfffffff008b8e9f8: 4aa93791  add	x10, x10, #0xdea
0xfffffff008b8e9fc: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008b8ea00: ea0700a9  stp	x10, x1, [sp]
0xfffffff008b8ea04: 003dffd0  adrp	x0, #0xfffffff007330000
0xfffffff008b8ea08: 00403591  add	x0, x0, #0xd50
0xfffffff008b8ea0c: c016e497  bl	#0xfffffff00849450c
0xfffffff008b8ea10: 7f2303d5  pacibsp	
0xfffffff008b8ea14: ff4302d1  sub	sp, sp, #0x90
0xfffffff008b8ea18: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008b8ea1c: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008b8ea20: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008b8ea24: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008b8ea28: fd030291  add	x29, sp, #0x80
0xfffffff008b8ea2c: f30300aa  mov	x19, x0
0xfffffff008b8ea30: ff4b00b9  str	wzr, [sp, #0x48]
0xfffffff008b8ea34: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff008b8ea38: 94018052  mov	w20, #0xc
0xfffffff008b8ea3c: e0030191  add	x0, sp, #0x40
0xfffffff008b8ea40: 81018052  mov	w1, #0xc
0xfffffff008b8ea44: 3ff8c697  bl	#0xfffffff007d4cb40
0xfffffff008b8ea48: c8048052  mov	w8, #0x26
0xfffffff008b8ea4c: e88b0079  strh	w8, [sp, #0x44]
0xfffffff008b8ea50: f43f00b9  str	w20, [sp, #0x3c]
0xfffffff008b8ea54: 750240f9  ldr	x21, [x19]
0xfffffff008b8ea58: e00315aa  mov	x0, x21
0xfffffff008b8ea5c: 0038ff97  bl	#0xfffffff008b5ca5c
0xfffffff008b8ea60: ff0700f9  str	xzr, [sp, #8]
0xfffffff008b8ea64: ff0b0039  strb	wzr, [sp, #2]
0xfffffff008b8ea68: e1030191  add	x1, sp, #0x40
0xfffffff008b8ea6c: e3f30091  add	x3, sp, #0x3c
0xfffffff008b8ea70: ff030079  strh	wzr, [sp]
0xfffffff008b8ea74: e00315aa  mov	x0, x21
0xfffffff008b8ea78: 82018052  mov	w2, #0xc
0xfffffff008b8ea7c: 04008052  mov	w4, #0
0xfffffff008b8ea80: 05008052  mov	w5, #0
