; Candidate 7919
; ADRP+ADD at VM 0xfffffff008887288 (fileoff 0x1883288): page=0x1fe962000 add_imm=0xe80

0xfffffff008887208: 88032837  tbnz	w8, #5, #0xfffffff008887278
0xfffffff00888720c: 686e40b9  ldr	w8, [x19, #0x6c]
0xfffffff008887210: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff008887214: e8430191  add	x8, sp, #0x50
0xfffffff008887218: e80300f9  str	x8, [sp]
0xfffffff00888721c: 204dffd0  adrp	x0, #0xfffffff00722d000
0xfffffff008887220: 00a43991  add	x0, x0, #0xe69
0xfffffff008887224: 8fc0d497  bl	#0xfffffff007db7460
0xfffffff008887228: 20000014  b	#0xfffffff0088872a8
0xfffffff00888722c: e0b30094  bl	#0xfffffff0088b41ac
0xfffffff008887230: f70300aa  mov	x23, x0
0xfffffff008887234: e00315aa  mov	x0, x21
0xfffffff008887238: 86d1ff97  bl	#0xfffffff00887b850
0xfffffff00888723c: 686e40b9  ldr	w8, [x19, #0x6c]
0xfffffff008887240: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008887244: e8430191  add	x8, sp, #0x50
0xfffffff008887248: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888724c: e80314aa  mov	x8, x20
0xfffffff008887250: f72300a9  stp	x23, x8, [sp]
0xfffffff008887254: 004bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008887258: 00003a91  add	x0, x0, #0xe80
0xfffffff00888725c: 018cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008887260: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008887264: a34effb0  adrp	x3, #0xfffffff00725c000
0xfffffff008887268: 63c83991  add	x3, x3, #0xe72
0xfffffff00888726c: 02008052  mov	w2, #0
0xfffffff008887270: b0afea97  bl	#0xfffffff008333130
0xfffffff008887274: 0d000014  b	#0xfffffff0088872a8
0xfffffff008887278: 686e40b9  ldr	w8, [x19, #0x6c]
0xfffffff00888727c: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff008887280: e8430191  add	x8, sp, #0x50
0xfffffff008887284: e80300f9  str	x8, [sp]
0xfffffff008887288: 004bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888728c: 00003a91  add	x0, x0, #0xe80
0xfffffff008887290: 018cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008887294: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008887298: a34effb0  adrp	x3, #0xfffffff00725c000
0xfffffff00888729c: 63203991  add	x3, x3, #0xe48
0xfffffff0088872a0: 02008052  mov	w2, #0
0xfffffff0088872a4: a3afea97  bl	#0xfffffff008333130
0xfffffff0088872a8: e00314aa  mov	x0, x20
0xfffffff0088872ac: e10315aa  mov	x1, x21
0xfffffff0088872b0: 48d1ff97  bl	#0xfffffff00887b7d0
0xfffffff0088872b4: e0080034  cbz	w0, #0xfffffff0088873d0
0xfffffff0088872b8: e00314aa  mov	x0, x20
0xfffffff0088872bc: 57d1ff97  bl	#0xfffffff00887b818
0xfffffff0088872c0: 9602f837  tbnz	w22, #0x1f, #0xfffffff008887310
0xfffffff0088872c4: d7021b12  and	w23, w22, #0x20
0xfffffff0088872c8: 18000052  eor	w24, w0, #1
0xfffffff0088872cc: b8b30094  bl	#0xfffffff0088b41ac
0xfffffff0088872d0: f60300aa  mov	x22, x0
0xfffffff0088872d4: e00315aa  mov	x0, x21
0xfffffff0088872d8: 5ed1ff97  bl	#0xfffffff00887b850
0xfffffff0088872dc: 0817572a  orr	w8, w24, w23, lsr #5
0xfffffff0088872e0: 28030037  tbnz	w8, #0, #0xfffffff008887344
0xfffffff0088872e4: 68264e29  ldp	w8, w9, [x19, #0x70]
0xfffffff0088872e8: 6a2e4f29  ldp	w10, w11, [x19, #0x78]
0xfffffff0088872ec: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff0088872f0: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff0088872f4: e8430191  add	x8, sp, #0x50
0xfffffff0088872f8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088872fc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008887300: 204dffd0  adrp	x0, #0xfffffff00722d000
0xfffffff008887304: 00383d91  add	x0, x0, #0xf4e
