; Candidate 16040
; ADRP+ADD at VM 0xfffffff009e0dbac (fileoff 0x2e09bac): page=0x1fd896000 add_imm=0xe00

0xfffffff009e0db2c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009e0db30: ff430191  add	sp, sp, #0x50
0xfffffff009e0db34: ff0f5fd6  retab	
0xfffffff009e0db38: 7f2303d5  pacibsp	
0xfffffff009e0db3c: ffc300d1  sub	sp, sp, #0x30
0xfffffff009e0db40: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009e0db44: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009e0db48: fd830091  add	x29, sp, #0x20
0xfffffff009e0db4c: f30301aa  mov	x19, x1
0xfffffff009e0db50: f40300aa  mov	x20, x0
0xfffffff009e0db54: 61d0feb0  adrp	x1, #0xfffffff00781a000
0xfffffff009e0db58: 21ac0d91  add	x1, x1, #0x36b
0xfffffff009e0db5c: 9ad3ff97  bl	#0xfffffff009e029c4
0xfffffff009e0db60: e00300b4  cbz	x0, #0xfffffff009e0dbdc
0xfffffff009e0db64: 61d0feb0  adrp	x1, #0xfffffff00781a000
0xfffffff009e0db68: 21380f91  add	x1, x1, #0x3ce
0xfffffff009e0db6c: d0d1ff97  bl	#0xfffffff009e022ac
0xfffffff009e0db70: 600300b4  cbz	x0, #0xfffffff009e0dbdc
0xfffffff009e0db74: 61d0feb0  adrp	x1, #0xfffffff00781a000
0xfffffff009e0db78: 21900f91  add	x1, x1, #0x3e4
0xfffffff009e0db7c: ecd1ff97  bl	#0xfffffff009e0232c
0xfffffff009e0db80: e0020034  cbz	w0, #0xfffffff009e0dbdc
0xfffffff009e0db84: 802d00d0  adrp	x0, #0xfffffff00a3bf000
0xfffffff009e0db88: 00c00a91  add	x0, x0, #0x2b0
0xfffffff009e0db8c: e10313aa  mov	x1, x19
0xfffffff009e0db90: 8a740094  bl	#0xfffffff009e2adb8
0xfffffff009e0db94: c0010034  cbz	w0, #0xfffffff009e0dbcc
0xfffffff009e0db98: e00314aa  mov	x0, x20
0xfffffff009e0db9c: 0dd2ff97  bl	#0xfffffff009e023d0
0xfffffff009e0dba0: e00314aa  mov	x0, x20
0xfffffff009e0dba4: 0bd2ff97  bl	#0xfffffff009e023d0
0xfffffff009e0dba8: e04f00a9  stp	x0, x19, [sp]
0xfffffff009e0dbac: a0c4fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e0dbb0: 00003891  add	x0, x0, #0xe00
0xfffffff009e0dbb4: e1f8fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e0dbb8: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e0dbbc: 83d0fef0  adrp	x3, #0xfffffff007820000
0xfffffff009e0dbc0: 63c00091  add	x3, x3, #0x30
0xfffffff009e0dbc4: 42008052  mov	w2, #2
0xfffffff009e0dbc8: 5a959497  bl	#0xfffffff008333130
0xfffffff009e0dbcc: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009e0dbd0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009e0dbd4: ffc30091  add	sp, sp, #0x30
0xfffffff009e0dbd8: ff0f5fd6  retab	
0xfffffff009e0dbdc: 802d00d0  adrp	x0, #0xfffffff00a3bf000
0xfffffff009e0dbe0: 00c00a91  add	x0, x0, #0x2b0
0xfffffff009e0dbe4: e10313aa  mov	x1, x19
0xfffffff009e0dbe8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009e0dbec: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009e0dbf0: ffc30091  add	sp, sp, #0x30
0xfffffff009e0dbf4: ff2303d5  autibsp	
0xfffffff009e0dbf8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009e0dbfc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009e0dc04
0xfffffff009e0dc00: 208e38d4  brk	#0xc471
0xfffffff009e0dc04: 1c750014  b	#0xfffffff009e2b074
0xfffffff009e0dc08: 7f2303d5  pacibsp	
0xfffffff009e0dc0c: ff0307d1  sub	sp, sp, #0x1c0
0xfffffff009e0dc10: fc6f1aa9  stp	x28, x27, [sp, #0x1a0]
0xfffffff009e0dc14: fd7b1ba9  stp	x29, x30, [sp, #0x1b0]
0xfffffff009e0dc18: fdc30691  add	x29, sp, #0x1b0
0xfffffff009e0dc1c: e8f8fe90  adrp	x8, #0xfffffff007d29000
0xfffffff009e0dc20: 086544f9  ldr	x8, [x8, #0x8c8]
0xfffffff009e0dc24: 080140f9  ldr	x8, [x8]
0xfffffff009e0dc28: a8831ef8  stur	x8, [x29, #-0x18]
