; Candidate 1083
; ADRP+ADD at VM 0xfffffff0081f80e0 (fileoff 0x11f40e0): page=0x1fd3000 add_imm=0xd24

0xfffffff0081f8060: 69000036  tbz	w9, #0, #0xfffffff0081f806c
0xfffffff0081f8064: 13028052  mov	w19, #0x10
0xfffffff0081f8068: 16000014  b	#0xfffffff0081f80c0
0xfffffff0081f806c: 090201d0  adrp	x9, #0xfffffff00a23a000
0xfffffff0081f8070: 29fd5f39  ldrb	w9, [x9, #0x7ff]
0xfffffff0081f8074: 69002837  tbnz	w9, #5, #0xfffffff0081f8080
0xfffffff0081f8078: b3058052  mov	w19, #0x2d
0xfffffff0081f807c: 11000014  b	#0xfffffff0081f80c0
0xfffffff0081f8080: 09fe00f0  adrp	x9, #0xfffffff00a1bb000
0xfffffff0081f8084: 296940f9  ldr	x9, [x9, #0xd0]
0xfffffff0081f8088: ea0001d0  adrp	x10, #0xfffffff00a216000
0xfffffff0081f808c: 496505f9  str	x9, [x10, #0xac8]
0xfffffff0081f8090: a9bbfff0  adrp	x9, #0xfffffff00796f000
0xfffffff0081f8094: 299544f9  ldr	x9, [x9, #0x928]
0xfffffff0081f8098: 3f0113eb  cmp	x9, x19
0xfffffff0081f809c: 60000054  b.eq	#0xfffffff0081f80a8
0xfffffff0081f80a0: 696240b9  ldr	w9, [x19, #0x60]
0xfffffff0081f80a4: 02000014  b	#0xfffffff0081f80ac
0xfffffff0081f80a8: 09008052  mov	w9, #0
0xfffffff0081f80ac: 13008052  mov	w19, #0
0xfffffff0081f80b0: ea0001d0  adrp	x10, #0xfffffff00a216000
0xfffffff0081f80b4: 49c10ab9  str	w9, [x10, #0xac0]
0xfffffff0081f80b8: 29008052  mov	w9, #1
0xfffffff0081f80bc: 09451b39  strb	w9, [x8, #0x6d1]
0xfffffff0081f80c0: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f80c4: 00903491  add	x0, x0, #0xd24
0xfffffff0081f80c8: 0bddee97  bl	#0xfffffff007daf4f4
0xfffffff0081f80cc: e00313aa  mov	x0, x19
0xfffffff0081f80d0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0081f80d4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0081f80d8: ff0f5fd6  retab	
0xfffffff0081f80dc: 017d1853  lsr	w1, w8, #0x18
0xfffffff0081f80e0: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f80e4: 00903491  add	x0, x0, #0xd24
0xfffffff0081f80e8: 50dcee97  bl	#0xfffffff007daf228
0xfffffff0081f80ec: dbffff17  b	#0xfffffff0081f8058
0xfffffff0081f80f0: 7f2303d5  pacibsp	
0xfffffff0081f80f4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0081f80f8: fd030091  mov	x29, sp
0xfffffff0081f80fc: 82d038d5  mrs	x2, tpidr_el1
0xfffffff0081f8100: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff0081f8104: 08050011  add	w8, w8, #1
0xfffffff0081f8108: 484801b9  str	w8, [x2, #0x148]
0xfffffff0081f810c: 88fe00f0  adrp	x8, #0xfffffff00a1cb000
0xfffffff0081f8110: 08b13491  add	x8, x8, #0xd2c
0xfffffff0081f8114: 0920a052  mov	w9, #0x1000000
0xfffffff0081f8118: 0801a9b8  ldadda	w9, w8, [x8]
0xfffffff0081f811c: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f8120: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f8124: 41020054  b.ne	#0xfffffff0081f816c
0xfffffff0081f8128: 481844b9  ldr	w8, [x2, #0x418]
0xfffffff0081f812c: 89fe00f0  adrp	x9, #0xfffffff00a1cb000
0xfffffff0081f8130: 28310db9  str	w8, [x9, #0xd30]
0xfffffff0081f8134: e00001d0  adrp	x0, #0xfffffff00a216000
0xfffffff0081f8138: 00002a91  add	x0, x0, #0xa80
0xfffffff0081f813c: 080040b9  ldr	w8, [x0]
0xfffffff0081f8140: 08751d12  and	w8, w8, #0xfffffff9
0xfffffff0081f8144: 088400b8  str	w8, [x0], #8
0xfffffff0081f8148: 431d0094  bl	#0xfffffff0081ff654
0xfffffff0081f814c: 680201b0  adrp	x8, #0xfffffff00a245000
0xfffffff0081f8150: 1f451b39  strb	wzr, [x8, #0x6d1]
0xfffffff0081f8154: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f8158: 00903491  add	x0, x0, #0xd24
0xfffffff0081f815c: e6dcee97  bl	#0xfffffff007daf4f4
