; Candidate 13431
; ADRP+ADD at VM 0xfffffff0092d0534 (fileoff 0x22cc534): page=0x1fe20f000 add_imm=0xe26

0xfffffff0092d04b4: 400300b4  cbz	x0, #0xfffffff0092d051c
0xfffffff0092d04b8: 700240f9  ldr	x16, [x19]
0xfffffff0092d04bc: f10313aa  mov	x17, x19
0xfffffff0092d04c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d04c4: 301ac1da  autda	x16, x17
0xfffffff0092d04c8: 116e80d2  mov	x17, #0x370
0xfffffff0092d04cc: 1002118b  add	x16, x16, x17
0xfffffff0092d04d0: 080240f9  ldr	x8, [x16]
0xfffffff0092d04d4: e90310aa  mov	x9, x16
0xfffffff0092d04d8: e00313aa  mov	x0, x19
0xfffffff0092d04dc: f10309aa  mov	x17, x9
0xfffffff0092d04e0: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092d04e4: 11093fd7  blraa	x8, x17
0xfffffff0092d04e8: 100040f9  ldr	x16, [x0]
0xfffffff0092d04ec: f10300aa  mov	x17, x0
0xfffffff0092d04f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d04f4: 301ac1da  autda	x16, x17
0xfffffff0092d04f8: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d04fc: 1002118b  add	x16, x16, x17
0xfffffff0092d0500: 080240f9  ldr	x8, [x16]
0xfffffff0092d0504: e90310aa  mov	x9, x16
0xfffffff0092d0508: 010080d2  mov	x1, #0
0xfffffff0092d050c: f10309aa  mov	x17, x9
0xfffffff0092d0510: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0514: 11093fd7  blraa	x8, x17
0xfffffff0092d0518: 03000014  b	#0xfffffff0092d0524
0xfffffff0092d051c: 6010ffd0  adrp	x0, #0xfffffff0074de000
0xfffffff0092d0520: 00102191  add	x0, x0, #0x844
0xfffffff0092d0524: a8024079  ldrh	w8, [x21]
0xfffffff0092d0528: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092d052c: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092d0530: f60300f9  str	x22, [sp]
0xfffffff0092d0534: 6010fff0  adrp	x0, #0xfffffff0074df000
0xfffffff0092d0538: 00983891  add	x0, x0, #0xe26
0xfffffff0092d053c: b91ac297  bl	#0xfffffff008357020
0xfffffff0092d0540: 753a3a91  add	x21, x19, #0xe8e
0xfffffff0092d0544: 7410fff0  adrp	x20, #0xfffffff0074df000
0xfffffff0092d0548: 94f63491  add	x20, x20, #0xd3d
0xfffffff0092d054c: e00314aa  mov	x0, x20
0xfffffff0092d0550: e10315aa  mov	x1, x21
0xfffffff0092d0554: 42008052  mov	w2, #2
0xfffffff0092d0558: 9872c697  bl	#0xfffffff00846cfb8
0xfffffff0092d055c: c0070034  cbz	w0, #0xfffffff0092d0654
0xfffffff0092d0560: 700240f9  ldr	x16, [x19]
0xfffffff0092d0564: f10313aa  mov	x17, x19
0xfffffff0092d0568: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d056c: 301ac1da  autda	x16, x17
0xfffffff0092d0570: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0574: 1002118b  add	x16, x16, x17
0xfffffff0092d0578: 080240f9  ldr	x8, [x16]
0xfffffff0092d057c: e90310aa  mov	x9, x16
0xfffffff0092d0580: e00313aa  mov	x0, x19
0xfffffff0092d0584: 010080d2  mov	x1, #0
0xfffffff0092d0588: f10309aa  mov	x17, x9
0xfffffff0092d058c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0590: 11093fd7  blraa	x8, x17
0xfffffff0092d0594: f60300aa  mov	x22, x0
0xfffffff0092d0598: 700240f9  ldr	x16, [x19]
0xfffffff0092d059c: f10313aa  mov	x17, x19
0xfffffff0092d05a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d05a4: 301ac1da  autda	x16, x17
0xfffffff0092d05a8: 116e80d2  mov	x17, #0x370
0xfffffff0092d05ac: 1002118b  add	x16, x16, x17
0xfffffff0092d05b0: 080240f9  ldr	x8, [x16]
