; Candidate 4627
; ADRP+ADD at VM 0xfffffff0087be5c0 (fileoff 0x17ba5c0): page=0x1fe973000 add_imm=0xd90

0xfffffff0087be540: 2a710f79  strh	w10, [x9, #0x7b8]
0xfffffff0087be544: 89008052  mov	w9, #4
0xfffffff0087be548: ea0308aa  mov	x10, x8
0xfffffff0087be54c: 6b23c91a  lsl	w11, w27, w9
0xfffffff0087be550: 4c25cb1a  lsr	w12, w10, w11
0xfffffff0087be554: 9f010071  cmp	w12, #0
0xfffffff0087be558: eb038b1a  csel	w11, wzr, w11, eq
0xfffffff0087be55c: 7601160b  add	w22, w11, w22
0xfffffff0087be560: 4a018c1a  csel	w10, w10, w12, eq
0xfffffff0087be564: 29050051  sub	w9, w9, #1
0xfffffff0087be568: 3f050031  cmn	w9, #1
0xfffffff0087be56c: 01ffff54  b.ne	#0xfffffff0087be54c
0xfffffff0087be570: c93e1053  lsl	w9, w22, #0x10
0xfffffff0087be574: ca3e0013  sxth	w10, w22
0xfffffff0087be578: 0b008012  mov	w11, #-1
0xfffffff0087be57c: 6b21ca1a  lsl	w11, w11, w10
0xfffffff0087be580: 6b01080b  add	w11, w11, w8
0xfffffff0087be584: 0c018052  mov	w12, #8
0xfffffff0087be588: 8c010a4b  sub	w12, w12, w10
0xfffffff0087be58c: 6c21cc1a  lsl	w12, w11, w12
0xfffffff0087be590: 4a210051  sub	w10, w10, #8
0xfffffff0087be594: 6d23ca1a  lsl	w13, w27, w10
0xfffffff0087be598: 6b058d0b  add	w11, w11, w13, asr #1
0xfffffff0087be59c: 6a29ca1a  asr	w10, w11, w10
0xfffffff0087be5a0: 3f014271  cmp	w9, #0x80, lsl #12
0xfffffff0087be5a4: 99d18a1a  csel	w25, w12, w10, le
0xfffffff0087be5a8: 3f070471  cmp	w25, #0x101
0xfffffff0087be5ac: cb010054  b.lt	#0xfffffff0087be5e4
0xfffffff0087be5b0: 293e8252  mov	w9, #0x11f1
0xfffffff0087be5b4: 084dff90  adrp	x8, #0xfffffff00715e000
0xfffffff0087be5b8: 08d13a91  add	x8, x8, #0xeb4
0xfffffff0087be5bc: e82700a9  stp	x8, x9, [sp]
0xfffffff0087be5c0: 804bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087be5c4: 00403691  add	x0, x0, #0xd90
0xfffffff0087be5c8: e191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087be5cc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087be5d0: 02008052  mov	w2, #0
0xfffffff0087be5d4: 634cfff0  adrp	x3, #0xfffffff00714d000
0xfffffff0087be5d8: 63882c91  add	x3, x3, #0xb22
0xfffffff0087be5dc: d5d2ed97  bl	#0xfffffff008333130
0xfffffff0087be5e0: a80a40b9  ldr	w8, [x21, #8]
0xfffffff0087be5e4: 0951ffd0  adrp	x9, #0xfffffff0071e0000
0xfffffff0087be5e8: 29b11591  add	x9, x9, #0x56c
0xfffffff0087be5ec: 29d97978  ldrh	w9, [x9, w25, sxtw #1]
0xfffffff0087be5f0: 1f010071  cmp	w8, #0
0xfffffff0087be5f4: 28a5895a  cneg	w8, w9, lt
0xfffffff0087be5f8: 083d4093  sxth	x8, w8
0xfffffff0087be5fc: abaa4169  ldpsw	x11, x10, [x21, #0xc]
0xfffffff0087be600: 497d089b  mul	x9, x10, x8
0xfffffff0087be604: 29bd70d3  lsl	x9, x9, #0x10
0xfffffff0087be608: cc3a0011  add	w12, w22, #0xe
0xfffffff0087be60c: 8c3d4093  sxth	x12, w12
0xfffffff0087be610: 8d7d4092  and	x13, x12, #0xffffffff
0xfffffff0087be614: 6c23cc9a  lsl	x12, x27, x12
0xfffffff0087be618: 8cfd4193  asr	x12, x12, #1
0xfffffff0087be61c: 2e010c8b  add	x14, x9, x12
0xfffffff0087be620: ce29cd9a  asr	x14, x14, x13
0xfffffff0087be624: 3f0141f2  tst	x9, #-0x8000000000000000
0xfffffff0087be628: 890109cb  sub	x9, x12, x9
0xfffffff0087be62c: 2929cd9a  asr	x9, x9, x13
0xfffffff0087be630: c90589da  csneg	x9, x14, x9, eq
0xfffffff0087be634: eeff8f52  mov	w14, #0x7fff
0xfffffff0087be638: 3f010e6b  cmp	w9, w14
0xfffffff0087be63c: 29b18e1a  csel	w9, w9, w14, lt
