; Candidate 682
; ADRP+ADD at VM 0xfffffff0080222a8 (fileoff 0x101e2a8): page=0x1ff049000 add_imm=0xce5

0xfffffff008022228: 00203391  add	x0, x0, #0xcc8
0xfffffff00802222c: 4182ffb0  adrp	x1, #0xfffffff00706b000
0xfffffff008022230: 21a82691  add	x1, x1, #0x9aa
0xfffffff008022234: 42ea8252  mov	w2, #0x1752
0xfffffff008022238: 77f51194  bl	#0xfffffff00849f814
0xfffffff00802223c: 4082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff008022240: 00cc3491  add	x0, x0, #0xd33
0xfffffff008022244: b2c81194  bl	#0xfffffff00849450c
0xfffffff008022248: 4082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802224c: 006c3491  add	x0, x0, #0xd1b
0xfffffff008022250: 06000014  b	#0xfffffff008022268
0xfffffff008022254: 4082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff008022258: 00943391  add	x0, x0, #0xce5
0xfffffff00802225c: 03000014  b	#0xfffffff008022268
0xfffffff008022260: 4082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff008022264: 00043491  add	x0, x0, #0xd01
0xfffffff008022268: 4182ffb0  adrp	x1, #0xfffffff00706b000
0xfffffff00802226c: 21a82691  add	x1, x1, #0x9aa
0xfffffff008022270: 42eb8252  mov	w2, #0x175a
0xfffffff008022274: 68f51194  bl	#0xfffffff00849f814
0xfffffff008022278: 4082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff00802227c: 006c3491  add	x0, x0, #0xd1b
0xfffffff008022280: 06000014  b	#0xfffffff008022298
0xfffffff008022284: 4082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff008022288: 00943391  add	x0, x0, #0xce5
0xfffffff00802228c: 03000014  b	#0xfffffff008022298
0xfffffff008022290: 4082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff008022294: 00043491  add	x0, x0, #0xd01
0xfffffff008022298: 4182ffb0  adrp	x1, #0xfffffff00706b000
0xfffffff00802229c: 21a82691  add	x1, x1, #0x9aa
0xfffffff0080222a0: a2ed8252  mov	w2, #0x176d
0xfffffff0080222a4: 5cf51194  bl	#0xfffffff00849f814
0xfffffff0080222a8: 4082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff0080222ac: 00943391  add	x0, x0, #0xce5
0xfffffff0080222b0: 03000014  b	#0xfffffff0080222bc
0xfffffff0080222b4: 4082ffb0  adrp	x0, #0xfffffff00706b000
0xfffffff0080222b8: 00043491  add	x0, x0, #0xd01
0xfffffff0080222bc: 4182ffb0  adrp	x1, #0xfffffff00706b000
0xfffffff0080222c0: 21a82691  add	x1, x1, #0x9aa
0xfffffff0080222c4: 62fa8252  mov	w2, #0x17d3
0xfffffff0080222c8: 53f51194  bl	#0xfffffff00849f814
0xfffffff0080222cc: 0c000000  udf	#0xc
0xfffffff0080222d0: 70010000  udf	#0x170
0xfffffff0080222d4: 70010000  udf	#0x170
0xfffffff0080222d8: 70010000  udf	#0x170
0xfffffff0080222dc: 70010000  udf	#0x170
0xfffffff0080222e0: 88000000  udf	#0x88
0xfffffff0080222e4: 70010000  udf	#0x170
0xfffffff0080222e8: 70010000  udf	#0x170
0xfffffff0080222ec: 70010000  udf	#0x170
0xfffffff0080222f0: 70010000  udf	#0x170
0xfffffff0080222f4: 70010000  udf	#0x170
0xfffffff0080222f8: 70010000  udf	#0x170
0xfffffff0080222fc: 70010000  udf	#0x170
0xfffffff008022300: 70010000  udf	#0x170
0xfffffff008022304: 70010000  udf	#0x170
0xfffffff008022308: 70010000  udf	#0x170
0xfffffff00802230c: 64000000  udf	#0x64
0xfffffff008022310: 70010000  udf	#0x170
0xfffffff008022314: 70010000  udf	#0x170
0xfffffff008022318: 70010000  udf	#0x170
0xfffffff00802231c: 70010000  udf	#0x170
0xfffffff008022320: 70010000  udf	#0x170
0xfffffff008022324: 70010000  udf	#0x170
