; Candidate 6375
; ADRP+ADD at VM 0xfffffff008827f58 (fileoff 0x1823f58): page=0x1fe9c2000 add_imm=0xe80

0xfffffff008827ed8: 17020034  cbz	w23, #0xfffffff008827f18
0xfffffff008827edc: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008827ee0: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008827ee4: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008827ee8: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827eec: 09153091  add	x9, x8, #0xc05
0xfffffff008827ef0: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827ef4: 08653291  add	x8, x8, #0xc99
0xfffffff008827ef8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008827efc: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008827f00: e80a8052  mov	w8, #0x57
0xfffffff008827f04: 404ffff0  adrp	x0, #0xfffffff007212000
0xfffffff008827f08: 00701b91  add	x0, x0, #0x6dc
0xfffffff008827f0c: f62300a9  stp	x22, x8, [sp]
0xfffffff008827f10: 543dd697  bl	#0xfffffff007db7460
0xfffffff008827f14: 19000014  b	#0xfffffff008827f78
0xfffffff008827f18: a5300294  bl	#0xfffffff0088b41ac
0xfffffff008827f1c: f60300aa  mov	x22, x0
0xfffffff008827f20: 00018052  mov	w0, #8
0xfffffff008827f24: 4b4e0194  bl	#0xfffffff00887b850
0xfffffff008827f28: e80315aa  mov	x8, x21
0xfffffff008827f2c: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008827f30: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008827f34: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff008827f38: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827f3c: 0a153091  add	x10, x8, #0xc05
0xfffffff008827f40: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827f44: 08653291  add	x8, x8, #0xc99
0xfffffff008827f48: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008827f4c: e80a8052  mov	w8, #0x57
0xfffffff008827f50: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008827f54: f60300f9  str	x22, [sp]
0xfffffff008827f58: 004effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008827f5c: 00003a91  add	x0, x0, #0xe80
0xfffffff008827f60: 018fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008827f64: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008827f68: 2351ff90  adrp	x3, #0xfffffff00724b000
0xfffffff008827f6c: 63483b91  add	x3, x3, #0xed2
0xfffffff008827f70: 02008052  mov	w2, #0
0xfffffff008827f74: 6f2cec97  bl	#0xfffffff008333130
0xfffffff008827f78: e00315aa  mov	x0, x21
0xfffffff008827f7c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008827f80: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008827f84: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008827f88: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008827f8c: ff430291  add	sp, sp, #0x90
0xfffffff008827f90: ff0f5fd6  retab	
0xfffffff008827f94: 7f2303d5  pacibsp	
0xfffffff008827f98: ff4302d1  sub	sp, sp, #0x90
0xfffffff008827f9c: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008827fa0: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008827fa4: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008827fa8: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008827fac: fd030291  add	x29, sp, #0x80
0xfffffff008827fb0: f40301aa  mov	x20, x1
0xfffffff008827fb4: f30300aa  mov	x19, x0
0xfffffff008827fb8: e00a8052  mov	w0, #0x57
0xfffffff008827fbc: e1008052  mov	w1, #7
0xfffffff008827fc0: 044e0194  bl	#0xfffffff00887b7d0
0xfffffff008827fc4: c0020034  cbz	w0, #0xfffffff00882801c
0xfffffff008827fc8: e00a8052  mov	w0, #0x57
0xfffffff008827fcc: 134e0194  bl	#0xfffffff00887b818
0xfffffff008827fd0: f60300aa  mov	x22, x0
0xfffffff008827fd4: 76300294  bl	#0xfffffff0088b41ac
