; Candidate 12519
; ADRP+ADD at VM 0xfffffff0090acc4c (fileoff 0x20a8c4c): page=0x1fe3b9000 add_imm=0xdf5

0xfffffff0090acbcc: f10300aa  mov	x17, x0
0xfffffff0090acbd0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090acbd4: 300ac1da  pacda	x16, x17
0xfffffff0090acbd8: 100000f9  str	x16, [x0]
0xfffffff0090acbdc: e00314aa  mov	x0, x20
0xfffffff0090acbe0: 55e1c897  bl	#0xfffffff0082e5134
0xfffffff0090acbe4: e00313aa  mov	x0, x19
0xfffffff0090acbe8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0090acbec: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0090acbf0: ff0f5fd6  retab	
0xfffffff0090acbf4: 7f2303d5  pacibsp	
0xfffffff0090acbf8: ff0302d1  sub	sp, sp, #0x80
0xfffffff0090acbfc: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0090acc00: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0090acc04: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0090acc08: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0090acc0c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0090acc10: fdc30191  add	x29, sp, #0x70
0xfffffff0090acc14: f40303aa  mov	x20, x3
0xfffffff0090acc18: f50302aa  mov	x21, x2
0xfffffff0090acc1c: f60301aa  mov	x22, x1
0xfffffff0090acc20: f30300aa  mov	x19, x0
0xfffffff0090acc24: 399300b0  adrp	x25, #0xfffffff00a311000
0xfffffff0090acc28: 39a30391  add	x25, x25, #0xe8
0xfffffff0090acc2c: 28034039  ldrb	w8, [x25]
0xfffffff0090acc30: 771dffb0  adrp	x23, #0xfffffff007459000
0xfffffff0090acc34: f7c22c91  add	x23, x23, #0xb30
0xfffffff0090acc38: d81dffb0  adrp	x24, #0xfffffff007465000
0xfffffff0090acc3c: 189f3891  add	x24, x24, #0xe27
0xfffffff0090acc40: 1fa10071  cmp	w8, #0x28
0xfffffff0090acc44: a8000054  b.hi	#0xfffffff0090acc58
0xfffffff0090acc48: f85f00a9  stp	x24, x23, [sp]
0xfffffff0090acc4c: c01dffb0  adrp	x0, #0xfffffff007465000
0xfffffff0090acc50: 00d43791  add	x0, x0, #0xdf5
0xfffffff0090acc54: f3a8ca97  bl	#0xfffffff008357020
0xfffffff0090acc58: e854ffb0  adrp	x8, #0xfffffff007b49000
0xfffffff0090acc5c: 08413791  add	x8, x8, #0xdd0
0xfffffff0090acc60: 098d48f8  ldr	x9, [x8, #0x88]!
0xfffffff0090acc64: e00313aa  mov	x0, x19
0xfffffff0090acc68: e10316aa  mov	x1, x22
0xfffffff0090acc6c: e20315aa  mov	x2, x21
0xfffffff0090acc70: e30314aa  mov	x3, x20
0xfffffff0090acc74: f10308aa  mov	x17, x8
0xfffffff0090acc78: 113bfcf2  movk	x17, #0xe1d8, lsl #48
0xfffffff0090acc7c: 31093fd7  blraa	x9, x17
0xfffffff0090acc80: e0040036  tbz	w0, #0, #0xfffffff0090acd1c
0xfffffff0090acc84: e00313aa  mov	x0, x19
0xfffffff0090acc88: 21008052  mov	w1, #1
0xfffffff0090acc8c: 65d0ff97  bl	#0xfffffff0090a0e20
0xfffffff0090acc90: 601600f9  str	x0, [x19, #0x28]
0xfffffff0090acc94: 600500b4  cbz	x0, #0xfffffff0090acd40
0xfffffff0090acc98: 7f1a00f9  str	xzr, [x19, #0x30]
0xfffffff0090acc9c: 7fe20039  strb	wzr, [x19, #0x38]
0xfffffff0090acca0: 7f2200f9  str	xzr, [x19, #0x40]
0xfffffff0090acca4: 37000094  bl	#0xfffffff0090acd80
0xfffffff0090acca8: 604a00b9  str	w0, [x19, #0x48]
0xfffffff0090accac: 7d000094  bl	#0xfffffff0090acea0
0xfffffff0090accb0: 604e00b9  str	w0, [x19, #0x4c]
0xfffffff0090accb4: e00313aa  mov	x0, x19
0xfffffff0090accb8: b2000094  bl	#0xfffffff0090acf80
0xfffffff0090accbc: c8038052  mov	w8, #0x1e
0xfffffff0090accc0: 33008052  mov	w19, #1
0xfffffff0090accc4: 29034039  ldrb	w9, [x25]
0xfffffff0090accc8: 1f01096b  cmp	w8, w9
