; Candidate 2374
; ADRP+ADD at VM 0xfffffff008639c44 (fileoff 0x1635c44): page=0x1fead6000 add_imm=0xd3b

0xfffffff008639bc4: 00b503f9  str	x0, [x8, #0x768]
0xfffffff008639bc8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008639bcc: ff0f5fd6  retab	
0xfffffff008639bd0: 5f2403d5  bti	c
0xfffffff008639bd4: e8e400f0  adrp	x8, #0xfffffff00a2d8000
0xfffffff008639bd8: 29008052  mov	w9, #1
0xfffffff008639bdc: 09612539  strb	w9, [x8, #0x958]
0xfffffff008639be0: c0035fd6  ret	
0xfffffff008639be4: 7f2303d5  pacibsp	
0xfffffff008639be8: ffc300d1  sub	sp, sp, #0x30
0xfffffff008639bec: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008639bf0: fd830091  add	x29, sp, #0x20
0xfffffff008639bf4: e8e400f0  adrp	x8, #0xfffffff00a2d8000
0xfffffff008639bf8: 08616539  ldrb	w8, [x8, #0x958]
0xfffffff008639bfc: 1f050071  cmp	w8, #1
0xfffffff008639c00: c1010054  b.ne	#0xfffffff008639c38
0xfffffff008639c04: e8e400f0  adrp	x8, #0xfffffff00a2d8000
0xfffffff008639c08: 095d49b9  ldr	w9, [x8, #0x95c]
0xfffffff008639c0c: 3f110071  cmp	w9, #4
0xfffffff008639c10: 03020054  b.lo	#0xfffffff008639c50
0xfffffff008639c14: a856ffd0  adrp	x8, #0xfffffff00710f000
0xfffffff008639c18: 08dd3391  add	x8, x8, #0xcf7
0xfffffff008639c1c: e80300f9  str	x8, [sp]
0xfffffff008639c20: a056ffd0  adrp	x0, #0xfffffff00710f000
0xfffffff008639c24: 00183391  add	x0, x0, #0xcc6
0xfffffff008639c28: 1b000094  bl	#0xfffffff008639c94
0xfffffff008639c2c: 80578052  mov	w0, #0x2bc
0xfffffff008639c30: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008639c34: 15000014  b	#0xfffffff008639c88
0xfffffff008639c38: a856ffd0  adrp	x8, #0xfffffff00710f000
0xfffffff008639c3c: 08dd3391  add	x8, x8, #0xcf7
0xfffffff008639c40: e80300f9  str	x8, [sp]
0xfffffff008639c44: a056ffd0  adrp	x0, #0xfffffff00710f000
0xfffffff008639c48: 00ec3491  add	x0, x0, #0xd3b
0xfffffff008639c4c: 0d000014  b	#0xfffffff008639c80
0xfffffff008639c50: eae400f0  adrp	x10, #0xfffffff00a2d8000
0xfffffff008639c54: 4a812591  add	x10, x10, #0x960
0xfffffff008639c58: 4a11098b  add	x10, x10, x9, lsl #4
0xfffffff008639c5c: 400500a9  stp	x0, x1, [x10]
0xfffffff008639c60: 29050011  add	w9, w9, #1
0xfffffff008639c64: 095d09b9  str	w9, [x8, #0x95c]
0xfffffff008639c68: a856ffd0  adrp	x8, #0xfffffff00710f000
0xfffffff008639c6c: 08dd3391  add	x8, x8, #0xcf7
0xfffffff008639c70: e00701a9  stp	x0, x1, [sp, #0x10]
0xfffffff008639c74: e82700a9  stp	x8, x9, [sp]
0xfffffff008639c78: a056ffd0  adrp	x0, #0xfffffff00710f000
0xfffffff008639c7c: 00403491  add	x0, x0, #0xd10
0xfffffff008639c80: 16000094  bl	#0xfffffff008639cd8
0xfffffff008639c84: 00008052  mov	w0, #0
0xfffffff008639c88: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008639c8c: ffc30091  add	sp, sp, #0x30
0xfffffff008639c90: ff0f5fd6  retab	
0xfffffff008639c94: 7f2303d5  pacibsp	
0xfffffff008639c98: ffc300d1  sub	sp, sp, #0x30
0xfffffff008639c9c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008639ca0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008639ca4: fd830091  add	x29, sp, #0x20
0xfffffff008639ca8: f30300aa  mov	x19, x0
0xfffffff008639cac: a8430091  add	x8, x29, #0x10
0xfffffff008639cb0: e80700f9  str	x8, [sp, #8]
0xfffffff008639cb4: 9a410094  bl	#0xfffffff00864a31c
0xfffffff008639cb8: e20740f9  ldr	x2, [sp, #8]
0xfffffff008639cbc: 00008052  mov	w0, #0
0xfffffff008639cc0: e10313aa  mov	x1, x19
