; Candidate 8383
; ADRP+ADD at VM 0xfffffff0088a7f08 (fileoff 0x18a3f08): page=0x1fe942000 add_imm=0xe80

0xfffffff0088a7e88: 6bfd57d3  lsr	x11, x11, #0x17
0xfffffff0088a7e8c: 6b1d7f92  and	x11, x11, #0x1fe
0xfffffff0088a7e90: 2b696b78  ldrh	w11, [x9, x11]
0xfffffff0088a7e94: 6c3d50b3  bfi	x12, x11, #0x30, #0x10
0xfffffff0088a7e98: 4b0140f9  ldr	x11, [x10]
0xfffffff0088a7e9c: 8b010b8b  add	x11, x12, x11
0xfffffff0088a7ea0: 4b8500f8  str	x11, [x10], #8
0xfffffff0088a7ea4: 08050051  sub	w8, w8, #1
0xfffffff0088a7ea8: 1f050071  cmp	w8, #1
0xfffffff0088a7eac: c8fdff54  b.hi	#0xfffffff0088a7e64
0xfffffff0088a7eb0: 56000014  b	#0xfffffff0088a8008
0xfffffff0088a7eb4: be300094  bl	#0xfffffff0088b41ac
0xfffffff0088a7eb8: f90300aa  mov	x25, x0
0xfffffff0088a7ebc: e0008052  mov	w0, #7
0xfffffff0088a7ec0: 644eff97  bl	#0xfffffff00887b850
0xfffffff0088a7ec4: 680240b9  ldr	w8, [x19]
0xfffffff0088a7ec8: e90318aa  mov	x9, x24
0xfffffff0088a7ecc: e95f05a9  stp	x9, x23, [sp, #0x50]
0xfffffff0088a7ed0: e90316aa  mov	x9, x22
0xfffffff0088a7ed4: ea0315aa  mov	x10, x21
0xfffffff0088a7ed8: ea2704a9  stp	x10, x9, [sp, #0x40]
0xfffffff0088a7edc: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088a7ee0: 484cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a7ee4: 087d3491  add	x8, x8, #0xd1f
0xfffffff0088a7ee8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a7eec: 484cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a7ef0: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a7ef4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a7ef8: 680f8052  mov	w8, #0x7b
0xfffffff0088a7efc: c34dfff0  adrp	x3, #0xfffffff007262000
0xfffffff0088a7f00: 63c03391  add	x3, x3, #0xcf0
0xfffffff0088a7f04: f92300a9  stp	x25, x8, [sp]
0xfffffff0088a7f08: 004affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a7f0c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a7f10: 018bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a7f14: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a7f18: 02008052  mov	w2, #0
0xfffffff0088a7f1c: 852cea97  bl	#0xfffffff008333130
0xfffffff0088a7f20: 14f9ffb5  cbnz	x20, #0xfffffff0088a7e40
0xfffffff0088a7f24: 600f8052  mov	w0, #0x7b
0xfffffff0088a7f28: 81008052  mov	w1, #4
0xfffffff0088a7f2c: 294eff97  bl	#0xfffffff00887b7d0
0xfffffff0088a7f30: e00a0034  cbz	w0, #0xfffffff0088a808c
0xfffffff0088a7f34: 600f8052  mov	w0, #0x7b
0xfffffff0088a7f38: 384eff97  bl	#0xfffffff00887b818
0xfffffff0088a7f3c: fa0300aa  mov	x26, x0
0xfffffff0088a7f40: 9b300094  bl	#0xfffffff0088b41ac
0xfffffff0088a7f44: f90300aa  mov	x25, x0
0xfffffff0088a7f48: 80008052  mov	w0, #4
0xfffffff0088a7f4c: 414eff97  bl	#0xfffffff00887b850
0xfffffff0088a7f50: 1a060034  cbz	w26, #0xfffffff0088a8010
0xfffffff0088a7f54: 680240b9  ldr	w8, [x19]
0xfffffff0088a7f58: e90318aa  mov	x9, x24
0xfffffff0088a7f5c: e95f06a9  stp	x9, x23, [sp, #0x60]
0xfffffff0088a7f60: e90316aa  mov	x9, x22
0xfffffff0088a7f64: ea0315aa  mov	x10, x21
0xfffffff0088a7f68: ea2705a9  stp	x10, x9, [sp, #0x50]
0xfffffff0088a7f6c: 494cfff0  adrp	x9, #0xfffffff007232000
0xfffffff0088a7f70: 29e53591  add	x9, x9, #0xd79
0xfffffff0088a7f74: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088a7f78: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff0088a7f7c: e8ae8052  mov	w8, #0x577
0xfffffff0088a7f80: 494cfff0  adrp	x9, #0xfffffff007232000
0xfffffff0088a7f84: 297d3491  add	x9, x9, #0xd1f
