; Candidate 13430
; ADRP+ADD at VM 0xfffffff0092d0420 (fileoff 0x22cc420): page=0x1fe20f000 add_imm=0xe26

0xfffffff0092d03a0: 400300b4  cbz	x0, #0xfffffff0092d0408
0xfffffff0092d03a4: 700240f9  ldr	x16, [x19]
0xfffffff0092d03a8: f10313aa  mov	x17, x19
0xfffffff0092d03ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d03b0: 301ac1da  autda	x16, x17
0xfffffff0092d03b4: 116e80d2  mov	x17, #0x370
0xfffffff0092d03b8: 1002118b  add	x16, x16, x17
0xfffffff0092d03bc: 080240f9  ldr	x8, [x16]
0xfffffff0092d03c0: e90310aa  mov	x9, x16
0xfffffff0092d03c4: e00313aa  mov	x0, x19
0xfffffff0092d03c8: f10309aa  mov	x17, x9
0xfffffff0092d03cc: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092d03d0: 11093fd7  blraa	x8, x17
0xfffffff0092d03d4: 100040f9  ldr	x16, [x0]
0xfffffff0092d03d8: f10300aa  mov	x17, x0
0xfffffff0092d03dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d03e0: 301ac1da  autda	x16, x17
0xfffffff0092d03e4: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d03e8: 1002118b  add	x16, x16, x17
0xfffffff0092d03ec: 080240f9  ldr	x8, [x16]
0xfffffff0092d03f0: e90310aa  mov	x9, x16
0xfffffff0092d03f4: 010080d2  mov	x1, #0
0xfffffff0092d03f8: f10309aa  mov	x17, x9
0xfffffff0092d03fc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0400: 11093fd7  blraa	x8, x17
0xfffffff0092d0404: 03000014  b	#0xfffffff0092d0410
0xfffffff0092d0408: 6010ffd0  adrp	x0, #0xfffffff0074de000
0xfffffff0092d040c: 00102191  add	x0, x0, #0x844
0xfffffff0092d0410: a8024079  ldrh	w8, [x21]
0xfffffff0092d0414: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092d0418: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092d041c: f60300f9  str	x22, [sp]
0xfffffff0092d0420: 6010fff0  adrp	x0, #0xfffffff0074df000
0xfffffff0092d0424: 00983891  add	x0, x0, #0xe26
0xfffffff0092d0428: fe1ac297  bl	#0xfffffff008357020
0xfffffff0092d042c: 75223a91  add	x21, x19, #0xe88
0xfffffff0092d0430: 7410fff0  adrp	x20, #0xfffffff0074df000
0xfffffff0092d0434: 949a3491  add	x20, x20, #0xd26
0xfffffff0092d0438: e00314aa  mov	x0, x20
0xfffffff0092d043c: e10315aa  mov	x1, x21
0xfffffff0092d0440: 42008052  mov	w2, #2
0xfffffff0092d0444: dd72c697  bl	#0xfffffff00846cfb8
0xfffffff0092d0448: c0070034  cbz	w0, #0xfffffff0092d0540
0xfffffff0092d044c: 700240f9  ldr	x16, [x19]
0xfffffff0092d0450: f10313aa  mov	x17, x19
0xfffffff0092d0454: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0458: 301ac1da  autda	x16, x17
0xfffffff0092d045c: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0460: 1002118b  add	x16, x16, x17
0xfffffff0092d0464: 080240f9  ldr	x8, [x16]
0xfffffff0092d0468: e90310aa  mov	x9, x16
0xfffffff0092d046c: e00313aa  mov	x0, x19
0xfffffff0092d0470: 010080d2  mov	x1, #0
0xfffffff0092d0474: f10309aa  mov	x17, x9
0xfffffff0092d0478: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d047c: 11093fd7  blraa	x8, x17
0xfffffff0092d0480: f60300aa  mov	x22, x0
0xfffffff0092d0484: 700240f9  ldr	x16, [x19]
0xfffffff0092d0488: f10313aa  mov	x17, x19
0xfffffff0092d048c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0490: 301ac1da  autda	x16, x17
0xfffffff0092d0494: 116e80d2  mov	x17, #0x370
0xfffffff0092d0498: 1002118b  add	x16, x16, x17
0xfffffff0092d049c: 080240f9  ldr	x8, [x16]
