; Candidate 9059
; ADRP+ADD at VM 0xfffffff0089a397c (fileoff 0x199f97c): page=0x1fe8e3000 add_imm=0xd8d

0xfffffff0089a38fc: 400100b4  cbz	x0, #0xfffffff0089a3924
0xfffffff0089a3900: 100040f9  ldr	x16, [x0]
0xfffffff0089a3904: f10300aa  mov	x17, x0
0xfffffff0089a3908: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089a390c: 301ac1da  autda	x16, x17
0xfffffff0089a3910: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0089a3914: e90310aa  mov	x9, x16
0xfffffff0089a3918: f10309aa  mov	x17, x9
0xfffffff0089a391c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089a3920: 11093fd7  blraa	x8, x17
0xfffffff0089a3924: 7f7600f9  str	xzr, [x19, #0xe8]
0xfffffff0089a3928: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0089a392c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0089a3930: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0089a3934: ff030191  add	sp, sp, #0x40
0xfffffff0089a3938: ff0f5fd6  retab	
0xfffffff0089a393c: 7f2303d5  pacibsp	
0xfffffff0089a3940: ff0302d1  sub	sp, sp, #0x80
0xfffffff0089a3944: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0089a3948: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0089a394c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0089a3950: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0089a3954: fdc30191  add	x29, sp, #0x70
0xfffffff0089a3958: f30300aa  mov	x19, x0
0xfffffff0089a395c: 8884ffb0  adrp	x8, #0xfffffff007a34000
0xfffffff0089a3960: 08a940f9  ldr	x8, [x8, #0x150]
0xfffffff0089a3964: 080140f9  ldr	x8, [x8]
0xfffffff0089a3968: e81f00f9  str	x8, [sp, #0x38]
0xfffffff0089a396c: 0047fff0  adrp	x0, #0xfffffff007286000
0xfffffff0089a3970: 00883d91  add	x0, x0, #0xf62
0xfffffff0089a3974: 8716e697  bl	#0xfffffff008329390
0xfffffff0089a3978: f60300aa  mov	x22, x0
0xfffffff0089a397c: 0047fff0  adrp	x0, #0xfffffff007286000
0xfffffff0089a3980: 00343691  add	x0, x0, #0xd8d
0xfffffff0089a3984: 8316e697  bl	#0xfffffff008329390
0xfffffff0089a3988: f50300aa  mov	x21, x0
0xfffffff0089a398c: df0200f1  cmp	x22, #0
0xfffffff0089a3990: 041840fa  ccmp	x0, #0, #4, ne
0xfffffff0089a3994: 810c0054  b.ne	#0xfffffff0089a3b24
0xfffffff0089a3998: 170080d2  mov	x23, #0
0xfffffff0089a399c: 140080d2  mov	x20, #0
0xfffffff0089a39a0: b60d00b5  cbnz	x22, #0xfffffff0089a3b54
0xfffffff0089a39a4: 750100b4  cbz	x21, #0xfffffff0089a39d0
0xfffffff0089a39a8: b00240f9  ldr	x16, [x21]
0xfffffff0089a39ac: f10315aa  mov	x17, x21
0xfffffff0089a39b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089a39b4: 301ac1da  autda	x16, x17
0xfffffff0089a39b8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0089a39bc: e90310aa  mov	x9, x16
0xfffffff0089a39c0: e00315aa  mov	x0, x21
0xfffffff0089a39c4: f10309aa  mov	x17, x9
0xfffffff0089a39c8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089a39cc: 11093fd7  blraa	x8, x17
0xfffffff0089a39d0: c8c900d0  adrp	x8, #0xfffffff00a2dd000
0xfffffff0089a39d4: 08410591  add	x8, x8, #0x150
0xfffffff0089a39d8: 150140f9  ldr	x21, [x8]
0xfffffff0089a39dc: 740d00b4  cbz	x20, #0xfffffff0089a3b88
0xfffffff0089a39e0: 150700b4  cbz	x21, #0xfffffff0089a3ac0
0xfffffff0089a39e4: 768a40b9  ldr	w22, [x19, #0x88]
0xfffffff0089a39e8: 700240f9  ldr	x16, [x19]
0xfffffff0089a39ec: f10313aa  mov	x17, x19
0xfffffff0089a39f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089a39f4: 301ac1da  autda	x16, x17
0xfffffff0089a39f8: 113d80d2  mov	x17, #0x1e8
