; Candidate 16239
; ADRP+ADD at VM 0xfffffff009e336b8 (fileoff 0x2e2f6b8): page=0x5a0000 add_imm=0xe30

0xfffffff009e33638: 2a0b0054  b.ge	#0xfffffff009e3379c
0xfffffff009e3363c: 0a050011  add	w10, w8, #1
0xfffffff009e33640: 2a390eb9  str	w10, [x9, #0xe38]
0xfffffff009e33644: 60000014  b	#0xfffffff009e337c4
0xfffffff009e33648: 37ad8752  mov	w23, #0x3d69
0xfffffff009e3364c: d701a072  movk	w23, #0xe, lsl #16
0xfffffff009e33650: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e33654: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff009e33658: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff009e3365c: 48018052  mov	w8, #0xa
0xfffffff009e33660: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff009e33664: e8030139  strb	w8, [sp, #0x40]
0xfffffff009e33668: 080c8052  mov	w8, #0x60
0xfffffff009e3366c: e8870079  strh	w8, [sp, #0x42]
0xfffffff009e33670: 80220591  add	x0, x20, #0x148
0xfffffff009e33674: e8030191  add	x8, sp, #0x40
0xfffffff009e33678: 03017db2  orr	x3, x8, #8
0xfffffff009e3367c: 41018052  mov	w1, #0xa
0xfffffff009e33680: 020080d2  mov	x2, #0
0xfffffff009e33684: 04018052  mov	w4, #8
0xfffffff009e33688: b59b0494  bl	#0xfffffff009f5a55c
0xfffffff009e3368c: 00050034  cbz	w0, #0xfffffff009e3372c
0xfffffff009e33690: f50300aa  mov	x21, x0
0xfffffff009e33694: 8a0640f9  ldr	x10, [x20, #8]
0xfffffff009e33698: 68cffef0  adrp	x8, #0xfffffff007822000
0xfffffff009e3369c: 08112791  add	x8, x8, #0x9c4
0xfffffff009e336a0: 69118052  mov	w9, #0x8b
0xfffffff009e336a4: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009e336a8: e80300f9  str	x8, [sp]
0xfffffff009e336ac: 60cffef0  adrp	x0, #0xfffffff007822000
0xfffffff009e336b0: 00f82591  add	x0, x0, #0x97e
0xfffffff009e336b4: 84300194  bl	#0xfffffff009e7f8c4
0xfffffff009e336b8: 002d0090  adrp	x0, #0xfffffff00a3d3000
0xfffffff009e336bc: 00c03891  add	x0, x0, #0xe30
0xfffffff009e336c0: 21ad8752  mov	w1, #0x3d69
0xfffffff009e336c4: c101a072  movk	w1, #0xe, lsl #16
0xfffffff009e336c8: e20315aa  mov	x2, x21
0xfffffff009e336cc: 19fbff97  bl	#0xfffffff009e32330
0xfffffff009e336d0: c2000014  b	#0xfffffff009e339d8
0xfffffff009e336d4: 692e40b9  ldr	w9, [x19, #0x2c]
0xfffffff009e336d8: 899200b9  str	w9, [x20, #0x90]
0xfffffff009e336dc: 682a4529  ldp	w8, w10, [x19, #0x28]
0xfffffff009e336e0: 4801080b  add	w8, w10, w8
0xfffffff009e336e4: 887200b9  str	w8, [x20, #0x70]
0xfffffff009e336e8: ff02096b  cmp	w23, w9
0xfffffff009e336ec: 61000054  b.ne	#0xfffffff009e336f8
0xfffffff009e336f0: df02086b  cmp	w22, w8
0xfffffff009e336f4: 20120054  b.eq	#0xfffffff009e33938
0xfffffff009e336f8: 48008052  mov	w8, #2
0xfffffff009e336fc: 88060039  strb	w8, [x20, #1]
0xfffffff009e33700: 600640f9  ldr	x0, [x19, #8]
0xfffffff009e33704: 631240f9  ldr	x3, [x19, #0x20]
0xfffffff009e33708: 21008052  mov	w1, #1
0xfffffff009e3370c: e20314aa  mov	x2, x20
0xfffffff009e33710: c7de0294  bl	#0xfffffff009eeb22c
0xfffffff009e33714: f50300aa  mov	x21, x0
0xfffffff009e33718: c0160034  cbz	w0, #0xfffffff009e339f0
0xfffffff009e3371c: 28ad8752  mov	w8, #0x3d69
0xfffffff009e33720: c801a072  movk	w8, #0xe, lsl #16
0xfffffff009e33724: 01390011  add	w1, w8, #0xe
0xfffffff009e33728: ad000014  b	#0xfffffff009e339dc
0xfffffff009e3372c: 600640f9  ldr	x0, [x19, #8]
0xfffffff009e33730: ff0303a9  stp	xzr, x0, [sp, #0x30]
0xfffffff009e33734: 047c40f9  ldr	x4, [x0, #0xf8]
