; Candidate 1296
; ADRP+ADD at VM 0xfffffff008348be0 (fileoff 0x1344be0): page=0x1fed5b000 add_imm=0xd29

0xfffffff008348b60: e84345f8  ldur	x8, [sp, #0x54]
0xfffffff008348b64: c98b8dd2  mov	x9, #0x6c5e
0xfffffff008348b68: a989b7f2  movk	x9, #0xbc4d, lsl #16
0xfffffff008348b6c: 6999cdf2  movk	x9, #0x6ccb, lsl #32
0xfffffff008348b70: 89affff2  movk	x9, #0xfd7c, lsl #48
0xfffffff008348b74: 1f0109eb  cmp	x8, x9
0xfffffff008348b78: c1000054  b.ne	#0xfffffff008348b90
0xfffffff008348b7c: e85340b9  ldr	w8, [sp, #0x50]
0xfffffff008348b80: 88000035  cbnz	w8, #0xfffffff008348b90
0xfffffff008348b84: e84346f8  ldur	x8, [sp, #0x64]
0xfffffff008348b88: 1f0100f1  cmp	x8, #0
0xfffffff008348b8c: e003801a  csel	w0, wzr, w0, eq
0xfffffff008348b90: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff008348b94: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff008348b98: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff008348b9c: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff008348ba0: ffc30391  add	sp, sp, #0xf0
0xfffffff008348ba4: ff0f5fd6  retab	
0xfffffff008348ba8: 7f2303d5  pacibsp	
0xfffffff008348bac: ff4301d1  sub	sp, sp, #0x50
0xfffffff008348bb0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008348bb4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008348bb8: fd030191  add	x29, sp, #0x40
0xfffffff008348bbc: f30300aa  mov	x19, x0
0xfffffff008348bc0: 340040f9  ldr	x20, [x1]
0xfffffff008348bc4: 2080c03c  ldur	q0, [x1, #8]
0xfffffff008348bc8: e003803d  str	q0, [sp]
0xfffffff008348bcc: 881e40b9  ldr	w8, [x20, #0x1c]
0xfffffff008348bd0: 89d19652  mov	w9, #0xb68c
0xfffffff008348bd4: 49b4a972  movk	w9, #0x4da2, lsl #16
0xfffffff008348bd8: 1f01096b  cmp	w8, w9
0xfffffff008348bdc: 80000054  b.eq	#0xfffffff008348bec
0xfffffff008348be0: c06afff0  adrp	x0, #0xfffffff0070a3000
0xfffffff008348be4: 00a43491  add	x0, x0, #0xd29
0xfffffff008348be8: 4a6afe97  bl	#0xfffffff0082e3510
0xfffffff008348bec: f40f00f9  str	x20, [sp, #0x18]
0xfffffff008348bf0: e003c03d  ldr	q0, [sp]
0xfffffff008348bf4: e003823c  stur	q0, [sp, #0x20]
0xfffffff008348bf8: e1630091  add	x1, sp, #0x18
0xfffffff008348bfc: e00313aa  mov	x0, x19
0xfffffff008348c00: c6e3ff97  bl	#0xfffffff008341b18
0xfffffff008348c04: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008348c08: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008348c0c: ff430191  add	sp, sp, #0x50
0xfffffff008348c10: ff0f5fd6  retab	
0xfffffff008348c14: 5f2403d5  bti	c
0xfffffff008348c18: 80f60090  adrp	x0, #0xfffffff00a218000
0xfffffff008348c1c: 00601a91  add	x0, x0, #0x698
0xfffffff008348c20: c0035fd6  ret	
0xfffffff008348c24: 5f2403d5  bti	c
0xfffffff008348c28: e10300aa  mov	x1, x0
0xfffffff008348c2c: 08008092  mov	x8, #-1
0xfffffff008348c30: 080000f9  str	x8, [x0]
0xfffffff008348c34: a0b1ffd0  adrp	x0, #0xfffffff00797e000
0xfffffff008348c38: 00c00f91  add	x0, x0, #0x3f0
0xfffffff008348c3c: 02048052  mov	w2, #0x20
0xfffffff008348c40: 977afe17  b	#0xfffffff0082e769c
0xfffffff008348c44: 5f2403d5  bti	c
0xfffffff008348c48: 08008092  mov	x8, #-1
0xfffffff008348c4c: 080000f9  str	x8, [x0]
0xfffffff008348c50: c0035fd6  ret	
0xfffffff008348c54: 7f2303d5  pacibsp	
0xfffffff008348c58: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008348c5c: fd030091  mov	x29, sp
