; Candidate 6479
; ADRP+ADD at VM 0xfffffff00882e07c (fileoff 0x182a07c): page=0x1fe9bb000 add_imm=0xe80

0xfffffff00882dffc: 00050034  cbz	w0, #0xfffffff00882e09c
0xfffffff00882e000: 400f8052  mov	w0, #0x7a
0xfffffff00882e004: 05360194  bl	#0xfffffff00887b818
0xfffffff00882e008: f70300aa  mov	x23, x0
0xfffffff00882e00c: 68180294  bl	#0xfffffff0088b41ac
0xfffffff00882e010: f60300aa  mov	x22, x0
0xfffffff00882e014: 00018052  mov	w0, #8
0xfffffff00882e018: 0e360194  bl	#0xfffffff00887b850
0xfffffff00882e01c: 97010034  cbz	w23, #0xfffffff00882e04c
0xfffffff00882e020: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00882e024: a84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882e028: 08a51791  add	x8, x8, #0x5e9
0xfffffff00882e02c: e8ef01a9  stp	x8, x27, [sp, #0x18]
0xfffffff00882e030: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00882e034: 480f8052  mov	w8, #0x7a
0xfffffff00882e038: 404fff90  adrp	x0, #0xfffffff007216000
0xfffffff00882e03c: 00e03c91  add	x0, x0, #0xf38
0xfffffff00882e040: f62300a9  stp	x22, x8, [sp]
0xfffffff00882e044: 0725d697  bl	#0xfffffff007db7460
0xfffffff00882e048: 15000014  b	#0xfffffff00882e09c
0xfffffff00882e04c: 58180294  bl	#0xfffffff0088b41ac
0xfffffff00882e050: f60300aa  mov	x22, x0
0xfffffff00882e054: 00018052  mov	w0, #8
0xfffffff00882e058: fe350194  bl	#0xfffffff00887b850
0xfffffff00882e05c: e80315aa  mov	x8, x21
0xfffffff00882e060: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff00882e064: a84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882e068: 08a51791  add	x8, x8, #0x5e9
0xfffffff00882e06c: e8ef01a9  stp	x8, x27, [sp, #0x18]
0xfffffff00882e070: 480f8052  mov	w8, #0x7a
0xfffffff00882e074: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882e078: f60300f9  str	x22, [sp]
0xfffffff00882e07c: c04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882e080: 00003a91  add	x0, x0, #0xe80
0xfffffff00882e084: c18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882e088: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882e08c: e350ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882e090: 63682691  add	x3, x3, #0x99a
0xfffffff00882e094: 02008052  mov	w2, #0
0xfffffff00882e098: 2614ec97  bl	#0xfffffff008333130
0xfffffff00882e09c: e00314aa  mov	x0, x20
0xfffffff00882e0a0: ba070094  bl	#0xfffffff00882ff88
0xfffffff00882e0a4: f70300aa  mov	x23, x0
0xfffffff00882e0a8: e00314aa  mov	x0, x20
0xfffffff00882e0ac: cc070094  bl	#0xfffffff00882ffdc
0xfffffff00882e0b0: ff0200eb  cmp	x23, x0
0xfffffff00882e0b4: 001c0054  b.eq	#0xfffffff00882e434
0xfffffff00882e0b8: ff3700f9  str	xzr, [sp, #0x68]
0xfffffff00882e0bc: 134f9d52  mov	w19, #0xea78
0xfffffff00882e0c0: d301a072  movk	w19, #0xe, lsl #16
0xfffffff00882e0c4: f8c30191  add	x24, sp, #0x70
0xfffffff00882e0c8: fc02138b  add	x28, x23, x19
0xfffffff00882e0cc: 88569d52  mov	w8, #0xeab4
0xfffffff00882e0d0: c801a072  movk	w8, #0xe, lsl #16
0xfffffff00882e0d4: f902088b  add	x25, x23, x8
0xfffffff00882e0d8: e1c30191  add	x1, sp, #0x70
0xfffffff00882e0dc: e00319aa  mov	x0, x25
0xfffffff00882e0e0: 02108052  mov	w2, #0x80
0xfffffff00882e0e4: 88ac0194  bl	#0xfffffff008899304
0xfffffff00882e0e8: fa0300aa  mov	x26, x0
0xfffffff00882e0ec: 00c3208b  add	x0, x24, w0, sxtw
0xfffffff00882e0f0: 16108052  mov	w22, #0x80
0xfffffff00882e0f4: c1021a4b  sub	w1, w22, w26
0xfffffff00882e0f8: a84fff90  adrp	x8, #0xfffffff007222000
