; Candidate 9973
; ADRP+ADD at VM 0xfffffff008bd7b88 (fileoff 0x1bd3b88): page=0x1fe75f000 add_imm=0xcde

0xfffffff008bd7b08: 21008052  mov	w1, #1
0xfffffff008bd7b0c: 69faff97  bl	#0xfffffff008bd64b0
0xfffffff008bd7b10: f30300aa  mov	x19, x0
0xfffffff008bd7b14: a81241b9  ldr	w8, [x21, #0x110]
0xfffffff008bd7b18: 08050011  add	w8, w8, #1
0xfffffff008bd7b1c: a81201b9  str	w8, [x21, #0x110]
0xfffffff008bd7b20: 0d000014  b	#0xfffffff008bd7b54
0xfffffff008bd7b24: 88424539  ldrb	w8, [x20, #0x150]
0xfffffff008bd7b28: 48010836  tbz	w8, #1, #0xfffffff008bd7b50
0xfffffff008bd7b2c: 60b800d0  adrp	x0, #0xfffffff00a2e5000
0xfffffff008bd7b30: 00601491  add	x0, x0, #0x518
0xfffffff008bd7b34: 8933dc97  bl	#0xfffffff0082e4958
0xfffffff008bd7b38: e83afff0  adrp	x8, #0xfffffff007336000
0xfffffff008bd7b3c: 08693191  add	x8, x8, #0xc5a
0xfffffff008bd7b40: e02300a9  stp	x0, x8, [sp]
0xfffffff008bd7b44: e03afff0  adrp	x0, #0xfffffff007336000
0xfffffff008bd7b48: 00943291  add	x0, x0, #0xca5
0xfffffff008bd7b4c: 35fddd97  bl	#0xfffffff008357020
0xfffffff008bd7b50: 16008052  mov	w22, #0
0xfffffff008bd7b54: a08640f9  ldr	x0, [x21, #0x108]
0xfffffff008bd7b58: b4eeff97  bl	#0xfffffff008bd3628
0xfffffff008bd7b5c: 88424539  ldrb	w8, [x20, #0x150]
0xfffffff008bd7b60: a8010036  tbz	w8, #0, #0xfffffff008bd7b94
0xfffffff008bd7b64: 60b800d0  adrp	x0, #0xfffffff00a2e5000
0xfffffff008bd7b68: 00601491  add	x0, x0, #0x518
0xfffffff008bd7b6c: 7b33dc97  bl	#0xfffffff0082e4958
0xfffffff008bd7b70: 88e240b9  ldr	w8, [x20, #0xe0]
0xfffffff008bd7b74: f6a301a9  stp	x22, x8, [sp, #0x18]
0xfffffff008bd7b78: e83afff0  adrp	x8, #0xfffffff007336000
0xfffffff008bd7b7c: 08693191  add	x8, x8, #0xc5a
0xfffffff008bd7b80: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff008bd7b84: e00300f9  str	x0, [sp]
0xfffffff008bd7b88: e03afff0  adrp	x0, #0xfffffff007336000
0xfffffff008bd7b8c: 00783391  add	x0, x0, #0xcde
0xfffffff008bd7b90: 24fddd97  bl	#0xfffffff008357020
0xfffffff008bd7b94: e00313aa  mov	x0, x19
0xfffffff008bd7b98: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008bd7b9c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008bd7ba0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008bd7ba4: ff830191  add	sp, sp, #0x60
0xfffffff008bd7ba8: ff0f5fd6  retab	
0xfffffff008bd7bac: 7f2303d5  pacibsp	
0xfffffff008bd7bb0: ffc300d1  sub	sp, sp, #0x30
0xfffffff008bd7bb4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008bd7bb8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008bd7bbc: fd830091  add	x29, sp, #0x20
0xfffffff008bd7bc0: f40302aa  mov	x20, x2
0xfffffff008bd7bc4: 53588052  mov	w19, #0x2c2
0xfffffff008bd7bc8: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008bd7bcc: 61b800d0  adrp	x1, #0xfffffff00a2e5000
0xfffffff008bd7bd0: 21200f91  add	x1, x1, #0x3c8
0xfffffff008bd7bd4: 4830dc97  bl	#0xfffffff0082e3cf4
0xfffffff008bd7bd8: 200200b4  cbz	x0, #0xfffffff008bd7c1c
0xfffffff008bd7bdc: 005840f9  ldr	x0, [x0, #0xb0]
0xfffffff008bd7be0: 000200b4  cbz	x0, #0xfffffff008bd7c20
0xfffffff008bd7be4: 882a40b9  ldr	w8, [x20, #0x28]
0xfffffff008bd7be8: 1f050071  cmp	w8, #1
0xfffffff008bd7bec: a1010054  b.ne	#0xfffffff008bd7c20
0xfffffff008bd7bf0: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff008bd7bf4: 080140b9  ldr	w8, [x8]
0xfffffff008bd7bf8: e80f00b9  str	w8, [sp, #0xc]
0xfffffff008bd7bfc: 1f050071  cmp	w8, #1
0xfffffff008bd7c00: a0010054  b.eq	#0xfffffff008bd7c34
0xfffffff008bd7c04: e8000035  cbnz	w8, #0xfffffff008bd7c20
