; Candidate 13205
; ADRP+ADD at VM 0xfffffff009221cb4 (fileoff 0x221dcb4): page=0x10fa000 add_imm=0xd50

0xfffffff009221c34: ffc300d1  sub	sp, sp, #0x30
0xfffffff009221c38: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009221c3c: fd830091  add	x29, sp, #0x20
0xfffffff009221c40: a8068052  mov	w8, #0x35
0xfffffff009221c44: 4914fff0  adrp	x9, #0xfffffff0074ac000
0xfffffff009221c48: 294d1791  add	x9, x9, #0x5d3
0xfffffff009221c4c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009221c50: e00300f9  str	x0, [sp]
0xfffffff009221c54: 4014fff0  adrp	x0, #0xfffffff0074ac000
0xfffffff009221c58: 001c1791  add	x0, x0, #0x5c7
0xfffffff009221c5c: 2ccac997  bl	#0xfffffff00849450c
0xfffffff009221c60: 7f2303d5  pacibsp	
0xfffffff009221c64: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009221c68: fd030091  mov	x29, sp
0xfffffff009221c6c: c08700d0  adrp	x0, #0xfffffff00a31b000
0xfffffff009221c70: 00403591  add	x0, x0, #0xd50
0xfffffff009221c74: 6114ffd0  adrp	x1, #0xfffffff0074af000
0xfffffff009221c78: 21c41491  add	x1, x1, #0x531
0xfffffff009221c7c: 424bffd0  adrp	x2, #0xfffffff007b8b000
0xfffffff009221c80: 426843f9  ldr	x2, [x2, #0x6d0]
0xfffffff009221c84: 031e8052  mov	w3, #0xf0
0xfffffff009221c88: ac07c397  bl	#0xfffffff0082e3b38
0xfffffff009221c8c: 704bff90  adrp	x16, #0xfffffff007b8d000
0xfffffff009221c90: 10821e91  add	x16, x16, #0x7a0
0xfffffff009221c94: 10420091  add	x16, x16, #0x10
0xfffffff009221c98: f10300aa  mov	x17, x0
0xfffffff009221c9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009221ca0: 300ac1da  pacda	x16, x17
0xfffffff009221ca4: 100000f9  str	x16, [x0]
0xfffffff009221ca8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009221cac: ff0f5fd6  retab	
0xfffffff009221cb0: 5f2403d5  bti	c
0xfffffff009221cb4: c08700d0  adrp	x0, #0xfffffff00a31b000
0xfffffff009221cb8: 00403591  add	x0, x0, #0xd50
0xfffffff009221cbc: 8e0ac317  b	#0xfffffff0082e46f4
0xfffffff009221cc0: 7f2303d5  pacibsp	
0xfffffff009221cc4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009221cc8: fd030091  mov	x29, sp
0xfffffff009221ccc: 6114fff0  adrp	x1, #0xfffffff0074b0000
0xfffffff009221cd0: 21001891  add	x1, x1, #0x600
0xfffffff009221cd4: 424bffd0  adrp	x2, #0xfffffff007b8b000
0xfffffff009221cd8: 426443f9  ldr	x2, [x2, #0x6c8]
0xfffffff009221cdc: 03028052  mov	w3, #0x10
0xfffffff009221ce0: 9607c397  bl	#0xfffffff0082e3b38
0xfffffff009221ce4: 704bff90  adrp	x16, #0xfffffff007b8d000
0xfffffff009221ce8: 10222391  add	x16, x16, #0x8c8
0xfffffff009221cec: 10420091  add	x16, x16, #0x10
0xfffffff009221cf0: f10300aa  mov	x17, x0
0xfffffff009221cf4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009221cf8: 300ac1da  pacda	x16, x17
0xfffffff009221cfc: 100000f9  str	x16, [x0]
0xfffffff009221d00: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009221d04: ff0f5fd6  retab	
0xfffffff009221d08: 5f2403d5  bti	c
0xfffffff009221d0c: 7a0ac317  b	#0xfffffff0082e46f4
0xfffffff009221d10: 7f2303d5  pacibsp	
0xfffffff009221d14: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009221d18: fd030091  mov	x29, sp
0xfffffff009221d1c: 9416c397  bl	#0xfffffff0082e776c
0xfffffff009221d20: 704bff90  adrp	x16, #0xfffffff007b8d000
0xfffffff009221d24: 10e22091  add	x16, x16, #0x838
0xfffffff009221d28: 10420091  add	x16, x16, #0x10
0xfffffff009221d2c: f10300aa  mov	x17, x0
0xfffffff009221d30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
