; Candidate 6281
; ADRP+ADD at VM 0xfffffff00881f29c (fileoff 0x181b29c): page=0x1fe9f4000 add_imm=0xd2e

0xfffffff00881f21c: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00881f220: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00881f224: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00881f228: ff830291  add	sp, sp, #0xa0
0xfffffff00881f22c: ff0f5fd6  retab	
0xfffffff00881f230: 7f2303d5  pacibsp	
0xfffffff00881f234: ff0302d1  sub	sp, sp, #0x80
0xfffffff00881f238: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00881f23c: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00881f240: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00881f244: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00881f248: fdc30191  add	x29, sp, #0x70
0xfffffff00881f24c: f40301aa  mov	x20, x1
0xfffffff00881f250: f30300aa  mov	x19, x0
0xfffffff00881f254: a00e8052  mov	w0, #0x75
0xfffffff00881f258: e1008052  mov	w1, #7
0xfffffff00881f25c: 5d710194  bl	#0xfffffff00887b7d0
0xfffffff00881f260: a0040034  cbz	w0, #0xfffffff00881f2f4
0xfffffff00881f264: a00e8052  mov	w0, #0x75
0xfffffff00881f268: 6c710194  bl	#0xfffffff00887b818
0xfffffff00881f26c: f60300aa  mov	x22, x0
0xfffffff00881f270: cf530294  bl	#0xfffffff0088b41ac
0xfffffff00881f274: f50300aa  mov	x21, x0
0xfffffff00881f278: e0008052  mov	w0, #7
0xfffffff00881f27c: 75710194  bl	#0xfffffff00887b850
0xfffffff00881f280: 76010034  cbz	w22, #0xfffffff00881f2ac
0xfffffff00881f284: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881f288: 0850ffb0  adrp	x8, #0xfffffff007220000
0xfffffff00881f28c: 08950491  add	x8, x8, #0x125
0xfffffff00881f290: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881f294: a80e8052  mov	w8, #0x75
0xfffffff00881f298: f52300a9  stp	x21, x8, [sp]
0xfffffff00881f29c: a04fff90  adrp	x0, #0xfffffff007213000
0xfffffff00881f2a0: 00b83491  add	x0, x0, #0xd2e
0xfffffff00881f2a4: 6f60d697  bl	#0xfffffff007db7460
0xfffffff00881f2a8: 13000014  b	#0xfffffff00881f2f4
0xfffffff00881f2ac: c0530294  bl	#0xfffffff0088b41ac
0xfffffff00881f2b0: f50300aa  mov	x21, x0
0xfffffff00881f2b4: e0008052  mov	w0, #7
0xfffffff00881f2b8: 66710194  bl	#0xfffffff00887b850
0xfffffff00881f2bc: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881f2c0: 0850ffb0  adrp	x8, #0xfffffff007220000
0xfffffff00881f2c4: 08950491  add	x8, x8, #0x125
0xfffffff00881f2c8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881f2cc: a80e8052  mov	w8, #0x75
0xfffffff00881f2d0: f52300a9  stp	x21, x8, [sp]
0xfffffff00881f2d4: 404effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881f2d8: 00003a91  add	x0, x0, #0xe80
0xfffffff00881f2dc: 418fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881f2e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881f2e4: 4351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff00881f2e8: 638c1891  add	x3, x3, #0x623
0xfffffff00881f2ec: 02008052  mov	w2, #0
0xfffffff00881f2f0: 904fec97  bl	#0xfffffff008333130
0xfffffff00881f2f4: 954a40f9  ldr	x21, [x20, #0x90]
0xfffffff00881f2f8: 602640f9  ldr	x0, [x19, #0x48]
0xfffffff00881f2fc: 831240b9  ldr	w3, [x20, #0x10]
0xfffffff00881f300: 849641a9  ldp	x4, x5, [x20, #0x18]
0xfffffff00881f304: 865a40b9  ldr	w6, [x20, #0x58]
0xfffffff00881f308: b50000b4  cbz	x21, #0xfffffff00881f31c
0xfffffff00881f30c: a8c640b9  ldr	w8, [x21, #0xc4]
0xfffffff00881f310: 89668b52  mov	w9, #0x5b34
0xfffffff00881f314: a96a69b8  ldr	w9, [x21, x9]
0xfffffff00881f318: 03000014  b	#0xfffffff00881f324
