; Candidate 6572
; ADRP+ADD at VM 0xfffffff008833904 (fileoff 0x182f904): page=0x1fe9e0000 add_imm=0xd2e

0xfffffff008833884: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008833888: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00883388c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008833890: ffc30191  add	sp, sp, #0x70
0xfffffff008833894: ff0f5fd6  retab	
0xfffffff008833898: 7f2303d5  pacibsp	
0xfffffff00883389c: ff0302d1  sub	sp, sp, #0x80
0xfffffff0088338a0: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0088338a4: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0088338a8: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0088338ac: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0088338b0: fdc30191  add	x29, sp, #0x70
0xfffffff0088338b4: f40301aa  mov	x20, x1
0xfffffff0088338b8: f30300aa  mov	x19, x0
0xfffffff0088338bc: 200f8052  mov	w0, #0x79
0xfffffff0088338c0: 01018052  mov	w1, #8
0xfffffff0088338c4: c31f0194  bl	#0xfffffff00887b7d0
0xfffffff0088338c8: 40020034  cbz	w0, #0xfffffff008833910
0xfffffff0088338cc: 200f8052  mov	w0, #0x79
0xfffffff0088338d0: d21f0194  bl	#0xfffffff00887b818
0xfffffff0088338d4: f60300aa  mov	x22, x0
0xfffffff0088338d8: 35020294  bl	#0xfffffff0088b41ac
0xfffffff0088338dc: f50300aa  mov	x21, x0
0xfffffff0088338e0: 00018052  mov	w0, #8
0xfffffff0088338e4: db1f0194  bl	#0xfffffff00887b850
0xfffffff0088338e8: 36020034  cbz	w22, #0xfffffff00883392c
0xfffffff0088338ec: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088338f0: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff0088338f4: 085d3e91  add	x8, x8, #0xf97
0xfffffff0088338f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088338fc: 280f8052  mov	w8, #0x79
0xfffffff008833900: f52300a9  stp	x21, x8, [sp]
0xfffffff008833904: 004fff90  adrp	x0, #0xfffffff007213000
0xfffffff008833908: 00b83491  add	x0, x0, #0xd2e
0xfffffff00883390c: d50ed697  bl	#0xfffffff007db7460
0xfffffff008833910: 530300b4  cbz	x19, #0xfffffff008833978
0xfffffff008833914: 340300b4  cbz	x20, #0xfffffff008833978
0xfffffff008833918: 61720091  add	x1, x19, #0x1c
0xfffffff00883391c: e00314aa  mov	x0, x20
0xfffffff008833920: 6020ff97  bl	#0xfffffff0087fbaa0
0xfffffff008833924: f50300aa  mov	x21, x0
0xfffffff008833928: 45000014  b	#0xfffffff008833a3c
0xfffffff00883392c: 20020294  bl	#0xfffffff0088b41ac
0xfffffff008833930: f50300aa  mov	x21, x0
0xfffffff008833934: 00018052  mov	w0, #8
0xfffffff008833938: c61f0194  bl	#0xfffffff00887b850
0xfffffff00883393c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008833940: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff008833944: 085d3e91  add	x8, x8, #0xf97
0xfffffff008833948: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883394c: 280f8052  mov	w8, #0x79
0xfffffff008833950: f52300a9  stp	x21, x8, [sp]
0xfffffff008833954: a04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008833958: 00003a91  add	x0, x0, #0xe80
0xfffffff00883395c: a18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff008833960: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008833964: c350ffd0  adrp	x3, #0xfffffff00724d000
0xfffffff008833968: 63842a91  add	x3, x3, #0xaa1
0xfffffff00883396c: 02008052  mov	w2, #0
0xfffffff008833970: f0fdeb97  bl	#0xfffffff008333130
0xfffffff008833974: 13fdffb5  cbnz	x19, #0xfffffff008833914
0xfffffff008833978: 200f8052  mov	w0, #0x79
0xfffffff00883397c: 81008052  mov	w1, #4
0xfffffff008833980: 941f0194  bl	#0xfffffff00887b7d0
