; Candidate 7834
; ADRP+ADD at VM 0xfffffff0088821b4 (fileoff 0x187e1b4): page=0x1fe967000 add_imm=0xe80

0xfffffff008882134: f52704a9  stp	x21, x9, [sp, #0x40]
0xfffffff008882138: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00888213c: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882140: 08f50691  add	x8, x8, #0x1bd
0xfffffff008882144: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008882148: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff00888214c: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882150: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008882154: 880b8052  mov	w8, #0x5c
0xfffffff008882158: 804cff90  adrp	x0, #0xfffffff007212000
0xfffffff00888215c: 00043091  add	x0, x0, #0xc01
0xfffffff008882160: f72300a9  stp	x23, x8, [sp]
0xfffffff008882164: bfd4d497  bl	#0xfffffff007db7460
0xfffffff008882168: 1b000014  b	#0xfffffff0088821d4
0xfffffff00888216c: 10c80094  bl	#0xfffffff0088b41ac
0xfffffff008882170: f70300aa  mov	x23, x0
0xfffffff008882174: e0008052  mov	w0, #7
0xfffffff008882178: b6e5ff97  bl	#0xfffffff00887b850
0xfffffff00888217c: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008882180: e903162a  mov	w9, w22
0xfffffff008882184: ea0315aa  mov	x10, x21
0xfffffff008882188: ea2704a9  stp	x10, x9, [sp, #0x40]
0xfffffff00888218c: e90314aa  mov	x9, x20
0xfffffff008882190: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008882194: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882198: 08f50691  add	x8, x8, #0x1bd
0xfffffff00888219c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088821a0: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088821a4: 08fd0891  add	x8, x8, #0x23f
0xfffffff0088821a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088821ac: 880b8052  mov	w8, #0x5c
0xfffffff0088821b0: f72300a9  stp	x23, x8, [sp]
0xfffffff0088821b4: 204bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088821b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088821bc: 218cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088821c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088821c4: c34effd0  adrp	x3, #0xfffffff00725c000
0xfffffff0088821c8: 63000491  add	x3, x3, #0x100
0xfffffff0088821cc: 02008052  mov	w2, #0
0xfffffff0088821d0: d8c3ea97  bl	#0xfffffff008333130
0xfffffff0088821d4: 684a348b  add	x8, x19, w20, uxtw #2
0xfffffff0088821d8: 083140b9  ldr	w8, [x8, #0x30]
0xfffffff0088821dc: 1f01156b  cmp	w8, w21
0xfffffff0088821e0: ed000054  b.le	#0xfffffff0088821fc
0xfffffff0088821e4: e00313aa  mov	x0, x19
0xfffffff0088821e8: e10314aa  mov	x1, x20
0xfffffff0088821ec: e20315aa  mov	x2, x21
0xfffffff0088821f0: e30316aa  mov	x3, x22
0xfffffff0088821f4: 25050094  bl	#0xfffffff008883688
0xfffffff0088821f8: 07000014  b	#0xfffffff008882214
0xfffffff0088821fc: 0a020054  b.ge	#0xfffffff00888223c
0xfffffff008882200: e00313aa  mov	x0, x19
0xfffffff008882204: e10314aa  mov	x1, x20
0xfffffff008882208: e20315aa  mov	x2, x21
0xfffffff00888220c: e30316aa  mov	x3, x22
0xfffffff008882210: 81040094  bl	#0xfffffff008883414
0xfffffff008882214: f70300aa  mov	x23, x0
0xfffffff008882218: 1fc00f31  cmn	w0, #0x3f0
0xfffffff00888221c: 21010054  b.ne	#0xfffffff008882240
0xfffffff008882220: 16010034  cbz	w22, #0xfffffff008882240
0xfffffff008882224: e00313aa  mov	x0, x19
0xfffffff008882228: e10314aa  mov	x1, x20
0xfffffff00888222c: e20315aa  mov	x2, x21
0xfffffff008882230: 61fdff97  bl	#0xfffffff0088817b4
