; Candidate 16895
; ADRP+ADD at VM 0xfffffff009fd50c8 (fileoff 0x2fd10c8): page=0x402000 add_imm=0xdb0

0xfffffff009fd5048: 00002991  add	x0, x0, #0xa40
0xfffffff009fd504c: 07198897  bl	#0xfffffff0081db468
0xfffffff009fd5050: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd5054: 00402a91  add	x0, x0, #0xa90
0xfffffff009fd5058: 04198897  bl	#0xfffffff0081db468
0xfffffff009fd505c: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd5060: 00802b91  add	x0, x0, #0xae0
0xfffffff009fd5064: 01198897  bl	#0xfffffff0081db468
0xfffffff009fd5068: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd506c: 00c02c91  add	x0, x0, #0xb30
0xfffffff009fd5070: fe188897  bl	#0xfffffff0081db468
0xfffffff009fd5074: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd5078: 00002e91  add	x0, x0, #0xb80
0xfffffff009fd507c: fb188897  bl	#0xfffffff0081db468
0xfffffff009fd5080: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd5084: 00402f91  add	x0, x0, #0xbd0
0xfffffff009fd5088: f8188897  bl	#0xfffffff0081db468
0xfffffff009fd508c: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd5090: 00803091  add	x0, x0, #0xc20
0xfffffff009fd5094: f5188897  bl	#0xfffffff0081db468
0xfffffff009fd5098: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd509c: 00c03191  add	x0, x0, #0xc70
0xfffffff009fd50a0: f2188897  bl	#0xfffffff0081db468
0xfffffff009fd50a4: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd50a8: 00003391  add	x0, x0, #0xcc0
0xfffffff009fd50ac: ef188897  bl	#0xfffffff0081db468
0xfffffff009fd50b0: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd50b4: 00403491  add	x0, x0, #0xd10
0xfffffff009fd50b8: ec188897  bl	#0xfffffff0081db468
0xfffffff009fd50bc: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd50c0: 00803591  add	x0, x0, #0xd60
0xfffffff009fd50c4: e9188897  bl	#0xfffffff0081db468
0xfffffff009fd50c8: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd50cc: 00c03691  add	x0, x0, #0xdb0
0xfffffff009fd50d0: e6188897  bl	#0xfffffff0081db468
0xfffffff009fd50d4: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd50d8: 00003891  add	x0, x0, #0xe00
0xfffffff009fd50dc: e3188897  bl	#0xfffffff0081db468
0xfffffff009fd50e0: 002000d0  adrp	x0, #0xfffffff00a3d7000
0xfffffff009fd50e4: 00403991  add	x0, x0, #0xe50
0xfffffff009fd50e8: e0188897  bl	#0xfffffff0081db468
0xfffffff009fd50ec: e8830091  add	x8, sp, #0x20
0xfffffff009fd50f0: 10ffff90  adrp	x16, #0xfffffff009fb5000
0xfffffff009fd50f4: 10a23091  add	x16, x16, #0xc28
0xfffffff009fd50f8: f10308aa  mov	x17, x8
0xfffffff009fd50fc: 312cedf2  movk	x17, #0x6961, lsl #48
0xfffffff009fd5100: 3002c1da  pacia	x16, x17
0xfffffff009fd5104: f01300f9  str	x16, [sp, #0x20]
0xfffffff009fd5108: 09210091  add	x9, x8, #8
0xfffffff009fd510c: f0ffffd0  adrp	x16, #0xfffffff009fd3000
0xfffffff009fd5110: 10722891  add	x16, x16, #0xa1c
0xfffffff009fd5114: f10309aa  mov	x17, x9
0xfffffff009fd5118: 51c1fef2  movk	x17, #0xf60a, lsl #48
0xfffffff009fd511c: 3002c1da  pacia	x16, x17
0xfffffff009fd5120: f01700f9  str	x16, [sp, #0x28]
0xfffffff009fd5124: 09410091  add	x9, x8, #0x10
0xfffffff009fd5128: 30ffff90  adrp	x16, #0xfffffff009fb9000
0xfffffff009fd512c: 10b21391  add	x16, x16, #0x4ec
0xfffffff009fd5130: f10309aa  mov	x17, x9
0xfffffff009fd5134: 31a0ebf2  movk	x17, #0x5d01, lsl #48
0xfffffff009fd5138: 3002c1da  pacia	x16, x17
0xfffffff009fd513c: f01b00f9  str	x16, [sp, #0x30]
0xfffffff009fd5140: 09610091  add	x9, x8, #0x18
0xfffffff009fd5144: 90fdfff0  adrp	x16, #0xfffffff009f88000
