; Candidate 2673
; ADRP+ADD at VM 0xfffffff0086db40c (fileoff 0x16d740c): page=0x1fea56000 add_imm=0xd90

0xfffffff0086db38c: 5afeffb5  cbnz	x26, #0xfffffff0086db354
0xfffffff0086db390: 05000014  b	#0xfffffff0086db3a4
0xfffffff0086db394: 17008052  mov	w23, #0
0xfffffff0086db398: b8c356b8  ldur	w24, [x29, #-0x94]
0xfffffff0086db39c: fbe75229  ldp	w27, w25, [sp, #0x94]
0xfffffff0086db3a0: fc4740f9  ldr	x28, [sp, #0x88]
0xfffffff0086db3a4: e82b40f9  ldr	x8, [sp, #0x50]
0xfffffff0086db3a8: e94b40b9  ldr	w9, [sp, #0x48]
0xfffffff0086db3ac: 090100b9  str	w9, [x8]
0xfffffff0086db3b0: f50308aa  mov	x21, x8
0xfffffff0086db3b4: 88ff60d3  lsr	x8, x28, #0x20
0xfffffff0086db3b8: a80100b4  cbz	x8, #0xfffffff0086db3ec
0xfffffff0086db3bc: e8f08052  mov	w8, #0x787
0xfffffff0086db3c0: a953ff90  adrp	x9, #0xfffffff00714f000
0xfffffff0086db3c4: 293d0b91  add	x9, x9, #0x2cf
0xfffffff0086db3c8: e92300a9  stp	x9, x8, [sp]
0xfffffff0086db3cc: a052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086db3d0: 00403691  add	x0, x0, #0xd90
0xfffffff0086db3d4: 0199ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086db3d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086db3dc: c352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086db3e0: 63580d91  add	x3, x3, #0x356
0xfffffff0086db3e4: 02008052  mov	w2, #0
0xfffffff0086db3e8: 525ff197  bl	#0xfffffff008333130
0xfffffff0086db3ec: bcee0029  stp	w28, w27, [x21, #4]
0xfffffff0086db3f0: 88fe60d3  lsr	x8, x20, #0x20
0xfffffff0086db3f4: b8e60129  stp	w24, w25, [x21, #0xc]
0xfffffff0086db3f8: a80100b4  cbz	x8, #0xfffffff0086db42c
0xfffffff0086db3fc: 68f18052  mov	w8, #0x78b
0xfffffff0086db400: a953ff90  adrp	x9, #0xfffffff00714f000
0xfffffff0086db404: 293d0b91  add	x9, x9, #0x2cf
0xfffffff0086db408: e92300a9  stp	x9, x8, [sp]
0xfffffff0086db40c: a052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086db410: 00403691  add	x0, x0, #0xd90
0xfffffff0086db414: 0199ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086db418: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086db41c: c352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086db420: 63280e91  add	x3, x3, #0x38a
0xfffffff0086db424: 02008052  mov	w2, #0
0xfffffff0086db428: 425ff197  bl	#0xfffffff008333130
0xfffffff0086db42c: e88740b9  ldr	w8, [sp, #0x84]
0xfffffff0086db430: 08fd0111  add	w8, w8, #0x7f
0xfffffff0086db434: b41600b9  str	w20, [x21, #0x14]
0xfffffff0086db438: 08611912  and	w8, w8, #0xffffff80
0xfffffff0086db43c: e10fc03d  ldr	q1, [sp, #0x30]
0xfffffff0086db440: a003d73c  ldur	q0, [x29, #-0x90]
0xfffffff0086db444: a182016d  stp	d1, d0, [x21, #0x18]
0xfffffff0086db448: a84e0529  stp	w8, w19, [x21, #0x28]
0xfffffff0086db44c: b73200b9  str	w23, [x21, #0x30]
0xfffffff0086db450: fd7b53a9  ldp	x29, x30, [sp, #0x130]
0xfffffff0086db454: f44f52a9  ldp	x20, x19, [sp, #0x120]
0xfffffff0086db458: f65751a9  ldp	x22, x21, [sp, #0x110]
0xfffffff0086db45c: f85f50a9  ldp	x24, x23, [sp, #0x100]
0xfffffff0086db460: fa674fa9  ldp	x26, x25, [sp, #0xf0]
0xfffffff0086db464: fc6f4ea9  ldp	x28, x27, [sp, #0xe0]
0xfffffff0086db468: e9234d6d  ldp	d9, d8, [sp, #0xd0]
0xfffffff0086db46c: ff030591  add	sp, sp, #0x140
0xfffffff0086db470: ff0f5fd6  retab	
0xfffffff0086db474: 0f008052  mov	w15, #0
0xfffffff0086db478: 28008052  mov	w8, #1
0xfffffff0086db47c: ae4359b8  ldur	w14, [x29, #-0x6c]
0xfffffff0086db480: 58feff17  b	#0xfffffff0086dade0
0xfffffff0086db484: 5f2403d5  bti	c
0xfffffff0086db488: 080c40f9  ldr	x8, [x0, #0x18]
