; Candidate 6738
; ADRP+ADD at VM 0xfffffff00883deac (fileoff 0x1839eac): page=0x1fe9ac000 add_imm=0xe80

0xfffffff00883de2c: 63d81791  add	x3, x3, #0x5f6
0xfffffff00883de30: 02008052  mov	w2, #0
0xfffffff00883de34: bfd4eb97  bl	#0xfffffff008333130
0xfffffff00883de38: e00316aa  mov	x0, x22
0xfffffff00883de3c: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00883de40: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00883de44: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00883de48: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00883de4c: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff00883de50: ffc30291  add	sp, sp, #0xb0
0xfffffff00883de54: ff0f5fd6  retab	
0xfffffff00883de58: d5d80194  bl	#0xfffffff0088b41ac
0xfffffff00883de5c: f60300aa  mov	x22, x0
0xfffffff00883de60: 80008052  mov	w0, #4
0xfffffff00883de64: 7bf60094  bl	#0xfffffff00887b850
0xfffffff00883de68: e80315aa  mov	x8, x21
0xfffffff00883de6c: e8ff04a9  stp	x8, xzr, [sp, #0x48]
0xfffffff00883de70: f3d303a9  stp	x19, x20, [sp, #0x38]
0xfffffff00883de74: 284ffff0  adrp	x8, #0xfffffff007224000
0xfffffff00883de78: 0a750291  add	x10, x8, #0x9d
0xfffffff00883de7c: 282f8052  mov	w8, #0x179
0xfffffff00883de80: 294fffd0  adrp	x9, #0xfffffff007223000
0xfffffff00883de84: 29813f91  add	x9, x9, #0xfe0
0xfffffff00883de88: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00883de8c: 284fffd0  adrp	x8, #0xfffffff007223000
0xfffffff00883de90: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883de94: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883de98: 680a8052  mov	w8, #0x53
0xfffffff00883de9c: 8350ffd0  adrp	x3, #0xfffffff00724f000
0xfffffff00883dea0: 63b81491  add	x3, x3, #0x52e
0xfffffff00883dea4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00883dea8: f60300f9  str	x22, [sp]
0xfffffff00883deac: 604dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00883deb0: 00003a91  add	x0, x0, #0xe80
0xfffffff00883deb4: 418efff0  adrp	x1, #0xfffffff007a08000
0xfffffff00883deb8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883debc: 02008052  mov	w2, #0
0xfffffff00883dec0: 9cd4eb97  bl	#0xfffffff008333130
0xfffffff00883dec4: 16008052  mov	w22, #0
0xfffffff00883dec8: aaffff17  b	#0xfffffff00883dd70
0xfffffff00883decc: b8d80194  bl	#0xfffffff0088b41ac
0xfffffff00883ded0: f70300aa  mov	x23, x0
0xfffffff00883ded4: 80008052  mov	w0, #4
0xfffffff00883ded8: 5ef60094  bl	#0xfffffff00887b850
0xfffffff00883dedc: e80316aa  mov	x8, x22
0xfffffff00883dee0: e82b00f9  str	x8, [sp, #0x50]
0xfffffff00883dee4: e80315aa  mov	x8, x21
0xfffffff00883dee8: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00883deec: 884efff0  adrp	x8, #0xfffffff007210000
0xfffffff00883def0: 08b92791  add	x8, x8, #0x9ee
0xfffffff00883def4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00883def8: 28318052  mov	w8, #0x189
0xfffffff00883defc: 294fffd0  adrp	x9, #0xfffffff007223000
0xfffffff00883df00: 29813f91  add	x9, x9, #0xfe0
0xfffffff00883df04: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883df08: 284fffd0  adrp	x8, #0xfffffff007223000
0xfffffff00883df0c: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883df10: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883df14: 680a8052  mov	w8, #0x53
0xfffffff00883df18: 8350ffd0  adrp	x3, #0xfffffff00724f000
0xfffffff00883df1c: 63c81691  add	x3, x3, #0x5b2
0xfffffff00883df20: f72300a9  stp	x23, x8, [sp]
0xfffffff00883df24: 604dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00883df28: 00003a91  add	x0, x0, #0xe80
