; Candidate 1407
; ADRP+ADD at VM 0xfffffff0083a7c90 (fileoff 0x13a3c90): page=0x1e71000 add_imm=0xe90

0xfffffff0083a7c10: a80000b4  cbz	x8, #0xfffffff0083a7c24
0xfffffff0083a7c14: a0aeffd0  adrp	x0, #0xfffffff00797d000
0xfffffff0083a7c18: 00c02a91  add	x0, x0, #0xab0
0xfffffff0083a7c1c: fc87e997  bl	#0xfffffff007e09c0c
0xfffffff0083a7c20: 07000014  b	#0xfffffff0083a7c3c
0xfffffff0083a7c24: a8aeffd0  adrp	x8, #0xfffffff00797d000
0xfffffff0083a7c28: 08dd4ab9  ldr	w8, [x8, #0xadc]
0xfffffff0083a7c2c: 025d4092  and	x2, x8, #0xffffff
0xfffffff0083a7c30: 20acffd0  adrp	x0, #0xfffffff00792d000
0xfffffff0083a7c34: 00c01c91  add	x0, x0, #0x730
0xfffffff0083a7c38: 8dfbe797  bl	#0xfffffff007da6a6c
0xfffffff0083a7c3c: 08008092  mov	x8, #-1
0xfffffff0083a7c40: 680200f9  str	x8, [x19]
0xfffffff0083a7c44: e00313aa  mov	x0, x19
0xfffffff0083a7c48: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0083a7c4c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0083a7c50: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0083a7c54: ff0f5fd6  retab	
0xfffffff0083a7c58: e10314aa  mov	x1, x20
0xfffffff0083a7c5c: 02008052  mov	w2, #0
0xfffffff0083a7c60: a60fe897  bl	#0xfffffff007dabaf8
0xfffffff0083a7c64: 87ffff17  b	#0xfffffff0083a7a80
0xfffffff0083a7c68: e10314aa  mov	x1, x20
0xfffffff0083a7c6c: be12e897  bl	#0xfffffff007dac764
0xfffffff0083a7c70: 35f5ffb5  cbnz	x21, #0xfffffff0083a7b14
0xfffffff0083a7c74: ccffff17  b	#0xfffffff0083a7ba4
0xfffffff0083a7c78: e10314aa  mov	x1, x20
0xfffffff0083a7c7c: ba12e897  bl	#0xfffffff007dac764
0xfffffff0083a7c80: c9ffff17  b	#0xfffffff0083a7ba4
0xfffffff0083a7c84: 7f2303d5  pacibsp	
0xfffffff0083a7c88: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0083a7c8c: fd030091  mov	x29, sp
0xfffffff0083a7c90: 80f300b0  adrp	x0, #0xfffffff00a218000
0xfffffff0083a7c94: 00403a91  add	x0, x0, #0xe90
0xfffffff0083a7c98: c167ff90  adrp	x1, #0xfffffff00709f000
0xfffffff0083a7c9c: 21bc2e91  add	x1, x1, #0xbaf
0xfffffff0083a7ca0: 82f300f0  adrp	x2, #0xfffffff00a21a000
0xfffffff0083a7ca4: 42801091  add	x2, x2, #0x420
0xfffffff0083a7ca8: 030c8052  mov	w3, #0x60
0xfffffff0083a7cac: a3effc97  bl	#0xfffffff0082e3b38
0xfffffff0083a7cb0: 50acffd0  adrp	x16, #0xfffffff007931000
0xfffffff0083a7cb4: 10021491  add	x16, x16, #0x500
0xfffffff0083a7cb8: 10420091  add	x16, x16, #0x10
0xfffffff0083a7cbc: f10300aa  mov	x17, x0
0xfffffff0083a7cc0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083a7cc4: 300ac1da  pacda	x16, x17
0xfffffff0083a7cc8: 100000f9  str	x16, [x0]
0xfffffff0083a7ccc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0083a7cd0: ff0f5fd6  retab	
0xfffffff0083a7cd4: 7f2303d5  pacibsp	
0xfffffff0083a7cd8: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0083a7cdc: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0083a7ce0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0083a7ce4: fd830091  add	x29, sp, #0x20
0xfffffff0083a7ce8: f30301aa  mov	x19, x1
0xfffffff0083a7cec: f40300aa  mov	x20, x0
0xfffffff0083a7cf0: a8aefff0  adrp	x8, #0xfffffff00797e000
0xfffffff0083a7cf4: 08dd4fb9  ldr	w8, [x8, #0xfdc]
0xfffffff0083a7cf8: 08491b12  and	w8, w8, #0xffffe0
0xfffffff0083a7cfc: 1f810171  cmp	w8, #0x60
0xfffffff0083a7d00: 22010054  b.hs	#0xfffffff0083a7d24
0xfffffff0083a7d04: 20acffd0  adrp	x0, #0xfffffff00792d000
0xfffffff0083a7d08: 00c01c91  add	x0, x0, #0x730
0xfffffff0083a7d0c: 010c8052  mov	w1, #0x60
