; Candidate 8607
; ADRP+ADD at VM 0xfffffff0088b71c8 (fileoff 0x18b31c8): page=0x1fe932000 add_imm=0xe80

0xfffffff0088b7148: 700240f9  ldr	x16, [x19]
0xfffffff0088b714c: f10313aa  mov	x17, x19
0xfffffff0088b7150: 71f7e2f2  movk	x17, #0x17bb, lsl #48
0xfffffff0088b7154: 301ac1da  autda	x16, x17
0xfffffff0088b7158: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff0088b715c: e90310aa  mov	x9, x16
0xfffffff0088b7160: e00313aa  mov	x0, x19
0xfffffff0088b7164: f10309aa  mov	x17, x9
0xfffffff0088b7168: 719fe6f2  movk	x17, #0x34fb, lsl #48
0xfffffff0088b716c: 11093fd7  blraa	x8, x17
0xfffffff0088b7170: e00314aa  mov	x0, x20
0xfffffff0088b7174: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088b7178: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088b717c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088b7180: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088b7184: ff030291  add	sp, sp, #0x80
0xfffffff0088b7188: ff0f5fd6  retab	
0xfffffff0088b718c: 08f4ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7190: f50300aa  mov	x21, x0
0xfffffff0088b7194: 80008052  mov	w0, #4
0xfffffff0088b7198: ae11ff97  bl	#0xfffffff00887b850
0xfffffff0088b719c: e80314aa  mov	x8, x20
0xfffffff0088b71a0: e81b00f9  str	x8, [sp, #0x30]
0xfffffff0088b71a4: c8498052  mov	w8, #0x24e
0xfffffff0088b71a8: e94bffd0  adrp	x9, #0xfffffff007235000
0xfffffff0088b71ac: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088b71b0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b71b4: e84bffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b71b8: 08ed3c91  add	x8, x8, #0xf3b
0xfffffff0088b71bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b71c0: 88088052  mov	w8, #0x44
0xfffffff0088b71c4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088b71c8: 8049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b71cc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b71d0: 818affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b71d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b71d8: 634dffd0  adrp	x3, #0xfffffff007265000
0xfffffff0088b71dc: 63540a91  add	x3, x3, #0x295
0xfffffff0088b71e0: 02008052  mov	w2, #0
0xfffffff0088b71e4: d3efe997  bl	#0xfffffff008333130
0xfffffff0088b71e8: 13fbffb5  cbnz	x19, #0xfffffff0088b7148
0xfffffff0088b71ec: e1ffff17  b	#0xfffffff0088b7170
0xfffffff0088b71f0: 69224129  ldp	w9, w8, [x19, #8]
0xfffffff0088b71f4: 280d080b  add	w8, w9, w8, lsl #3
0xfffffff0088b71f8: a88200b9  str	w8, [x21, #0x80]
0xfffffff0088b71fc: 80088052  mov	w0, #0x44
0xfffffff0088b7200: e1008052  mov	w1, #7
0xfffffff0088b7204: 7311ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b7208: 40020034  cbz	w0, #0xfffffff0088b7250
0xfffffff0088b720c: 80088052  mov	w0, #0x44
0xfffffff0088b7210: 8211ff97  bl	#0xfffffff00887b818
0xfffffff0088b7214: f60300aa  mov	x22, x0
0xfffffff0088b7218: e5f3ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b721c: f40300aa  mov	x20, x0
0xfffffff0088b7220: e0008052  mov	w0, #7
0xfffffff0088b7224: 8b11ff97  bl	#0xfffffff00887b850
0xfffffff0088b7228: 96010034  cbz	w22, #0xfffffff0088b7258
0xfffffff0088b722c: a88240b9  ldr	w8, [x21, #0x80]
0xfffffff0088b7230: 097d43d3  ubfx	x9, x8, #3, #0x1d
0xfffffff0088b7234: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b7238: 88088052  mov	w8, #0x44
0xfffffff0088b723c: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b7240: e91300f9  str	x9, [sp, #0x20]
0xfffffff0088b7244: e04bffd0  adrp	x0, #0xfffffff007235000
