; Candidate 3016
; ADRP+ADD at VM 0xfffffff0087056d0 (fileoff 0x17016d0): page=0x1fea2c000 add_imm=0xd90

0xfffffff008705650: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008705654: 170940f9  ldr	x23, [x8, #0x10]
0xfffffff008705658: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff00870565c: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff008705660: c90100b4  cbz	x9, #0xfffffff008705698
0xfffffff008705664: 09ed8052  mov	w9, #0x768
0xfffffff008705668: 4852ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff00870566c: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008705670: e82700a9  stp	x8, x9, [sp]
0xfffffff008705674: 6051ff90  adrp	x0, #0xfffffff007131000
0xfffffff008705678: 00403691  add	x0, x0, #0xd90
0xfffffff00870567c: c197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008705680: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008705684: 02008052  mov	w2, #0
0xfffffff008705688: 8351ffb0  adrp	x3, #0xfffffff007136000
0xfffffff00870568c: 63003091  add	x3, x3, #0xc00
0xfffffff008705690: a8b6f097  bl	#0xfffffff008333130
0xfffffff008705694: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff008705698: e94228ab  adds	x9, x23, w8, uxtw
0xfffffff00870569c: 42050054  b.hs	#0xfffffff008705744
0xfffffff0087056a0: 29a560d3  ubfx	x9, x9, #0x20, #0xa
0xfffffff0087056a4: 29030079  strh	w9, [x25]
0xfffffff0087056a8: e91740f9  ldr	x9, [sp, #0x28]
0xfffffff0087056ac: 370940f9  ldr	x23, [x9, #0x10]
0xfffffff0087056b0: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff0087056b4: 690000b5  cbnz	x9, #0xfffffff0087056c0
0xfffffff0087056b8: 087d4092  and	x8, x8, #0xffffffff
0xfffffff0087056bc: 0e000014  b	#0xfffffff0087056f4
0xfffffff0087056c0: 29ed8052  mov	w9, #0x769
0xfffffff0087056c4: 4852ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff0087056c8: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087056cc: e82700a9  stp	x8, x9, [sp]
0xfffffff0087056d0: 6051ff90  adrp	x0, #0xfffffff007131000
0xfffffff0087056d4: 00403691  add	x0, x0, #0xd90
0xfffffff0087056d8: c197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087056dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087056e0: 02008052  mov	w2, #0
0xfffffff0087056e4: 8351ffb0  adrp	x3, #0xfffffff007136000
0xfffffff0087056e8: 63d03091  add	x3, x3, #0xc34
0xfffffff0087056ec: 91b6f097  bl	#0xfffffff008333130
0xfffffff0087056f0: e82340b9  ldr	w8, [sp, #0x20]
0xfffffff0087056f4: e80208ab  adds	x8, x23, x8
0xfffffff0087056f8: 62020054  b.hs	#0xfffffff008705744
0xfffffff0087056fc: 282300b8  stur	w8, [x25, #2]
0xfffffff008705700: 366300b8  stur	w22, [x25, #6]
0xfffffff008705704: 68889f92  mov	x8, #-0xfc44
0xfffffff008705708: 0800b0f2  movk	x8, #0x8000, lsl #16
0xfffffff00870570c: 6802088b  add	x8, x19, x8
0xfffffff008705710: 2900c092  mov	x9, #-0x100000001
0xfffffff008705714: 1f0109eb  cmp	x8, x9
0xfffffff008705718: 29040054  b.ls	#0xfffffff00870579c
0xfffffff00870571c: 8877c0d2  mov	x8, #0x3bc00000000
0xfffffff008705720: 7b03088b  add	x27, x27, x8
0xfffffff008705724: b5060091  add	x21, x21, #1
0xfffffff008705728: 18231891  add	x24, x24, #0x608
0xfffffff00870572c: 39b30091  add	x25, x25, #0x2c
0xfffffff008705730: 9f0315eb  cmp	x28, x21
0xfffffff008705734: 41f5ff54  b.ne	#0xfffffff0087055dc
0xfffffff008705738: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff00870573c: e91f40b9  ldr	w9, [sp, #0x1c]
0xfffffff008705740: 04000014  b	#0xfffffff008705750
0xfffffff008705744: 00008012  mov	w0, #-1
0xfffffff008705748: 07000014  b	#0xfffffff008705764
0xfffffff00870574c: 09008052  mov	w9, #0
