; Candidate 13714
; ADRP+ADD at VM 0xfffffff0093e9554 (fileoff 0x23e5554): page=0x1fe129000 add_imm=0xda8

0xfffffff0093e94d4: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff0093e94d8: e90310aa  mov	x9, x16
0xfffffff0093e94dc: f10309aa  mov	x17, x9
0xfffffff0093e94e0: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff0093e94e4: 11093fd7  blraa	x8, x17
0xfffffff0093e94e8: 483ffff0  adrp	x8, #0xfffffff007bd4000
0xfffffff0093e94ec: 088546f9  ldr	x8, [x8, #0xd08]
0xfffffff0093e94f0: 000140f9  ldr	x0, [x8]
0xfffffff0093e94f4: 483ffff0  adrp	x8, #0xfffffff007bd4000
0xfffffff0093e94f8: 086146f9  ldr	x8, [x8, #0xcc0]
0xfffffff0093e94fc: 080140b9  ldr	w8, [x8]
0xfffffff0093e9500: 29008052  mov	w9, #1
0xfffffff0093e9504: 2821c81a  lsl	w8, w9, w8
0xfffffff0093e9508: 037d4093  sxtw	x3, w8
0xfffffff0093e950c: 61028052  mov	w1, #0x13
0xfffffff0093e9510: 02808052  mov	w2, #0x400
0xfffffff0093e9514: bc55bf97  bl	#0xfffffff0083bec04
0xfffffff0093e9518: 600600b4  cbz	x0, #0xfffffff0093e95e4
0xfffffff0093e951c: f50300aa  mov	x21, x0
0xfffffff0093e9520: 100040f9  ldr	x16, [x0]
0xfffffff0093e9524: f10300aa  mov	x17, x0
0xfffffff0093e9528: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093e952c: 301ac1da  autda	x16, x17
0xfffffff0093e9530: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0093e9534: e90310aa  mov	x9, x16
0xfffffff0093e9538: 01008052  mov	w1, #0
0xfffffff0093e953c: f10309aa  mov	x17, x9
0xfffffff0093e9540: 71b6fef2  movk	x17, #0xf5b3, lsl #48
0xfffffff0093e9544: 11093fd7  blraa	x8, x17
0xfffffff0093e9548: 80050034  cbz	w0, #0xfffffff0093e95f8
0xfffffff0093e954c: f70300aa  mov	x23, x0
0xfffffff0093e9550: f70300f9  str	x23, [sp]
0xfffffff0093e9554: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e9558: 00a03691  add	x0, x0, #0xda8
0xfffffff0093e955c: b1b6bd97  bl	#0xfffffff008357020
0xfffffff0093e9560: f60317aa  mov	x22, x23
0xfffffff0093e9564: a2000014  b	#0xfffffff0093e97ec
0xfffffff0093e9568: 56588052  mov	w22, #0x2c2
0xfffffff0093e956c: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff0093e9570: e10300f9  str	x1, [sp]
0xfffffff0093e9574: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e9578: 00142f91  add	x0, x0, #0xbc5
0xfffffff0093e957c: 05000014  b	#0xfffffff0093e9590
0xfffffff0093e9580: 56588052  mov	w22, #0x2c2
0xfffffff0093e9584: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff0093e9588: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e958c: 00743091  add	x0, x0, #0xc1d
0xfffffff0093e9590: a4b6bd97  bl	#0xfffffff008357020
0xfffffff0093e9594: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff0093e9598: 493ffff0  adrp	x9, #0xfffffff007bd4000
0xfffffff0093e959c: 297d46f9  ldr	x9, [x9, #0xcf8]
0xfffffff0093e95a0: 290140f9  ldr	x9, [x9]
0xfffffff0093e95a4: 3f0108eb  cmp	x9, x8
0xfffffff0093e95a8: c1140054  b.ne	#0xfffffff0093e9840
0xfffffff0093e95ac: e00316aa  mov	x0, x22
0xfffffff0093e95b0: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0093e95b4: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0093e95b8: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0093e95bc: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0093e95c0: ffc30291  add	sp, sp, #0xb0
0xfffffff0093e95c4: ff0f5fd6  retab	
0xfffffff0093e95c8: 4009ffb0  adrp	x0, #0xfffffff007512000
0xfffffff0093e95cc: 00c43191  add	x0, x0, #0xc71
0xfffffff0093e95d0: 94b6bd97  bl	#0xfffffff008357020
