; Candidate 16380
; ADRP+ADD at VM 0xfffffff009e7dfb0 (fileoff 0x2e79fb0): page=0x1fd9b6000 add_imm=0xd5d

0xfffffff009e7df30: 41050194  bl	#0xfffffff009ebf434
0xfffffff009e7df34: 20070034  cbz	w0, #0xfffffff009e7e018
0xfffffff009e7df38: ff027df2  tst	x23, #8
0xfffffff009e7df3c: 100000d0  adrp	x16, #0xfffffff009e7f000
0xfffffff009e7df40: 10122391  add	x16, x16, #0x8c4
0xfffffff009e7df44: 31828fd2  mov	x17, #0x7c11
0xfffffff009e7df48: 3002c1da  pacia	x16, x17
0xfffffff009e7df4c: e80310aa  mov	x8, x16
0xfffffff009e7df50: 90f5fed0  adrp	x16, #0xfffffff007d2f000
0xfffffff009e7df54: 102640f9  ldr	x16, [x16, #0x48]
0xfffffff009e7df58: 31828fd2  mov	x17, #0x7c11
0xfffffff009e7df5c: 3002c1da  pacia	x16, x17
0xfffffff009e7df60: 0812889a  csel	x8, x16, x8, ne
0xfffffff009e7df64: f80300f9  str	x24, [sp]
0xfffffff009e7df68: a0cdfed0  adrp	x0, #0xfffffff007833000
0xfffffff009e7df6c: 00803791  add	x0, x0, #0xde0
0xfffffff009e7df70: 31828fd2  mov	x17, #0x7c11
0xfffffff009e7df74: 11093fd7  blraa	x8, x17
0xfffffff009e7df78: 180a8052  mov	w24, #0x50
0xfffffff009e7df7c: 68000014  b	#0xfffffff009e7e11c
0xfffffff009e7df80: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff009e7df84: 010080d2  mov	x1, #0
0xfffffff009e7df88: 22008052  mov	w2, #1
0xfffffff009e7df8c: abdafe97  bl	#0xfffffff009e34a38
0xfffffff009e7df90: a0010034  cbz	w0, #0xfffffff009e7dfc4
0xfffffff009e7df94: f40300aa  mov	x20, x0
0xfffffff009e7df98: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009e7df9c: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff009e7dfa0: 69488052  mov	w9, #0x243
0xfffffff009e7dfa4: a8cdfed0  adrp	x8, #0xfffffff007833000
0xfffffff009e7dfa8: 086d2791  add	x8, x8, #0x9db
0xfffffff009e7dfac: e82700a9  stp	x8, x9, [sp]
0xfffffff009e7dfb0: a0cdfed0  adrp	x0, #0xfffffff007833000
0xfffffff009e7dfb4: 00743591  add	x0, x0, #0xd5d
0xfffffff009e7dfb8: 43060094  bl	#0xfffffff009e7f8c4
0xfffffff009e7dfbc: f80314aa  mov	x24, x20
0xfffffff009e7dfc0: 57000014  b	#0xfffffff009e7e11c
0xfffffff009e7dfc4: e20e43d3  ubfx	x2, x23, #3, #1
0xfffffff009e7dfc8: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff009e7dfcc: e10318aa  mov	x1, x24
0xfffffff009e7dfd0: e3031baa  mov	x3, x27
0xfffffff009e7dfd4: e4031aaa  mov	x4, x26
0xfffffff009e7dfd8: e50319aa  mov	x5, x25
0xfffffff009e7dfdc: 78050194  bl	#0xfffffff009ebf5bc
0xfffffff009e7dfe0: c0010034  cbz	w0, #0xfffffff009e7e018
0xfffffff009e7dfe4: f50300aa  mov	x21, x0
0xfffffff009e7dfe8: f8d701a9  stp	x24, x21, [sp, #0x18]
0xfffffff009e7dfec: e93340f9  ldr	x9, [sp, #0x60]
0xfffffff009e7dff0: c8498052  mov	w8, #0x24e
0xfffffff009e7dff4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009e7dff8: a8cdfed0  adrp	x8, #0xfffffff007833000
0xfffffff009e7dffc: 086d2791  add	x8, x8, #0x9db
0xfffffff009e7e000: e80300f9  str	x8, [sp]
0xfffffff009e7e004: a0cdfeb0  adrp	x0, #0xfffffff007833000
0xfffffff009e7e008: 007c3691  add	x0, x0, #0xd9f
0xfffffff009e7e00c: 2e060094  bl	#0xfffffff009e7f8c4
0xfffffff009e7e010: f80315aa  mov	x24, x21
0xfffffff009e7e014: 42000014  b	#0xfffffff009e7e11c
0xfffffff009e7e018: c0f5fe90  adrp	x0, #0xfffffff007d36000
0xfffffff009e7e01c: 00602591  add	x0, x0, #0x958
0xfffffff009e7e020: 35619397  bl	#0xfffffff0083564f4
0xfffffff009e7e024: a00500b4  cbz	x0, #0xfffffff009e7e0d8
0xfffffff009e7e028: fb0300aa  mov	x27, x0
0xfffffff009e7e02c: b92a00d0  adrp	x25, #0xfffffff00a3d4000
