; Candidate 16867
; ADRP+ADD at VM 0xfffffff009f8cf28 (fileoff 0x2f88f28): page=0x1fd8e2000 add_imm=0xdff

0xfffffff009f8cea8: ffff01a9  stp	xzr, xzr, [sp, #0x18]
0xfffffff009f8ceac: 24c7feb0  adrp	x4, #0xfffffff007871000
0xfffffff009f8ceb0: 840c3a91  add	x4, x4, #0xe83
0xfffffff009f8ceb4: e5630091  add	x5, sp, #0x18
0xfffffff009f8ceb8: 01028052  mov	w1, #0x10
0xfffffff009f8cebc: e20313aa  mov	x2, x19
0xfffffff009f8cec0: 23008052  mov	w3, #1
0xfffffff009f8cec4: 66c70094  bl	#0xfffffff009fbec5c
0xfffffff009f8cec8: 80010034  cbz	w0, #0xfffffff009f8cef8
0xfffffff009f8cecc: 011d7d97  bl	#0xfffffff007ed42d0
0xfffffff009f8ced0: 68078052  mov	w8, #0x3b
0xfffffff009f8ced4: 09c7fed0  adrp	x9, #0xfffffff00786e000
0xfffffff009f8ced8: 29853791  add	x9, x9, #0xde1
0xfffffff009f8cedc: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009f8cee0: e00300f9  str	x0, [sp]
0xfffffff009f8cee4: 00c7fed0  adrp	x0, #0xfffffff00786e000
0xfffffff009f8cee8: 008c3691  add	x0, x0, #0xda3
0xfffffff009f8ceec: 99899397  bl	#0xfffffff00846f550
0xfffffff009f8cef0: 08098012  mov	w8, #-0x49
0xfffffff009f8cef4: 13000014  b	#0xfffffff009f8cf40
0xfffffff009f8cef8: 22c7feb0  adrp	x2, #0xfffffff007871000
0xfffffff009f8cefc: 42c83991  add	x2, x2, #0xe72
0xfffffff009f8cf00: e1630091  add	x1, sp, #0x18
0xfffffff009f8cf04: 00028052  mov	w0, #0x10
0xfffffff009f8cf08: 2fe90094  bl	#0xfffffff009fc73c4
0xfffffff009f8cf0c: 80010034  cbz	w0, #0xfffffff009f8cf3c
0xfffffff009f8cf10: f01c7d97  bl	#0xfffffff007ed42d0
0xfffffff009f8cf14: 08088052  mov	w8, #0x40
0xfffffff009f8cf18: 09c7fed0  adrp	x9, #0xfffffff00786e000
0xfffffff009f8cf1c: 29853791  add	x9, x9, #0xde1
0xfffffff009f8cf20: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009f8cf24: e00300f9  str	x0, [sp]
0xfffffff009f8cf28: 00c7fed0  adrp	x0, #0xfffffff00786e000
0xfffffff009f8cf2c: 00fc3791  add	x0, x0, #0xdff
0xfffffff009f8cf30: 88899397  bl	#0xfffffff00846f550
0xfffffff009f8cf34: 48098012  mov	w8, #-0x4b
0xfffffff009f8cf38: 02000014  b	#0xfffffff009f8cf40
0xfffffff009f8cf3c: 08008052  mov	w8, #0
0xfffffff009f8cf40: a9835ef8  ldur	x9, [x29, #-0x18]
0xfffffff009f8cf44: caedfe90  adrp	x10, #0xfffffff007d44000
0xfffffff009f8cf48: 4a2d43f9  ldr	x10, [x10, #0x658]
0xfffffff009f8cf4c: 4a0140f9  ldr	x10, [x10]
0xfffffff009f8cf50: 5f0109eb  cmp	x10, x9
0xfffffff009f8cf54: c1000054  b.ne	#0xfffffff009f8cf6c
0xfffffff009f8cf58: 0001142a  orr	w0, w8, w20
0xfffffff009f8cf5c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009f8cf60: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009f8cf64: ff430191  add	sp, sp, #0x50
0xfffffff009f8cf68: ff0f5fd6  retab	
0xfffffff009f8cf6c: b8437797  bl	#0xfffffff007d5de4c
0xfffffff009f8cf70: 7f2303d5  pacibsp	
0xfffffff009f8cf74: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff009f8cf78: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009f8cf7c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009f8cf80: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009f8cf84: fdc30091  add	x29, sp, #0x30
0xfffffff009f8cf88: f60304aa  mov	x22, x4
0xfffffff009f8cf8c: f70303aa  mov	x23, x3
0xfffffff009f8cf90: f30302aa  mov	x19, x2
0xfffffff009f8cf94: f50301aa  mov	x21, x1
0xfffffff009f8cf98: f40300aa  mov	x20, x0
0xfffffff009f8cf9c: 830040f9  ldr	x3, [x4]
0xfffffff009f8cfa0: da4f0094  bl	#0xfffffff009fa0f08
0xfffffff009f8cfa4: a07a34f8  str	x0, [x21, x20, lsl #3]
