; Candidate 2583
; ADRP+ADD at VM 0xfffffff0086ca268 (fileoff 0x16c6268): page=0x1fea65000 add_imm=0xd44

0xfffffff0086ca1e8: 13f17d92  and	x19, x8, #0xfffffffffffffff8
0xfffffff0086ca1ec: e10313aa  mov	x1, x19
0xfffffff0086ca1f0: a7e2f397  bl	#0xfffffff0083c2c8c
0xfffffff0086ca1f4: 000400b4  cbz	x0, #0xfffffff0086ca274
0xfffffff0086ca1f8: 100040f9  ldr	x16, [x0]
0xfffffff0086ca1fc: f10300aa  mov	x17, x0
0xfffffff0086ca200: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086ca204: 301ac1da  autda	x16, x17
0xfffffff0086ca208: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0086ca20c: e90310aa  mov	x9, x16
0xfffffff0086ca210: 21008252  mov	w1, #0x1001
0xfffffff0086ca214: f10309aa  mov	x17, x9
0xfffffff0086ca218: d1dae7f2  movk	x17, #0x3ed6, lsl #48
0xfffffff0086ca21c: 11093fd7  blraa	x8, x17
0xfffffff0086ca220: 000300b4  cbz	x0, #0xfffffff0086ca280
0xfffffff0086ca224: 100040f9  ldr	x16, [x0]
0xfffffff0086ca228: f10300aa  mov	x17, x0
0xfffffff0086ca22c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086ca230: 301ac1da  autda	x16, x17
0xfffffff0086ca234: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff0086ca238: e90310aa  mov	x9, x16
0xfffffff0086ca23c: f10309aa  mov	x17, x9
0xfffffff0086ca240: d19ee6f2  movk	x17, #0x34f6, lsl #48
0xfffffff0086ca244: 11093fd7  blraa	x8, x17
0xfffffff0086ca248: 200200b4  cbz	x0, #0xfffffff0086ca28c
0xfffffff0086ca24c: e10313aa  mov	x1, x19
0xfffffff0086ca250: b08ef097  bl	#0xfffffff0082edd10
0xfffffff0086ca254: f40300aa  mov	x20, x0
0xfffffff0086ca258: 200200b5  cbnz	x0, #0xfffffff0086ca29c
0xfffffff0086ca25c: 2053ffb0  adrp	x0, #0xfffffff00712f000
0xfffffff0086ca260: 00203491  add	x0, x0, #0xd08
0xfffffff0086ca264: 0c000014  b	#0xfffffff0086ca294
0xfffffff0086ca268: 2053ffb0  adrp	x0, #0xfffffff00712f000
0xfffffff0086ca26c: 00103591  add	x0, x0, #0xd44
0xfffffff0086ca270: 09000014  b	#0xfffffff0086ca294
0xfffffff0086ca274: 2053ffb0  adrp	x0, #0xfffffff00712f000
0xfffffff0086ca278: 00483191  add	x0, x0, #0xc52
0xfffffff0086ca27c: 06000014  b	#0xfffffff0086ca294
0xfffffff0086ca280: 2053ffb0  adrp	x0, #0xfffffff00712f000
0xfffffff0086ca284: 00503291  add	x0, x0, #0xc94
0xfffffff0086ca288: 03000014  b	#0xfffffff0086ca294
0xfffffff0086ca28c: 2053ffb0  adrp	x0, #0xfffffff00712f000
0xfffffff0086ca290: 00343391  add	x0, x0, #0xccd
0xfffffff0086ca294: 6333f297  bl	#0xfffffff008357020
0xfffffff0086ca298: 140080d2  mov	x20, #0
0xfffffff0086ca29c: c898ffb0  adrp	x8, #0xfffffff0079e3000
0xfffffff0086ca2a0: 085547f9  ldr	x8, [x8, #0xea8]
0xfffffff0086ca2a4: 010140f9  ldr	x1, [x8]
0xfffffff0086ca2a8: c052fff0  adrp	x0, #0xfffffff007125000
0xfffffff0086ca2ac: 00181891  add	x0, x0, #0x606
0xfffffff0086ca2b0: 020080d2  mov	x2, #0
0xfffffff0086ca2b4: 030080d2  mov	x3, #0
0xfffffff0086ca2b8: 040080d2  mov	x4, #0
0xfffffff0086ca2bc: 7253f297  bl	#0xfffffff00835f084
0xfffffff0086ca2c0: 800200b4  cbz	x0, #0xfffffff0086ca310
0xfffffff0086ca2c4: f30300aa  mov	x19, x0
0xfffffff0086ca2c8: d40300b4  cbz	x20, #0xfffffff0086ca340
0xfffffff0086ca2cc: 700240f9  ldr	x16, [x19]
0xfffffff0086ca2d0: f10313aa  mov	x17, x19
0xfffffff0086ca2d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086ca2d8: 301ac1da  autda	x16, x17
0xfffffff0086ca2dc: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff0086ca2e0: e90310aa  mov	x9, x16
0xfffffff0086ca2e4: 3553ffb0  adrp	x21, #0xfffffff00712f000
