; Candidate 12482
; ADRP+ADD at VM 0xfffffff0090a6e8c (fileoff 0x20a2e8c): page=0x1fe3b3000 add_imm=0xe24

0xfffffff0090a6e0c: 18430c91  add	x24, x24, #0x310
0xfffffff0090a6e10: 08034039  ldrb	w8, [x24]
0xfffffff0090a6e14: f61dffb0  adrp	x22, #0xfffffff007463000
0xfffffff0090a6e18: d6423c91  add	x22, x22, #0xf10
0xfffffff0090a6e1c: b71dfff0  adrp	x23, #0xfffffff00745d000
0xfffffff0090a6e20: f7423c91  add	x23, x23, #0xf10
0xfffffff0090a6e24: 1f290071  cmp	w8, #0xa
0xfffffff0090a6e28: a8000054  b.hi	#0xfffffff0090a6e3c
0xfffffff0090a6e2c: f75b00a9  stp	x23, x22, [sp]
0xfffffff0090a6e30: 801dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090a6e34: 00583191  add	x0, x0, #0xc56
0xfffffff0090a6e38: 7ac0ca97  bl	#0xfffffff008357020
0xfffffff0090a6e3c: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff0090a6e40: b50300b4  cbz	x21, #0xfffffff0090a6eb4
0xfffffff0090a6e44: 940300b4  cbz	x20, #0xfffffff0090a6eb4
0xfffffff0090a6e48: 730300b4  cbz	x19, #0xfffffff0090a6eb4
0xfffffff0090a6e4c: e1a30091  add	x1, sp, #0x28
0xfffffff0090a6e50: e00315aa  mov	x0, x21
0xfffffff0090a6e54: d19f9cd2  mov	x17, #0xe4fe
0xfffffff0090a6e58: 710a3fd7  blraa	x19, x17
0xfffffff0090a6e5c: f30300aa  mov	x19, x0
0xfffffff0090a6e60: a0040035  cbnz	w0, #0xfffffff0090a6ef4
0xfffffff0090a6e64: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff0090a6e68: 880200f9  str	x8, [x20]
0xfffffff0090a6e6c: 48018052  mov	w8, #0xa
0xfffffff0090a6e70: 09034039  ldrb	w9, [x24]
0xfffffff0090a6e74: 1f01096b  cmp	w8, w9
0xfffffff0090a6e78: 03010054  b.lo	#0xfffffff0090a6e98
0xfffffff0090a6e7c: e80313aa  mov	x8, x19
0xfffffff0090a6e80: 087d4093  sxtw	x8, w8
0xfffffff0090a6e84: f75b00a9  stp	x23, x22, [sp]
0xfffffff0090a6e88: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a6e8c: 801dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090a6e90: 00903891  add	x0, x0, #0xe24
0xfffffff0090a6e94: 63c0ca97  bl	#0xfffffff008357020
0xfffffff0090a6e98: e00313aa  mov	x0, x19
0xfffffff0090a6e9c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090a6ea0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090a6ea4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090a6ea8: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090a6eac: ffc30191  add	sp, sp, #0x70
0xfffffff0090a6eb0: ff0f5fd6  retab	
0xfffffff0090a6eb4: 68398052  mov	w8, #0x1cb
0xfffffff0090a6eb8: e91dffb0  adrp	x9, #0xfffffff007463000
0xfffffff0090a6ebc: 29193d91  add	x9, x9, #0xf46
0xfffffff0090a6ec0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090a6ec4: 881dfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090a6ec8: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090a6ecc: ea1dffb0  adrp	x10, #0xfffffff007463000
0xfffffff0090a6ed0: 4a993c91  add	x10, x10, #0xf26
0xfffffff0090a6ed4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090a6ed8: ea0300f9  str	x10, [sp]
0xfffffff0090a6edc: 801dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090a6ee0: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090a6ee4: 4fc0ca97  bl	#0xfffffff008357020
0xfffffff0090a6ee8: c8088052  mov	w8, #0x46
0xfffffff0090a6eec: 53008012  mov	w19, #-3
0xfffffff0090a6ef0: e0ffff17  b	#0xfffffff0090a6e70
0xfffffff0090a6ef4: 687e4093  sxtw	x8, w19
0xfffffff0090a6ef8: c9398052  mov	w9, #0x1ce
0xfffffff0090a6efc: ea1dffb0  adrp	x10, #0xfffffff007463000
0xfffffff0090a6f00: 4a193d91  add	x10, x10, #0xf46
0xfffffff0090a6f04: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0090a6f08: 891dfff0  adrp	x9, #0xfffffff007459000
