; Candidate 12536
; ADRP+ADD at VM 0xfffffff0090b3168 (fileoff 0x20af168): page=0x1fe3b3000 add_imm=0xdde

0xfffffff0090b30e8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0090b30ec: e90310aa  mov	x9, x16
0xfffffff0090b30f0: e00314aa  mov	x0, x20
0xfffffff0090b30f4: f10309aa  mov	x17, x9
0xfffffff0090b30f8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090b30fc: 11093fd7  blraa	x8, x17
0xfffffff0090b3100: 608240f9  ldr	x0, [x19, #0x100]
0xfffffff0090b3104: 401000b4  cbz	x0, #0xfffffff0090b330c
0xfffffff0090b3108: c8a24339  ldrb	w8, [x22, #0xe8]
0xfffffff0090b310c: 1fa10071  cmp	w8, #0x28
0xfffffff0090b3110: 28030054  b.hi	#0xfffffff0090b3174
0xfffffff0090b3114: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff0090b3118: e8010034  cbz	w8, #0xfffffff0090b3154
0xfffffff0090b311c: 700240f9  ldr	x16, [x19]
0xfffffff0090b3120: f10313aa  mov	x17, x19
0xfffffff0090b3124: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b3128: 301ac1da  autda	x16, x17
0xfffffff0090b312c: 113d80d2  mov	x17, #0x1e8
0xfffffff0090b3130: 1002118b  add	x16, x16, x17
0xfffffff0090b3134: 080240f9  ldr	x8, [x16]
0xfffffff0090b3138: e90310aa  mov	x9, x16
0xfffffff0090b313c: e00313aa  mov	x0, x19
0xfffffff0090b3140: 010080d2  mov	x1, #0
0xfffffff0090b3144: f10309aa  mov	x17, x9
0xfffffff0090b3148: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0090b314c: 11093fd7  blraa	x8, x17
0xfffffff0090b3150: 03000014  b	#0xfffffff0090b315c
0xfffffff0090b3154: 801dfff0  adrp	x0, #0xfffffff007466000
0xfffffff0090b3158: 008c2991  add	x0, x0, #0xa63
0xfffffff0090b315c: 688a40b9  ldr	w8, [x19, #0x88]
0xfffffff0090b3160: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff0090b3164: e00300f9  str	x0, [sp]
0xfffffff0090b3168: 801dfff0  adrp	x0, #0xfffffff007466000
0xfffffff0090b316c: 00783791  add	x0, x0, #0xdde
0xfffffff0090b3170: ac8fca97  bl	#0xfffffff008357020
0xfffffff0090b3174: 08058052  mov	w8, #0x28
0xfffffff0090b3178: 34008052  mov	w20, #1
0xfffffff0090b317c: c9a24339  ldrb	w9, [x22, #0xe8]
0xfffffff0090b3180: 1f01096b  cmp	w8, w9
0xfffffff0090b3184: e3030054  b.lo	#0xfffffff0090b3200
0xfffffff0090b3188: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff0090b318c: e8010034  cbz	w8, #0xfffffff0090b31c8
0xfffffff0090b3190: 700240f9  ldr	x16, [x19]
0xfffffff0090b3194: f10313aa  mov	x17, x19
0xfffffff0090b3198: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b319c: 301ac1da  autda	x16, x17
0xfffffff0090b31a0: 113d80d2  mov	x17, #0x1e8
0xfffffff0090b31a4: 1002118b  add	x16, x16, x17
0xfffffff0090b31a8: 080240f9  ldr	x8, [x16]
0xfffffff0090b31ac: e90310aa  mov	x9, x16
0xfffffff0090b31b0: e00313aa  mov	x0, x19
0xfffffff0090b31b4: 010080d2  mov	x1, #0
0xfffffff0090b31b8: f10309aa  mov	x17, x9
0xfffffff0090b31bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0090b31c0: 11093fd7  blraa	x8, x17
0xfffffff0090b31c4: 03000014  b	#0xfffffff0090b31d0
0xfffffff0090b31c8: 801dfff0  adrp	x0, #0xfffffff007466000
0xfffffff0090b31cc: 008c2991  add	x0, x0, #0xa63
0xfffffff0090b31d0: 281dffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090b31d4: 08593091  add	x8, x8, #0xc16
0xfffffff0090b31d8: 291dffd0  adrp	x9, #0xfffffff007459000
0xfffffff0090b31dc: 29453091  add	x9, x9, #0xc11
0xfffffff0090b31e0: 9f020071  cmp	w20, #0
0xfffffff0090b31e4: 2811889a  csel	x8, x9, x8, ne
