; Candidate 9728
; ADRP+ADD at VM 0xfffffff008aeec44 (fileoff 0x1aeac44): page=0x1fe7fc000 add_imm=0xe7a

0xfffffff008aeebc4: 08040054  b.hi	#0xfffffff008aeec44
0xfffffff008aeebc8: 80520091  add	x0, x20, #0x14
0xfffffff008aeebcc: e10316aa  mov	x1, x22
0xfffffff008aeebd0: e20317aa  mov	x2, x23
0xfffffff008aeebd4: 6f77c997  bl	#0xfffffff007d4c990
0xfffffff008aeebd8: a04640f9  ldr	x0, [x21, #0x88]
0xfffffff008aeebdc: 887cff90  adrp	x8, #0xfffffff007a7e000
0xfffffff008aeebe0: 082946f9  ldr	x8, [x8, #0xc50]
0xfffffff008aeebe4: 050140f9  ldr	x5, [x8]
0xfffffff008aeebe8: e10314aa  mov	x1, x20
0xfffffff008aeebec: e20313aa  mov	x2, x19
0xfffffff008aeebf0: 03008052  mov	w3, #0
0xfffffff008aeebf4: 04008012  mov	w4, #-1
0xfffffff008aeebf8: 06008052  mov	w6, #0
0xfffffff008aeebfc: e9ce0094  bl	#0xfffffff008b227a0
0xfffffff008aeec00: f50300aa  mov	x21, x0
0xfffffff008aeec04: e00314aa  mov	x0, x20
0xfffffff008aeec08: e10313aa  mov	x1, x19
0xfffffff008aeec0c: 5da0e197  bl	#0xfffffff008356d80
0xfffffff008aeec10: e00315aa  mov	x0, x21
0xfffffff008aeec14: 03000014  b	#0xfffffff008aeec20
0xfffffff008aeec18: a0578052  mov	w0, #0x2bd
0xfffffff008aeec1c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008aeec20: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008aeec24: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008aeec28: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008aeec2c: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff008aeec30: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff008aeec34: ff0f5fd6  retab	
0xfffffff008aeec38: e03fff90  adrp	x0, #0xfffffff0072ea000
0xfffffff008aeec3c: 00c03891  add	x0, x0, #0xe30
0xfffffff008aeec40: e93c0094  bl	#0xfffffff008afdfe4
0xfffffff008aeec44: e03fff90  adrp	x0, #0xfffffff0072ea000
0xfffffff008aeec48: 00e83991  add	x0, x0, #0xe7a
0xfffffff008aeec4c: e63c0094  bl	#0xfffffff008afdfe4
0xfffffff008aeec50: 7f2303d5  pacibsp	
0xfffffff008aeec54: ff8305d1  sub	sp, sp, #0x160
0xfffffff008aeec58: fc6f12a9  stp	x28, x27, [sp, #0x120]
0xfffffff008aeec5c: f65713a9  stp	x22, x21, [sp, #0x130]
0xfffffff008aeec60: f44f14a9  stp	x20, x19, [sp, #0x140]
0xfffffff008aeec64: fd7b15a9  stp	x29, x30, [sp, #0x150]
0xfffffff008aeec68: fd430591  add	x29, sp, #0x150
0xfffffff008aeec6c: f40300aa  mov	x20, x0
0xfffffff008aeec70: 887cff90  adrp	x8, #0xfffffff007a7e000
0xfffffff008aeec74: 080d46f9  ldr	x8, [x8, #0xc18]
0xfffffff008aeec78: 080140f9  ldr	x8, [x8]
0xfffffff008aeec7c: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff008aeec80: e8430091  add	x8, sp, #0x10
0xfffffff008aeec84: ff1301b9  str	wzr, [sp, #0x110]
0xfffffff008aeec88: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008aeec8c: 000107ad  stp	q0, q0, [x8, #0xe0]
0xfffffff008aeec90: 000106ad  stp	q0, q0, [x8, #0xc0]
0xfffffff008aeec94: 000105ad  stp	q0, q0, [x8, #0xa0]
0xfffffff008aeec98: 000104ad  stp	q0, q0, [x8, #0x80]
0xfffffff008aeec9c: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff008aeeca0: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff008aeeca4: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008aeeca8: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff008aeecac: 88a38052  mov	w8, #0x51c
0xfffffff008aeecb0: e82b0079  strh	w8, [sp, #0x14]
0xfffffff008aeecb4: 089040b9  ldr	w8, [x0, #0x90]
0xfffffff008aeecb8: c9008052  mov	w9, #6
0xfffffff008aeecbc: e8270329  stp	w8, w9, [sp, #0x18]
0xfffffff008aeecc0: 004440f9  ldr	x0, [x0, #0x88]
