; Candidate 8127
; ADRP+ADD at VM 0xfffffff008896c54 (fileoff 0x1892c54): page=0x1fe999000 add_imm=0xd31

0xfffffff008896bd4: f80300aa  mov	x24, x0
0xfffffff008896bd8: c0f5ffb5  cbnz	x0, #0xfffffff008896a90
0xfffffff008896bdc: a3000014  b	#0xfffffff008896e68
0xfffffff008896be0: fc0300aa  mov	x28, x0
0xfffffff008896be4: e00318aa  mov	x0, x24
0xfffffff008896be8: bec7ff97  bl	#0xfffffff008888ae0
0xfffffff008896bec: f90300aa  mov	x25, x0
0xfffffff008896bf0: dc054836  tbz	w28, #9, #0xfffffff008896ca8
0xfffffff008896bf4: e00318aa  mov	x0, x24
0xfffffff008896bf8: d6d2ff97  bl	#0xfffffff00888b750
0xfffffff008896bfc: a0004837  tbnz	w0, #9, #0xfffffff008896c10
0xfffffff008896c00: a88e40b9  ldr	w8, [x21, #0x8c]
0xfffffff008896c04: 08050011  add	w8, w8, #1
0xfffffff008896c08: a88e00b9  str	w8, [x21, #0x8c]
0xfffffff008896c0c: 27000014  b	#0xfffffff008896ca8
0xfffffff008896c10: 200e8052  mov	w0, #0x71
0xfffffff008896c14: 81008052  mov	w1, #4
0xfffffff008896c18: ee92ff97  bl	#0xfffffff00887b7d0
0xfffffff008896c1c: 60040034  cbz	w0, #0xfffffff008896ca8
0xfffffff008896c20: 200e8052  mov	w0, #0x71
0xfffffff008896c24: fd92ff97  bl	#0xfffffff00887b818
0xfffffff008896c28: fa0300aa  mov	x26, x0
0xfffffff008896c2c: 60750094  bl	#0xfffffff0088b41ac
0xfffffff008896c30: fc0300aa  mov	x28, x0
0xfffffff008896c34: 80008052  mov	w0, #4
0xfffffff008896c38: 0693ff97  bl	#0xfffffff00887b850
0xfffffff008896c3c: 5a010034  cbz	w26, #0xfffffff008896c64
0xfffffff008896c40: f36303a9  stp	x19, x24, [sp, #0x30]
0xfffffff008896c44: a8598052  mov	w8, #0x2cd
0xfffffff008896c48: e85702a9  stp	x8, x21, [sp, #0x20]
0xfffffff008896c4c: e05f01a9  stp	x0, x23, [sp, #0x10]
0xfffffff008896c50: fc5b00a9  stp	x28, x22, [sp]
0xfffffff008896c54: c04cffb0  adrp	x0, #0xfffffff00722f000
0xfffffff008896c58: 00c43491  add	x0, x0, #0xd31
0xfffffff008896c5c: 0182d497  bl	#0xfffffff007db7460
0xfffffff008896c60: 12000014  b	#0xfffffff008896ca8
0xfffffff008896c64: 52750094  bl	#0xfffffff0088b41ac
0xfffffff008896c68: fa0300aa  mov	x26, x0
0xfffffff008896c6c: 80008052  mov	w0, #4
0xfffffff008896c70: f892ff97  bl	#0xfffffff00887b850
0xfffffff008896c74: f36303a9  stp	x19, x24, [sp, #0x30]
0xfffffff008896c78: a8598052  mov	w8, #0x2cd
0xfffffff008896c7c: e85702a9  stp	x8, x21, [sp, #0x20]
0xfffffff008896c80: e05f01a9  stp	x0, x23, [sp, #0x10]
0xfffffff008896c84: fa5b00a9  stp	x26, x22, [sp]
0xfffffff008896c88: 804afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008896c8c: 00003a91  add	x0, x0, #0xe80
0xfffffff008896c90: 818bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008896c94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008896c98: 02008052  mov	w2, #0
0xfffffff008896c9c: 434effb0  adrp	x3, #0xfffffff00725f000
0xfffffff008896ca0: 63883a91  add	x3, x3, #0xea2
0xfffffff008896ca4: 2371ea97  bl	#0xfffffff008333130
0xfffffff008896ca8: 200e8052  mov	w0, #0x71
0xfffffff008896cac: b9020034  cbz	w25, #0xfffffff008896d00
0xfffffff008896cb0: 81008052  mov	w1, #4
0xfffffff008896cb4: c792ff97  bl	#0xfffffff00887b7d0
0xfffffff008896cb8: 00f8ff34  cbz	w0, #0xfffffff008896bb8
0xfffffff008896cbc: 200e8052  mov	w0, #0x71
0xfffffff008896cc0: d692ff97  bl	#0xfffffff00887b818
0xfffffff008896cc4: fa0300aa  mov	x26, x0
0xfffffff008896cc8: 39750094  bl	#0xfffffff0088b41ac
0xfffffff008896ccc: fc0300aa  mov	x28, x0
0xfffffff008896cd0: 80008052  mov	w0, #4
