; Candidate 10557
; ADRP+ADD at VM 0xfffffff008dd4840 (fileoff 0x1dd0840): page=0x1fe5dc000 add_imm=0xe58

0xfffffff008dd47c0: 48a900b0  adrp	x8, #0xfffffff00a2fd000
0xfffffff008dd47c4: 08211191  add	x8, x8, #0x448
0xfffffff008dd47c8: 100140f9  ldr	x16, [x8]
0xfffffff008dd47cc: 700000b4  cbz	x16, #0xfffffff008dd47d8
0xfffffff008dd47d0: d19f9cd2  mov	x17, #0xe4fe
0xfffffff008dd47d4: 110a1fd7  braa	x16, x17
0xfffffff008dd47d8: 00008052  mov	w0, #0
0xfffffff008dd47dc: c0035fd6  ret	
0xfffffff008dd47e0: 5f2403d5  bti	c
0xfffffff008dd47e4: 01000014  b	#0xfffffff008dd47e8
0xfffffff008dd47e8: 3f0540f1  cmp	x9, #1, lsl #12
0xfffffff008dd47ec: ea030091  mov	x10, sp
0xfffffff008dd47f0: c3000054  b.lo	#0xfffffff008dd4808
0xfffffff008dd47f4: 4a0540d1  sub	x10, x10, #1, lsl #12
0xfffffff008dd47f8: 5f014039  ldrb	wzr, [x10]
0xfffffff008dd47fc: 290540d1  sub	x9, x9, #1, lsl #12
0xfffffff008dd4800: 3f0540f1  cmp	x9, #1, lsl #12
0xfffffff008dd4804: 88ffff54  b.hi	#0xfffffff008dd47f4
0xfffffff008dd4808: 4a0109cb  sub	x10, x10, x9
0xfffffff008dd480c: 5f014039  ldrb	wzr, [x10]
0xfffffff008dd4810: c0035fd6  ret	
0xfffffff008dd4814: 7f2303d5  pacibsp	
0xfffffff008dd4818: ffc300d1  sub	sp, sp, #0x30
0xfffffff008dd481c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008dd4820: fd830091  add	x29, sp, #0x20
0xfffffff008dd4824: c8238052  mov	w8, #0x11e
0xfffffff008dd4828: e92eff90  adrp	x9, #0xfffffff0073b0000
0xfffffff008dd482c: 29213a91  add	x9, x9, #0xe88
0xfffffff008dd4830: ea2eff90  adrp	x10, #0xfffffff0073b0000
0xfffffff008dd4834: 4ae53991  add	x10, x10, #0xe79
0xfffffff008dd4838: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008dd483c: ea0300f9  str	x10, [sp]
0xfffffff008dd4840: e02eff90  adrp	x0, #0xfffffff0073b0000
0xfffffff008dd4844: 00603991  add	x0, x0, #0xe58
0xfffffff008dd4848: 31ffda97  bl	#0xfffffff00849450c
0xfffffff008dd484c: 7f2303d5  pacibsp	
0xfffffff008dd4850: ffc300d1  sub	sp, sp, #0x30
0xfffffff008dd4854: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008dd4858: fd830091  add	x29, sp, #0x20
0xfffffff008dd485c: 681b8052  mov	w8, #0xdb
0xfffffff008dd4860: e92effb0  adrp	x9, #0xfffffff0073b1000
0xfffffff008dd4864: 29512091  add	x9, x9, #0x814
0xfffffff008dd4868: ea2effb0  adrp	x10, #0xfffffff0073b1000
0xfffffff008dd486c: 4a012091  add	x10, x10, #0x800
0xfffffff008dd4870: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008dd4874: ea0300f9  str	x10, [sp]
0xfffffff008dd4878: e02effb0  adrp	x0, #0xfffffff0073b1000
0xfffffff008dd487c: 007c2191  add	x0, x0, #0x85f
0xfffffff008dd4880: 23ffda97  bl	#0xfffffff00849450c
0xfffffff008dd4884: 7f2303d5  pacibsp	
0xfffffff008dd4888: ffc300d1  sub	sp, sp, #0x30
0xfffffff008dd488c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008dd4890: fd830091  add	x29, sp, #0x20
0xfffffff008dd4894: e8168052  mov	w8, #0xb7
0xfffffff008dd4898: e92effb0  adrp	x9, #0xfffffff0073b1000
0xfffffff008dd489c: 29512091  add	x9, x9, #0x814
0xfffffff008dd48a0: ea2effb0  adrp	x10, #0xfffffff0073b1000
0xfffffff008dd48a4: 4a012091  add	x10, x10, #0x800
0xfffffff008dd48a8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008dd48ac: ea0300f9  str	x10, [sp]
0xfffffff008dd48b0: e02effb0  adrp	x0, #0xfffffff0073b1000
0xfffffff008dd48b4: 00001f91  add	x0, x0, #0x7c0
0xfffffff008dd48b8: 15ffda97  bl	#0xfffffff00849450c
0xfffffff008dd48bc: 7f2303d5  pacibsp	
