; Candidate 16361
; ADRP+ADD at VM 0xfffffff009e6e958 (fileoff 0x2e6a958): page=0x1fd9d1000 add_imm=0xd22

0xfffffff009e6e8d8: 1f6d00f9  str	xzr, [x8, #0xd8]
0xfffffff009e6e8dc: e8ff40f9  ldr	x8, [sp, #0x1f8]
0xfffffff009e6e8e0: 080d098b  add	x8, x8, x9, lsl #3
0xfffffff009e6e8e4: 00d940f9  ldr	x0, [x8, #0x1b0]
0xfffffff009e6e8e8: e00000b4  cbz	x0, #0xfffffff009e6e904
0xfffffff009e6e8ec: 19c10691  add	x25, x8, #0x1b0
0xfffffff009e6e8f0: e2a30f91  add	x2, sp, #0x3e8
0xfffffff009e6e8f4: e1db40f9  ldr	x1, [sp, #0x1b0]
0xfffffff009e6e8f8: dde00294  bl	#0xfffffff009f26c6c
0xfffffff009e6e8fc: 200340f9  ldr	x0, [x25]
0xfffffff009e6e900: d0210394  bl	#0xfffffff009f37040
0xfffffff009e6e904: 28008052  mov	w8, #1
0xfffffff009e6e908: 49008052  mov	w9, #2
0xfffffff009e6e90c: 38fe0736  tbz	w24, #0, #0xfffffff009e6e8d0
0xfffffff009e6e910: f8ff40f9  ldr	x24, [sp, #0x1f8]
0xfffffff009e6e914: e00318aa  mov	x0, x24
0xfffffff009e6e918: e1db40f9  ldr	x1, [sp, #0x1b0]
0xfffffff009e6e91c: 5c2d0394  bl	#0xfffffff009f39e8c
0xfffffff009e6e920: e00318aa  mov	x0, x24
0xfffffff009e6e924: c7210394  bl	#0xfffffff009f37040
0xfffffff009e6e928: ffff00f9  str	xzr, [sp, #0x1f8]
0xfffffff009e6e92c: 9fa20439  strb	wzr, [x20, #0x128]
0xfffffff009e6e930: 1b030034  cbz	w27, #0xfffffff009e6e990
0xfffffff009e6e934: e8eb40f9  ldr	x8, [sp, #0x1d0]
0xfffffff009e6e938: 080140f9  ldr	x8, [x8]
0xfffffff009e6e93c: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009e6e940: e9031baa  mov	x9, x27
0xfffffff009e6e944: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e6e948: 4a678352  mov	w10, #0x1b3a
0xfffffff009e6e94c: 88cefeb0  adrp	x8, #0xfffffff00783f000
0xfffffff009e6e950: 083d3091  add	x8, x8, #0xc0f
0xfffffff009e6e954: e82b00a9  stp	x8, x10, [sp]
0xfffffff009e6e958: 80cefeb0  adrp	x0, #0xfffffff00783f000
0xfffffff009e6e95c: 00883491  add	x0, x0, #0xd22
0xfffffff009e6e960: d9430094  bl	#0xfffffff009e7f8c4
0xfffffff009e6e964: f9031baa  mov	x25, x27
0xfffffff009e6e968: e8bf40f9  ldr	x8, [sp, #0x178]
0xfffffff009e6e96c: e82500b4  cbz	x8, #0xfffffff009e6ee28
0xfffffff009e6e970: f8bf40f9  ldr	x24, [sp, #0x178]
0xfffffff009e6e974: e00318aa  mov	x0, x24
0xfffffff009e6e978: 010080d2  mov	x1, #0
0xfffffff009e6e97c: 020080d2  mov	x2, #0
0xfffffff009e6e980: bbe00294  bl	#0xfffffff009f26c6c
0xfffffff009e6e984: e00318aa  mov	x0, x24
0xfffffff009e6e988: ae210394  bl	#0xfffffff009f37040
0xfffffff009e6e98c: 27010014  b	#0xfffffff009e6ee28
0xfffffff009e6e990: 807240f9  ldr	x0, [x20, #0xe0]
0xfffffff009e6e994: 400000b4  cbz	x0, #0xfffffff009e6e99c
0xfffffff009e6e998: aa210394  bl	#0xfffffff009f37040
0xfffffff009e6e99c: e0ff40f9  ldr	x0, [sp, #0x1f8]
0xfffffff009e6e9a0: 083840f9  ldr	x8, [x0, #0x70]
0xfffffff009e6e9a4: 896240f9  ldr	x9, [x20, #0xc0]
0xfffffff009e6e9a8: 284d00f9  str	x8, [x9, #0x98]
0xfffffff009e6e9ac: 807200f9  str	x0, [x20, #0xe0]
0xfffffff009e6e9b0: 01008052  mov	w1, #0
0xfffffff009e6e9b4: ee2b0394  bl	#0xfffffff009f3996c
0xfffffff009e6e9b8: e01f41f9  ldr	x0, [sp, #0x238]
0xfffffff009e6e9bc: fb0300aa  mov	x27, x0
0xfffffff009e6e9c0: 01008052  mov	w1, #0
0xfffffff009e6e9c4: db390394  bl	#0xfffffff009f3d130
0xfffffff009e6e9c8: e00314aa  mov	x0, x20
0xfffffff009e6e9cc: 87340194  bl	#0xfffffff009ebbbe8
0xfffffff009e6e9d0: e12341f9  ldr	x1, [sp, #0x240]
0xfffffff009e6e9d4: e8030991  add	x8, sp, #0x240
