; Candidate 11063
; ADRP+ADD at VM 0xfffffff008e44078 (fileoff 0x1e40078): page=0x1fe58e000 add_imm=0xd89

0xfffffff008e43ff8: aa2f7229  ldp	w10, w11, [x29, #-0x70]
0xfffffff008e43ffc: ac8359b8  ldur	w12, [x29, #-0x68]
0xfffffff008e44000: 4d518152  mov	w13, #0xa8a
0xfffffff008e44004: 6e2cffd0  adrp	x14, #0xfffffff0073d2000
0xfffffff008e44008: ced93291  add	x14, x14, #0xcb6
0xfffffff008e4400c: eeb707a9  stp	x14, x13, [sp, #0x78]
0xfffffff008e44010: ebb306a9  stp	x11, x12, [sp, #0x68]
0xfffffff008e44014: ea3300f9  str	x10, [sp, #0x60]
0xfffffff008e44018: ea4740f9  ldr	x10, [sp, #0x88]
0xfffffff008e4401c: eb03182a  mov	w11, w24
0xfffffff008e44020: eb2b05a9  stp	x11, x10, [sp, #0x50]
0xfffffff008e44024: ea03172a  mov	w10, w23
0xfffffff008e44028: eb4b40f9  ldr	x11, [sp, #0x90]
0xfffffff008e4402c: eb2b04a9  stp	x11, x10, [sp, #0x40]
0xfffffff008e44030: ea4f40f9  ldr	x10, [sp, #0x98]
0xfffffff008e44034: ab0357f8  ldur	x11, [x29, #-0x90]
0xfffffff008e44038: eb2b03a9  stp	x11, x10, [sp, #0x30]
0xfffffff008e4403c: aaaf77a9  ldp	x10, x11, [x29, #-0x88]
0xfffffff008e44040: eb2b02a9  stp	x11, x10, [sp, #0x20]
0xfffffff008e44044: aa8358f8  ldur	x10, [x29, #-0x78]
0xfffffff008e44048: f42b01a9  stp	x20, x10, [sp, #0x10]
0xfffffff008e4404c: 602cffd0  adrp	x0, #0xfffffff0073d2000
0xfffffff008e44050: 00702f91  add	x0, x0, #0xbdc
0xfffffff008e44054: e82700a9  stp	x8, x9, [sp]
0xfffffff008e44058: 2d41d997  bl	#0xfffffff00849450c
0xfffffff008e4405c: 88568152  mov	w8, #0xab4
0xfffffff008e44060: 692cffd0  adrp	x9, #0xfffffff0073d2000
0xfffffff008e44064: 29d93291  add	x9, x9, #0xcb6
0xfffffff008e44068: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008e4406c: e803182a  mov	w8, w24
0xfffffff008e44070: e903172a  mov	w9, w23
0xfffffff008e44074: e92300a9  stp	x9, x8, [sp]
0xfffffff008e44078: 602cffd0  adrp	x0, #0xfffffff0073d2000
0xfffffff008e4407c: 00243691  add	x0, x0, #0xd89
0xfffffff008e44080: 2341d997  bl	#0xfffffff00849450c
0xfffffff008e44084: 7f2303d5  pacibsp	
0xfffffff008e44088: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008e4408c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008e44090: fd430091  add	x29, sp, #0x10
0xfffffff008e44094: 08e58852  mov	w8, #0x4728
0xfffffff008e44098: 1300088b  add	x19, x0, x8
0xfffffff008e4409c: 680240b9  ldr	w8, [x19]
0xfffffff008e440a0: 88010034  cbz	w8, #0xfffffff008e440d0
0xfffffff008e440a4: 806e8052  mov	w0, #0x374
0xfffffff008e440a8: 0030a672  movk	w0, #0x3180, lsl #16
0xfffffff008e440ac: 010080d2  mov	x1, #0
0xfffffff008e440b0: 020080d2  mov	x2, #0
0xfffffff008e440b4: 030080d2  mov	x3, #0
0xfffffff008e440b8: 040080d2  mov	x4, #0
0xfffffff008e440bc: 050080d2  mov	x5, #0
0xfffffff008e440c0: 91e7cc97  bl	#0xfffffff00817df04
0xfffffff008e440c4: 20008052  mov	w0, #1
0xfffffff008e440c8: c84bd497  bl	#0xfffffff008356fe8
0xfffffff008e440cc: f4ffff17  b	#0xfffffff008e4409c
0xfffffff008e440d0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e440d4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008e440d8: ff0f5fd6  retab	
0xfffffff008e440dc: 7f2303d5  pacibsp	
0xfffffff008e440e0: ff0301d1  sub	sp, sp, #0x40
0xfffffff008e440e4: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008e440e8: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008e440ec: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008e440f0: fdc30091  add	x29, sp, #0x30
0xfffffff008e440f4: f30303aa  mov	x19, x3
