; Candidate 2822
; ADRP+ADD at VM 0xfffffff0086eb748 (fileoff 0x16e7748): page=0x1fea46000 add_imm=0xd90

0xfffffff0086eb6c8: 6c050091  add	x12, x11, #1
0xfffffff0086eb6cc: 6c0a00f9  str	x12, [x19, #0x10]
0xfffffff0086eb6d0: 6b014039  ldrb	w11, [x11]
0xfffffff0086eb6d4: 94020b2a  orr	w20, w20, w11
0xfffffff0086eb6d8: eb030caa  mov	x11, x12
0xfffffff0086eb6dc: 29050071  subs	w9, w9, #1
0xfffffff0086eb6e0: a1feff54  b.ne	#0xfffffff0086eb6b4
0xfffffff0086eb6e4: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086eb6e8: 3f01166a  tst	w9, w22
0xfffffff0086eb6ec: 60010054  b.eq	#0xfffffff0086eb718
0xfffffff0086eb6f0: f42300a9  stp	x20, x8, [sp]
0xfffffff0086eb6f4: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb6f8: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb6fc: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb700: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eb704: 4352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086eb708: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086eb70c: 02008052  mov	w2, #0
0xfffffff0086eb710: 881ef197  bl	#0xfffffff008333130
0xfffffff0086eb714: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086eb718: 897a1f53  lsl	w9, w20, #1
0xfffffff0086eb71c: 08050051  sub	w8, w8, #1
0xfffffff0086eb720: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086eb724: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086eb728: 3f01166a  tst	w9, w22
0xfffffff0086eb72c: e0010054  b.eq	#0xfffffff0086eb768
0xfffffff0086eb730: 897e1f53  lsr	w9, w20, #0x1f
0xfffffff0086eb734: 2a53ffb0  adrp	x10, #0xfffffff007150000
0xfffffff0086eb738: 4a8d1391  add	x10, x10, #0x4e3
0xfffffff0086eb73c: 2b008052  mov	w11, #1
0xfffffff0086eb740: eb2b00a9  stp	x11, x10, [sp]
0xfffffff0086eb744: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0086eb748: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb74c: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb750: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb754: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eb758: 4352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086eb75c: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086eb760: 02008052  mov	w2, #0
0xfffffff0086eb764: 731ef197  bl	#0xfffffff008333130
0xfffffff0086eb768: 9f020071  cmp	w20, #0
0xfffffff0086eb76c: e0a6975a  cneg	w0, w23, lt
0xfffffff0086eb770: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0086eb774: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0086eb778: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0086eb77c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0086eb780: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0086eb784: ffc30191  add	sp, sp, #0x70
0xfffffff0086eb788: ff0f5fd6  retab	
0xfffffff0086eb78c: 7f2303d5  pacibsp	
0xfffffff0086eb790: ff8301d1  sub	sp, sp, #0x60
0xfffffff0086eb794: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0086eb798: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0086eb79c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0086eb7a0: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0086eb7a4: fd430191  add	x29, sp, #0x50
0xfffffff0086eb7a8: f30300aa  mov	x19, x0
0xfffffff0086eb7ac: 34008052  mov	w20, #1
0xfffffff0086eb7b0: 9400a072  movk	w20, #4, lsl #16
0xfffffff0086eb7b4: 082c40b9  ldr	w8, [x0, #0x2c]
0xfffffff0086eb7b8: 68000034  cbz	w8, #0xfffffff0086eb7c4
0xfffffff0086eb7bc: 752a40b9  ldr	w21, [x19, #0x28]
0xfffffff0086eb7c0: 1e000014  b	#0xfffffff0086eb838
0xfffffff0086eb7c4: 15008052  mov	w21, #0
