; Candidate 4190
; ADRP+ADD at VM 0xfffffff008795b48 (fileoff 0x1791b48): page=0x1fe99c000 add_imm=0xd90

0xfffffff008795ac8: f30300aa  mov	x19, x0
0xfffffff008795acc: fa030491  add	x26, sp, #0x100
0xfffffff008795ad0: 4893ff90  adrp	x8, #0xfffffff0079fd000
0xfffffff008795ad4: 08d941f9  ldr	x8, [x8, #0x3b0]
0xfffffff008795ad8: 080140f9  ldr	x8, [x8]
0xfffffff008795adc: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff008795ae0: 085c8552  mov	w8, #0x2ae0
0xfffffff008795ae4: 1900088b  add	x25, x0, x8
0xfffffff008795ae8: 085c70b9  ldr	w8, [x0, #0x305c]
0xfffffff008795aec: 1f050071  cmp	w8, #1
0xfffffff008795af0: 61000054  b.ne	#0xfffffff008795afc
0xfffffff008795af4: 28834239  ldrb	w8, [x25, #0xa0]
0xfffffff008795af8: a8220039  strb	w8, [x21, #8]
0xfffffff008795afc: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008795b00: 40c38a3c  stur	q0, [x26, #0xac]
0xfffffff008795b04: e0830cad  stp	q0, q0, [sp, #0x190]
0xfffffff008795b08: e0830bad  stp	q0, q0, [sp, #0x170]
0xfffffff008795b0c: e0830aad  stp	q0, q0, [sp, #0x150]
0xfffffff008795b10: e08309ad  stp	q0, q0, [sp, #0x130]
0xfffffff008795b14: e08308ad  stp	q0, q0, [sp, #0x110]
0xfffffff008795b18: e043803d  str	q0, [sp, #0x100]
0xfffffff008795b1c: 684641b9  ldr	w8, [x19, #0x144]
0xfffffff008795b20: 1f0d0071  cmp	w8, #3
0xfffffff008795b24: 41020054  b.ne	#0xfffffff008795b6c
0xfffffff008795b28: 23204039  ldrb	w3, [x1, #8]
0xfffffff008795b2c: 63862bb9  str	w3, [x19, #0x2b84]
0xfffffff008795b30: 280040f9  ldr	x8, [x1]
0xfffffff008795b34: a80300b4  cbz	x8, #0xfffffff008795ba8
0xfffffff008795b38: 7f180071  cmp	w3, #6
0xfffffff008795b3c: c1040054  b.ne	#0xfffffff008795bd4
0xfffffff008795b40: 54588052  mov	w20, #0x2c2
0xfffffff008795b44: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008795b48: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008795b4c: 00403691  add	x0, x0, #0xd90
0xfffffff008795b50: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008795b54: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008795b58: 834dffd0  adrp	x3, #0xfffffff007147000
0xfffffff008795b5c: 63a40f91  add	x3, x3, #0x3e9
0xfffffff008795b60: 02008052  mov	w2, #0
0xfffffff008795b64: 7375ee97  bl	#0xfffffff008333130
0xfffffff008795b68: 9c010014  b	#0xfffffff0087961d8
0xfffffff008795b6c: 294effd0  adrp	x9, #0xfffffff00715b000
0xfffffff008795b70: 29d10691  add	x9, x9, #0x1b4
0xfffffff008795b74: e92300a9  stp	x9, x8, [sp]
0xfffffff008795b78: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008795b7c: 00403691  add	x0, x0, #0xd90
0xfffffff008795b80: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008795b84: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008795b88: 834dffd0  adrp	x3, #0xfffffff007147000
0xfffffff008795b8c: 63c80d91  add	x3, x3, #0x372
0xfffffff008795b90: 02008052  mov	w2, #0
0xfffffff008795b94: 6775ee97  bl	#0xfffffff008333130
0xfffffff008795b98: 48588052  mov	w8, #0x2c2
0xfffffff008795b9c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008795ba0: 142d0011  add	w20, w8, #0xb
0xfffffff008795ba4: 8d010014  b	#0xfffffff0087961d8
0xfffffff008795ba8: 54588052  mov	w20, #0x2c2
0xfffffff008795bac: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008795bb0: e04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008795bb4: 00403691  add	x0, x0, #0xd90
0xfffffff008795bb8: 4193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008795bbc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008795bc0: 834dffd0  adrp	x3, #0xfffffff007147000
0xfffffff008795bc4: 638c0e91  add	x3, x3, #0x3a3
