; Candidate 2252
; ADRP+ADD at VM 0xfffffff0085c41d8 (fileoff 0x15c01d8): page=0x1feb34000 add_imm=0xe12

0xfffffff0085c4158: 69ea40b9  ldr	w9, [x19, #0xe8]
0xfffffff0085c415c: 3f01086b  cmp	w9, w8
0xfffffff0085c4160: a1000054  b.ne	#0xfffffff0085c4174
0xfffffff0085c4164: e80a4039  ldrb	w8, [x23, #2]
0xfffffff0085c4168: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0085c416c: 3f01086b  cmp	w9, w8
0xfffffff0085c4170: 60100054  b.eq	#0xfffffff0085c437c
0xfffffff0085c4174: e80a4079  ldrh	w8, [x23, #4]
0xfffffff0085c4178: f702088b  add	x23, x23, x8
0xfffffff0085c417c: 7b070011  add	w27, w27, #1
0xfffffff0085c4180: 68ea4b39  ldrb	w8, [x19, #0x2fa]
0xfffffff0085c4184: 7f03086b  cmp	w27, w8
0xfffffff0085c4188: 43fbff54  b.lo	#0xfffffff0085c40f0
0xfffffff0085c418c: 29000014  b	#0xfffffff0085c4230
0xfffffff0085c4190: 700240f9  ldr	x16, [x19]
0xfffffff0085c4194: f70313aa  mov	x23, x19
0xfffffff0085c4198: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff0085c419c: f10313aa  mov	x17, x19
0xfffffff0085c41a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085c41a4: 301ac1da  autda	x16, x17
0xfffffff0085c41a8: 113d80d2  mov	x17, #0x1e8
0xfffffff0085c41ac: 1002118b  add	x16, x16, x17
0xfffffff0085c41b0: 080240f9  ldr	x8, [x16]
0xfffffff0085c41b4: e90310aa  mov	x9, x16
0xfffffff0085c41b8: e00313aa  mov	x0, x19
0xfffffff0085c41bc: 010080d2  mov	x1, #0
0xfffffff0085c41c0: f10309aa  mov	x17, x9
0xfffffff0085c41c4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0085c41c8: 11093fd7  blraa	x8, x17
0xfffffff0085c41cc: 8859fff0  adrp	x8, #0xfffffff0070f7000
0xfffffff0085c41d0: 08c93291  add	x8, x8, #0xcb2
0xfffffff0085c41d4: e02300a9  stp	x0, x8, [sp]
0xfffffff0085c41d8: a059ff90  adrp	x0, #0xfffffff0070f8000
0xfffffff0085c41dc: 00483891  add	x0, x0, #0xe12
0xfffffff0085c41e0: 2a000014  b	#0xfffffff0085c4288
0xfffffff0085c41e4: 700240f9  ldr	x16, [x19]
0xfffffff0085c41e8: f10313aa  mov	x17, x19
0xfffffff0085c41ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085c41f0: 301ac1da  autda	x16, x17
0xfffffff0085c41f4: 113d80d2  mov	x17, #0x1e8
0xfffffff0085c41f8: 1002118b  add	x16, x16, x17
0xfffffff0085c41fc: 080240f9  ldr	x8, [x16]
0xfffffff0085c4200: e90310aa  mov	x9, x16
0xfffffff0085c4204: e00313aa  mov	x0, x19
0xfffffff0085c4208: 010080d2  mov	x1, #0
0xfffffff0085c420c: f10309aa  mov	x17, x9
0xfffffff0085c4210: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0085c4214: 11093fd7  blraa	x8, x17
0xfffffff0085c4218: 8859fff0  adrp	x8, #0xfffffff0070f7000
0xfffffff0085c421c: 08c93291  add	x8, x8, #0xcb2
0xfffffff0085c4220: e02300a9  stp	x0, x8, [sp]
0xfffffff0085c4224: a059ff90  adrp	x0, #0xfffffff0070f8000
0xfffffff0085c4228: 00603a91  add	x0, x0, #0xe98
0xfffffff0085c422c: 7d4bf697  bl	#0xfffffff008357020
0xfffffff0085c4230: 700240f9  ldr	x16, [x19]
0xfffffff0085c4234: f70313aa  mov	x23, x19
0xfffffff0085c4238: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff0085c423c: f10313aa  mov	x17, x19
0xfffffff0085c4240: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085c4244: 301ac1da  autda	x16, x17
0xfffffff0085c4248: 113d80d2  mov	x17, #0x1e8
0xfffffff0085c424c: 1002118b  add	x16, x16, x17
0xfffffff0085c4250: 080240f9  ldr	x8, [x16]
0xfffffff0085c4254: e90310aa  mov	x9, x16
