; Candidate 8706
; ADRP+ADD at VM 0xfffffff0088bf1b8 (fileoff 0x18bb1b8): page=0x1fe92a000 add_imm=0xe80

0xfffffff0088bf138: 684affd0  adrp	x8, #0xfffffff00720d000
0xfffffff0088bf13c: 08713891  add	x8, x8, #0xe1c
0xfffffff0088bf140: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088bf144: c8ee8052  mov	w8, #0x776
0xfffffff0088bf148: a94bffd0  adrp	x9, #0xfffffff007235000
0xfffffff0088bf14c: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088bf150: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088bf154: a84bfff0  adrp	x8, #0xfffffff007236000
0xfffffff0088bf158: 08113791  add	x8, x8, #0xdc4
0xfffffff0088bf15c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088bf160: e8088052  mov	w8, #0x47
0xfffffff0088bf164: a04bffd0  adrp	x0, #0xfffffff007235000
0xfffffff0088bf168: 00242e91  add	x0, x0, #0xb89
0xfffffff0088bf16c: f42300a9  stp	x20, x8, [sp]
0xfffffff0088bf170: bce0d397  bl	#0xfffffff007db7460
0xfffffff0088bf174: 7f000014  b	#0xfffffff0088bf370
0xfffffff0088bf178: 0dd4ff97  bl	#0xfffffff0088b41ac
0xfffffff0088bf17c: f40300aa  mov	x20, x0
0xfffffff0088bf180: 80008052  mov	w0, #4
0xfffffff0088bf184: b3f1fe97  bl	#0xfffffff00887b850
0xfffffff0088bf188: a84bffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088bf18c: 08ed2c91  add	x8, x8, #0xb3b
0xfffffff0088bf190: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088bf194: 48ee8052  mov	w8, #0x772
0xfffffff0088bf198: a94bffd0  adrp	x9, #0xfffffff007235000
0xfffffff0088bf19c: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088bf1a0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088bf1a4: a84bfff0  adrp	x8, #0xfffffff007236000
0xfffffff0088bf1a8: 08113791  add	x8, x8, #0xdc4
0xfffffff0088bf1ac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088bf1b0: e8088052  mov	w8, #0x47
0xfffffff0088bf1b4: f42300a9  stp	x20, x8, [sp]
0xfffffff0088bf1b8: 4049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088bf1bc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088bf1c0: 418affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088bf1c4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088bf1c8: 234dfff0  adrp	x3, #0xfffffff007266000
0xfffffff0088bf1cc: 63401791  add	x3, x3, #0x5d0
0xfffffff0088bf1d0: 02008052  mov	w2, #0
0xfffffff0088bf1d4: d7cfe997  bl	#0xfffffff008333130
0xfffffff0088bf1d8: 66000014  b	#0xfffffff0088bf370
0xfffffff0088bf1dc: f4d3ff97  bl	#0xfffffff0088b41ac
0xfffffff0088bf1e0: f40300aa  mov	x20, x0
0xfffffff0088bf1e4: 80008052  mov	w0, #4
0xfffffff0088bf1e8: 9af1fe97  bl	#0xfffffff00887b850
0xfffffff0088bf1ec: a84bffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088bf1f0: 08e92d91  add	x8, x8, #0xb7a
0xfffffff0088bf1f4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088bf1f8: 88ee8052  mov	w8, #0x774
0xfffffff0088bf1fc: a94bffd0  adrp	x9, #0xfffffff007235000
0xfffffff0088bf200: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff0088bf204: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088bf208: a84bfff0  adrp	x8, #0xfffffff007236000
0xfffffff0088bf20c: 08113791  add	x8, x8, #0xdc4
0xfffffff0088bf210: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088bf214: e8088052  mov	w8, #0x47
0xfffffff0088bf218: f42300a9  stp	x20, x8, [sp]
0xfffffff0088bf21c: 4049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088bf220: 00003a91  add	x0, x0, #0xe80
0xfffffff0088bf224: 418affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088bf228: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088bf22c: 234dfff0  adrp	x3, #0xfffffff007266000
0xfffffff0088bf230: 63fc1791  add	x3, x3, #0x5ff
0xfffffff0088bf234: 02008052  mov	w2, #0
