; Candidate 6784
; ADRP+ADD at VM 0xfffffff008841678 (fileoff 0x183d678): page=0x1fe9a8000 add_imm=0xe80

0xfffffff0088415f8: 400a8052  mov	w0, #0x52
0xfffffff0088415fc: 87e80094  bl	#0xfffffff00887b818
0xfffffff008841600: f50300aa  mov	x21, x0
0xfffffff008841604: eaca0194  bl	#0xfffffff0088b41ac
0xfffffff008841608: f40300aa  mov	x20, x0
0xfffffff00884160c: c0008052  mov	w0, #6
0xfffffff008841610: 90e80094  bl	#0xfffffff00887b850
0xfffffff008841614: b5010034  cbz	w21, #0xfffffff008841648
0xfffffff008841618: 884eff90  adrp	x8, #0xfffffff007211000
0xfffffff00884161c: 083d1e91  add	x8, x8, #0x78f
0xfffffff008841620: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008841624: 084fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008841628: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00884162c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008841630: 480a8052  mov	w8, #0x52
0xfffffff008841634: f42300a9  stp	x20, x8, [sp]
0xfffffff008841638: 604efff0  adrp	x0, #0xfffffff007210000
0xfffffff00884163c: 008c2c91  add	x0, x0, #0xb23
0xfffffff008841640: 88d7d597  bl	#0xfffffff007db7460
0xfffffff008841644: 15000014  b	#0xfffffff008841698
0xfffffff008841648: d9ca0194  bl	#0xfffffff0088b41ac
0xfffffff00884164c: f40300aa  mov	x20, x0
0xfffffff008841650: c0008052  mov	w0, #6
0xfffffff008841654: 7fe80094  bl	#0xfffffff00887b850
0xfffffff008841658: 884eff90  adrp	x8, #0xfffffff007211000
0xfffffff00884165c: 083d1e91  add	x8, x8, #0x78f
0xfffffff008841660: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008841664: 084fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008841668: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00884166c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008841670: 480a8052  mov	w8, #0x52
0xfffffff008841674: f42300a9  stp	x20, x8, [sp]
0xfffffff008841678: 404dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00884167c: 00003a91  add	x0, x0, #0xe80
0xfffffff008841680: 218efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008841684: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008841688: 6350ffd0  adrp	x3, #0xfffffff00724f000
0xfffffff00884168c: 63ec2a91  add	x3, x3, #0xabb
0xfffffff008841690: 02008052  mov	w2, #0
0xfffffff008841694: a7c6eb97  bl	#0xfffffff008333130
0xfffffff008841698: 95128052  mov	w21, #0x94
0xfffffff00884169c: d574a572  movk	w21, #0x2ba6, lsl #16
0xfffffff0088416a0: 80128052  mov	w0, #0x94
0xfffffff0088416a4: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0088416a8: a1008052  mov	w1, #5
0xfffffff0088416ac: 020080d2  mov	x2, #0
0xfffffff0088416b0: 030080d2  mov	x3, #0
0xfffffff0088416b4: 040080d2  mov	x4, #0
0xfffffff0088416b8: 050080d2  mov	x5, #0
0xfffffff0088416bc: 12f2e497  bl	#0xfffffff00817df04
0xfffffff0088416c0: 68ba40b9  ldr	w8, [x19, #0xb8]
0xfffffff0088416c4: 1f050071  cmp	w8, #1
0xfffffff0088416c8: 01010054  b.ne	#0xfffffff0088416e8
0xfffffff0088416cc: 60220291  add	x0, x19, #0x88
0xfffffff0088416d0: 55b7ff97  bl	#0xfffffff00882f424
0xfffffff0088416d4: a0000034  cbz	w0, #0xfffffff0088416e8
0xfffffff0088416d8: e00313aa  mov	x0, x19
0xfffffff0088416dc: 49f8ff97  bl	#0xfffffff00883f800
0xfffffff0088416e0: f40300aa  mov	x20, x0
0xfffffff0088416e4: 02000014  b	#0xfffffff0088416ec
0xfffffff0088416e8: 14008052  mov	w20, #0
0xfffffff0088416ec: a0120011  add	w0, w21, #4
0xfffffff0088416f0: a1008052  mov	w1, #5
0xfffffff0088416f4: 020080d2  mov	x2, #0
