; Candidate 3689
; ADRP+ADD at VM 0xfffffff00874e264 (fileoff 0x174a264): page=0x1fe9e3000 add_imm=0xd90

0xfffffff00874e1e4: 63841a91  add	x3, x3, #0x6a1
0xfffffff00874e1e8: 02008052  mov	w2, #0
0xfffffff00874e1ec: d193ef97  bl	#0xfffffff008333130
0xfffffff00874e1f0: 30000014  b	#0xfffffff00874e2b0
0xfffffff00874e1f4: 6a1240f9  ldr	x10, [x19, #0x20]
0xfffffff00874e1f8: 880a40b9  ldr	w8, [x20, #8]
0xfffffff00874e1fc: 0d098052  mov	w13, #0x48
0xfffffff00874e200: 8c2e4429  ldp	w12, w11, [x20, #0x20]
0xfffffff00874e204: ae2aad9b  umaddl	x14, w21, w13, x10
0xfffffff00874e208: ce0940b9  ldr	w14, [x14, #8]
0xfffffff00874e20c: df01086b  cmp	w14, w8
0xfffffff00874e210: 81010054  b.ne	#0xfffffff00874e240
0xfffffff00874e214: ee03152a  mov	w14, w21
0xfffffff00874e218: cf290d9b  madd	x15, x14, x13, x10
0xfffffff00874e21c: ef2540b9  ldr	w15, [x15, #0x24]
0xfffffff00874e220: ff010b6b  cmp	w15, w11
0xfffffff00874e224: e1000054  b.ne	#0xfffffff00874e240
0xfffffff00874e228: 7f050071  cmp	w11, #1
0xfffffff00874e22c: e1080054  b.ne	#0xfffffff00874e348
0xfffffff00874e230: ce290d9b  madd	x14, x14, x13, x10
0xfffffff00874e234: ce2140b9  ldr	w14, [x14, #0x20]
0xfffffff00874e238: df010c6b  cmp	w14, w12
0xfffffff00874e23c: 60080054  b.eq	#0xfffffff00874e348
0xfffffff00874e240: ae060011  add	w14, w21, #1
0xfffffff00874e244: 6f2e40b9  ldr	w15, [x19, #0x2c]
0xfffffff00874e248: f5010e0a  and	w21, w15, w14
0xfffffff00874e24c: bf02096b  cmp	w21, w9
0xfffffff00874e250: a1fdff54  b.ne	#0xfffffff00874e204
0xfffffff00874e254: eb3301a9  stp	x11, x12, [sp, #0x10]
0xfffffff00874e258: 4950ffd0  adrp	x9, #0xfffffff007158000
0xfffffff00874e25c: 29352891  add	x9, x9, #0xa0d
0xfffffff00874e260: e92300a9  stp	x9, x8, [sp]
0xfffffff00874e264: 004ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00874e268: 00403691  add	x0, x0, #0xd90
0xfffffff00874e26c: 6195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874e270: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874e274: 834fffd0  adrp	x3, #0xfffffff007140000
0xfffffff00874e278: 63241b91  add	x3, x3, #0x6c9
0xfffffff00874e27c: 02008052  mov	w2, #0
0xfffffff00874e280: ac93ef97  bl	#0xfffffff008333130
0xfffffff00874e284: 880a40b9  ldr	w8, [x20, #8]
0xfffffff00874e288: 081d0853  lsl	w8, w8, #0x18
0xfffffff00874e28c: 892a4429  ldp	w9, w10, [x20, #0x20]
0xfffffff00874e290: 0841092a  orr	w8, w8, w9, lsl #16
0xfffffff00874e294: 08210a2a  orr	w8, w8, w10, lsl #8
0xfffffff00874e298: 89198052  mov	w9, #0xcc
0xfffffff00874e29c: 0201092a  orr	w2, w8, w9
0xfffffff00874e2a0: 00088052  mov	w0, #0x40
0xfffffff00874e2a4: c1898e52  mov	w1, #0x744e
0xfffffff00874e2a8: c188ac72  movk	w1, #0x6446, lsl #16
0xfffffff00874e2ac: 6edcff97  bl	#0xfffffff008745464
0xfffffff00874e2b0: 34008052  mov	w20, #1
0xfffffff00874e2b4: 4850ffd0  adrp	x8, #0xfffffff007158000
0xfffffff00874e2b8: 08092991  add	x8, x8, #0xa42
0xfffffff00874e2bc: e85300a9  stp	x8, x20, [sp]
0xfffffff00874e2c0: 004ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00874e2c4: 00403691  add	x0, x0, #0xd90
0xfffffff00874e2c8: 6195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874e2cc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00874e2d0: 834fffd0  adrp	x3, #0xfffffff007140000
0xfffffff00874e2d4: 634c1c91  add	x3, x3, #0x713
0xfffffff00874e2d8: 02008052  mov	w2, #0
0xfffffff00874e2dc: 9593ef97  bl	#0xfffffff008333130
0xfffffff00874e2e0: 683640b9  ldr	w8, [x19, #0x34]
