; Candidate 6887
; ADRP+ADD at VM 0xfffffff008848234 (fileoff 0x1844234): page=0x1fe9a1000 add_imm=0xe80

0xfffffff0088481b4: fb0300f9  str	x27, [sp]
0xfffffff0088481b8: 004dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088481bc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088481c0: 018eff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088481c4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088481c8: 02008052  mov	w2, #0
0xfffffff0088481cc: d9abeb97  bl	#0xfffffff008333130
0xfffffff0088481d0: 1b7d8012  mov	w27, #-0x3e9
0xfffffff0088481d4: 21000014  b	#0xfffffff008848258
0xfffffff0088481d8: 68024039  ldrb	w8, [x19]
0xfffffff0088481dc: 28130034  cbz	w8, #0xfffffff008848440
0xfffffff0088481e0: 1a008052  mov	w26, #0
0xfffffff0088481e4: 70000014  b	#0xfffffff0088483a4
0xfffffff0088481e8: f1af0194  bl	#0xfffffff0088b41ac
0xfffffff0088481ec: fa0300aa  mov	x26, x0
0xfffffff0088481f0: 80008052  mov	w0, #4
0xfffffff0088481f4: 97cd0094  bl	#0xfffffff00887b850
0xfffffff0088481f8: e8031baa  mov	x8, x27
0xfffffff0088481fc: e90319aa  mov	x9, x25
0xfffffff008848200: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008848204: 484eff90  adrp	x8, #0xfffffff007210000
0xfffffff008848208: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884820c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008848210: 28458052  mov	w8, #0x229
0xfffffff008848214: 494effb0  adrp	x9, #0xfffffff007211000
0xfffffff008848218: 29892c91  add	x9, x9, #0xb22
0xfffffff00884821c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008848220: e84effb0  adrp	x8, #0xfffffff007225000
0xfffffff008848224: 08b51291  add	x8, x8, #0x4ad
0xfffffff008848228: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884822c: c80d8052  mov	w8, #0x6e
0xfffffff008848230: fa2300a9  stp	x26, x8, [sp]
0xfffffff008848234: 004dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008848238: 00003a91  add	x0, x0, #0xe80
0xfffffff00884823c: 018eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008848240: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008848244: 4350ff90  adrp	x3, #0xfffffff007250000
0xfffffff008848248: 631c3d91  add	x3, x3, #0xf47
0xfffffff00884824c: 02008052  mov	w2, #0
0xfffffff008848250: b8abeb97  bl	#0xfffffff008333130
0xfffffff008848254: ba835af8  ldur	x26, [x29, #-0x58]
0xfffffff008848258: e00313aa  mov	x0, x19
0xfffffff00884825c: 06fcff97  bl	#0xfffffff008847274
0xfffffff008848260: e00313aa  mov	x0, x19
0xfffffff008848264: f0f9ff97  bl	#0xfffffff008846a24
0xfffffff008848268: e00313aa  mov	x0, x19
0xfffffff00884826c: 8dfdff97  bl	#0xfffffff0088478a0
0xfffffff008848270: c00d8052  mov	w0, #0x6e
0xfffffff008848274: c1008052  mov	w1, #6
0xfffffff008848278: 56cd0094  bl	#0xfffffff00887b7d0
0xfffffff00884827c: 80070034  cbz	w0, #0xfffffff00884836c
0xfffffff008848280: b3831af8  stur	x19, [x29, #-0x58]
0xfffffff008848284: f30314aa  mov	x19, x20
0xfffffff008848288: f40315aa  mov	x20, x21
0xfffffff00884828c: f50318aa  mov	x21, x24
0xfffffff008848290: f8031aaa  mov	x24, x26
0xfffffff008848294: c00d8052  mov	w0, #0x6e
0xfffffff008848298: 60cd0094  bl	#0xfffffff00887b818
0xfffffff00884829c: fa0300aa  mov	x26, x0
0xfffffff0088482a0: c3af0194  bl	#0xfffffff0088b41ac
0xfffffff0088482a4: fc0300aa  mov	x28, x0
0xfffffff0088482a8: c0008052  mov	w0, #6
0xfffffff0088482ac: 69cd0094  bl	#0xfffffff00887b850
0xfffffff0088482b0: 9a020034  cbz	w26, #0xfffffff008848300
