; Candidate 6853
; ADRP+ADD at VM 0xfffffff008846538 (fileoff 0x1842538): page=0x1fe9a3000 add_imm=0xe80

0xfffffff0088464b8: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff0088464bc: 681b8052  mov	w8, #0xdb
0xfffffff0088464c0: e94effd0  adrp	x9, #0xfffffff007224000
0xfffffff0088464c4: 29353091  add	x9, x9, #0xc0d
0xfffffff0088464c8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088464cc: e84efff0  adrp	x8, #0xfffffff007225000
0xfffffff0088464d0: 08b51291  add	x8, x8, #0x4ad
0xfffffff0088464d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088464d8: c80d8052  mov	w8, #0x6e
0xfffffff0088464dc: e04effd0  adrp	x0, #0xfffffff007224000
0xfffffff0088464e0: 00603391  add	x0, x0, #0xcd8
0xfffffff0088464e4: fa2300a9  stp	x26, x8, [sp]
0xfffffff0088464e8: dec3d597  bl	#0xfffffff007db7460
0xfffffff0088464ec: 38000014  b	#0xfffffff0088465cc
0xfffffff0088464f0: 2fb70194  bl	#0xfffffff0088b41ac
0xfffffff0088464f4: fa0300aa  mov	x26, x0
0xfffffff0088464f8: 80008052  mov	w0, #4
0xfffffff0088464fc: d5d40094  bl	#0xfffffff00887b850
0xfffffff008846500: e80316aa  mov	x8, x22
0xfffffff008846504: e86704a9  stp	x8, x25, [sp, #0x40]
0xfffffff008846508: 484effd0  adrp	x8, #0xfffffff007210000
0xfffffff00884650c: 08553791  add	x8, x8, #0xdd5
0xfffffff008846510: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008846514: e81a8052  mov	w8, #0xd7
0xfffffff008846518: e94effd0  adrp	x9, #0xfffffff007224000
0xfffffff00884651c: 29353091  add	x9, x9, #0xc0d
0xfffffff008846520: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008846524: e84efff0  adrp	x8, #0xfffffff007225000
0xfffffff008846528: 08b51291  add	x8, x8, #0x4ad
0xfffffff00884652c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008846530: c80d8052  mov	w8, #0x6e
0xfffffff008846534: fa2300a9  stp	x26, x8, [sp]
0xfffffff008846538: 004dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884653c: 00003a91  add	x0, x0, #0xe80
0xfffffff008846540: 018effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008846544: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008846548: 4350ffd0  adrp	x3, #0xfffffff007250000
0xfffffff00884654c: 63982691  add	x3, x3, #0x9a6
0xfffffff008846550: 02008052  mov	w2, #0
0xfffffff008846554: f7b2eb97  bl	#0xfffffff008333130
0xfffffff008846558: f97c8012  mov	w25, #-0x3e8
0xfffffff00884655c: 1c000014  b	#0xfffffff0088465cc
0xfffffff008846560: 13b70194  bl	#0xfffffff0088b41ac
0xfffffff008846564: f90300aa  mov	x25, x0
0xfffffff008846568: 80008052  mov	w0, #4
0xfffffff00884656c: b9d40094  bl	#0xfffffff00887b850
0xfffffff008846570: e80316aa  mov	x8, x22
0xfffffff008846574: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008846578: e84effd0  adrp	x8, #0xfffffff007224000
0xfffffff00884657c: 0ab53191  add	x10, x8, #0xc6d
0xfffffff008846580: 681a8052  mov	w8, #0xd3
0xfffffff008846584: e94effd0  adrp	x9, #0xfffffff007224000
0xfffffff008846588: 29353091  add	x9, x9, #0xc0d
0xfffffff00884658c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008846590: e84efff0  adrp	x8, #0xfffffff007225000
0xfffffff008846594: 08b51291  add	x8, x8, #0x4ad
0xfffffff008846598: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884659c: c80d8052  mov	w8, #0x6e
0xfffffff0088465a0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088465a4: f90300f9  str	x25, [sp]
0xfffffff0088465a8: 004dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088465ac: 00003a91  add	x0, x0, #0xe80
0xfffffff0088465b0: 018effd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088465b4: 212c42f9  ldr	x1, [x1, #0x458]
