; Candidate 13358
; ADRP+ADD at VM 0xfffffff0092aea14 (fileoff 0x22aaa14): page=0x1fe8f3000 add_imm=0xe88

0xfffffff0092ae994: 00fc2991  add	x0, x0, #0xa7f
0xfffffff0092ae998: a2a1c297  bl	#0xfffffff008357020
0xfffffff0092ae99c: 9f260539  strb	wzr, [x20, #0x149]
0xfffffff0092ae9a0: 888e40b9  ldr	w8, [x20, #0x8c]
0xfffffff0092ae9a4: c8010035  cbnz	w8, #0xfffffff0092ae9dc
0xfffffff0092ae9a8: 21008052  mov	w1, #1
0xfffffff0092ae9ac: 900240f9  ldr	x16, [x20]
0xfffffff0092ae9b0: f10314aa  mov	x17, x20
0xfffffff0092ae9b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ae9b8: 301ac1da  autda	x16, x17
0xfffffff0092ae9bc: 11b780d2  mov	x17, #0x5b8
0xfffffff0092ae9c0: 1002118b  add	x16, x16, x17
0xfffffff0092ae9c4: 080240f9  ldr	x8, [x16]
0xfffffff0092ae9c8: e90310aa  mov	x9, x16
0xfffffff0092ae9cc: e00314aa  mov	x0, x20
0xfffffff0092ae9d0: f10309aa  mov	x17, x9
0xfffffff0092ae9d4: 5105eaf2  movk	x17, #0x502a, lsl #48
0xfffffff0092ae9d8: 11093fd7  blraa	x8, x17
0xfffffff0092ae9dc: 80ae40f9  ldr	x0, [x20, #0x158]
0xfffffff0092ae9e0: 57f7ab97  bl	#0xfffffff007dac73c
0xfffffff0092ae9e4: 618240a9  ldp	x1, x0, [x19, #8]
0xfffffff0092ae9e8: 100040f9  ldr	x16, [x0]
0xfffffff0092ae9ec: f10300aa  mov	x17, x0
0xfffffff0092ae9f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ae9f4: 301ac1da  autda	x16, x17
0xfffffff0092ae9f8: 11a580d2  mov	x17, #0x528
0xfffffff0092ae9fc: 1002118b  add	x16, x16, x17
0xfffffff0092aea00: 080240f9  ldr	x8, [x16]
0xfffffff0092aea04: e90310aa  mov	x9, x16
0xfffffff0092aea08: f10309aa  mov	x17, x9
0xfffffff0092aea0c: d143fbf2  movk	x17, #0xda1e, lsl #48
0xfffffff0092aea10: 11093fd7  blraa	x8, x17
0xfffffff0092aea14: 8047fff0  adrp	x0, #0xfffffff007ba1000
0xfffffff0092aea18: 00203a91  add	x0, x0, #0xe88
0xfffffff0092aea1c: e10313aa  mov	x1, x19
0xfffffff0092aea20: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0092aea24: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0092aea28: ffc30091  add	sp, sp, #0x30
0xfffffff0092aea2c: ff2303d5  autibsp	
0xfffffff0092aea30: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0092aea34: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0092aea3c
0xfffffff0092aea38: 208e38d4  brk	#0xc471
0xfffffff0092aea3c: 349fc217  b	#0xfffffff00835670c
0xfffffff0092aea40: 7f2303d5  pacibsp	
0xfffffff0092aea44: ffc300d1  sub	sp, sp, #0x30
0xfffffff0092aea48: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0092aea4c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0092aea50: fd830091  add	x29, sp, #0x20
0xfffffff0092aea54: f30300aa  mov	x19, x0
0xfffffff0092aea58: 08604239  ldrb	w8, [x0, #0x98]
0xfffffff0092aea5c: 88000837  tbnz	w8, #1, #0xfffffff0092aea6c
0xfffffff0092aea60: f40313aa  mov	x20, x19
0xfffffff0092aea64: 34b4f9f2  movk	x20, #0xcda1, lsl #48
0xfffffff0092aea68: 16000014  b	#0xfffffff0092aeac0
0xfffffff0092aea6c: 700240f9  ldr	x16, [x19]
0xfffffff0092aea70: f40313aa  mov	x20, x19
0xfffffff0092aea74: 34b4f9f2  movk	x20, #0xcda1, lsl #48
0xfffffff0092aea78: f10313aa  mov	x17, x19
0xfffffff0092aea7c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092aea80: 301ac1da  autda	x16, x17
0xfffffff0092aea84: 113d80d2  mov	x17, #0x1e8
0xfffffff0092aea88: 1002118b  add	x16, x16, x17
0xfffffff0092aea8c: 080240f9  ldr	x8, [x16]
0xfffffff0092aea90: e90310aa  mov	x9, x16
