; Candidate 85
; ADRP+ADD at VM 0xfffffff007dfbfd8 (fileoff 0xdf7fd8): page=0x2449000 add_imm=0xe10

0xfffffff007dfbf58: e0031caa  mov	x0, x28
0xfffffff007dfbf5c: bf450394  bl	#0xfffffff007ecd658
0xfffffff007dfbf60: 000080d2  mov	x0, #0
0xfffffff007dfbf64: e1031baa  mov	x1, x27
0xfffffff007dfbf68: 02008052  mov	w2, #0
0xfffffff007dfbf6c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007dfbf70: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007dfbf74: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff007dfbf78: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff007dfbf7c: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff007dfbf80: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff007dfbf84: ff030291  add	sp, sp, #0x80
0xfffffff007dfbf88: ff2303d5  autibsp	
0xfffffff007dfbf8c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007dfbf90: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007dfbf98
0xfffffff007dfbf94: 208e38d4  brk	#0xc471
0xfffffff007dfbf98: 2fde0d14  b	#0xfffffff008173854
0xfffffff007dfbf9c: 90901a94  bl	#0xfffffff0084a01dc
0xfffffff007dfbfa0: 5f2003d5  wfe	
0xfffffff007dfbfa4: c2d6fff0  adrp	x2, #0xfffffff0078d6000
0xfffffff007dfbfa8: 42403791  add	x2, x2, #0xdd0
0xfffffff007dfbfac: e10313aa  mov	x1, x19
0xfffffff007dfbfb0: 65cefe97  bl	#0xfffffff007daf944
0xfffffff007dfbfb4: c2fdff17  b	#0xfffffff007dfb6bc
0xfffffff007dfbfb8: 95901a94  bl	#0xfffffff0084a020c
0xfffffff007dfbfbc: e2d6ffb0  adrp	x2, #0xfffffff0078d8000
0xfffffff007dfbfc0: 42201b91  add	x2, x2, #0x6c8
0xfffffff007dfbfc4: 00ccfe97  bl	#0xfffffff007daefc4
0xfffffff007dfbfc8: abfdff17  b	#0xfffffff007dfb674
0xfffffff007dfbfcc: 568b1a94  bl	#0xfffffff00849ed24
0xfffffff007dfbfd0: 7f3b40b9  ldr	wzr, [x27, #0x38]
0xfffffff007dfbfd4: 61630091  add	x1, x27, #0x18
0xfffffff007dfbfd8: 402201b0  adrp	x0, #0xfffffff00a244000
0xfffffff007dfbfdc: 00403891  add	x0, x0, #0xe10
0xfffffff007dfbfe0: 22008052  mov	w2, #1
0xfffffff007dfbfe4: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007dfbfe8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007dfbfec: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff007dfbff0: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff007dfbff4: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff007dfbff8: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff007dfbffc: ff030291  add	sp, sp, #0x80
0xfffffff007dfc000: ff2303d5  autibsp	
0xfffffff007dfc004: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007dfc008: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007dfc010
0xfffffff007dfc00c: 208e38d4  brk	#0xc471
0xfffffff007dfc010: 85e7fe17  b	#0xfffffff007db5e24
0xfffffff007dfc014: c7520394  bl	#0xfffffff007ed0b30
0xfffffff007dfc018: b1ffff17  b	#0xfffffff007dfbedc
0xfffffff007dfc01c: e85640b9  ldr	w8, [x23, #0x54]
0xfffffff007dfc020: 081d0012  and	w8, w8, #0xff
0xfffffff007dfc024: e9e78052  mov	w9, #0x73f
0xfffffff007dfc028: 6a92ffd0  adrp	x10, #0xfffffff00704a000
0xfffffff007dfc02c: 4a210591  add	x10, x10, #0x148
0xfffffff007dfc030: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff007dfc034: e80300f9  str	x8, [sp]
0xfffffff007dfc038: 6092ffd0  adrp	x0, #0xfffffff00704a000
0xfffffff007dfc03c: 00340491  add	x0, x0, #0x10d
0xfffffff007dfc040: 33611a94  bl	#0xfffffff00849450c
0xfffffff007dfc044: 20038052  mov	w0, #0x19
0xfffffff007dfc048: e10317aa  mov	x1, x23
0xfffffff007dfc04c: ba781a94  bl	#0xfffffff00849a334
0xfffffff007dfc050: e85640b9  ldr	w8, [x23, #0x54]
0xfffffff007dfc054: 081d0012  and	w8, w8, #0xff
