; Candidate 8529
; ADRP+ADD at VM 0xfffffff0088afc18 (fileoff 0x18abc18): page=0x1fe93a000 add_imm=0xe80

0xfffffff0088afb98: 4bb53f29  stp	w11, w13, [x10, #-4]
0xfffffff0088afb9c: 4a410091  add	x10, x10, #0x10
0xfffffff0088afba0: 29050091  add	x9, x9, #1
0xfffffff0088afba4: 6b050011  add	w11, w11, #1
0xfffffff0088afba8: 2cffffb5  cbnz	x12, #0xfffffff0088afb8c
0xfffffff0088afbac: 78040034  cbz	w24, #0xfffffff0088afc38
0xfffffff0088afbb0: 1f0f0071  cmp	w24, #3
0xfffffff0088afbb4: 61060054  b.ne	#0xfffffff0088afc80
0xfffffff0088afbb8: df5200b9  str	wzr, [x22, #0x50]
0xfffffff0088afbbc: 3f000014  b	#0xfffffff0088afcb8
0xfffffff0088afbc0: 7b110094  bl	#0xfffffff0088b41ac
0xfffffff0088afbc4: f90300aa  mov	x25, x0
0xfffffff0088afbc8: 80008052  mov	w0, #4
0xfffffff0088afbcc: 212fff97  bl	#0xfffffff00887b850
0xfffffff0088afbd0: e80318aa  mov	x8, x24
0xfffffff0088afbd4: e85b05a9  stp	x8, x22, [sp, #0x50]
0xfffffff0088afbd8: e80317aa  mov	x8, x23
0xfffffff0088afbdc: e90315aa  mov	x9, x21
0xfffffff0088afbe0: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088afbe4: e80314aa  mov	x8, x20
0xfffffff0088afbe8: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088afbec: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088afbf0: 08f90791  add	x8, x8, #0x1fe
0xfffffff0088afbf4: a9e28052  mov	w9, #0x715
0xfffffff0088afbf8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088afbfc: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088afc00: 08950c91  add	x8, x8, #0x325
0xfffffff0088afc04: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088afc08: c80f8052  mov	w8, #0x7e
0xfffffff0088afc0c: a34dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088afc10: 63480f91  add	x3, x3, #0x3d2
0xfffffff0088afc14: f92300a9  stp	x25, x8, [sp]
0xfffffff0088afc18: c049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088afc1c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088afc20: c18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088afc24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088afc28: 02008052  mov	w2, #0
0xfffffff0088afc2c: 410dea97  bl	#0xfffffff008333130
0xfffffff0088afc30: 197d8012  mov	w25, #-0x3e9
0xfffffff0088afc34: 25000014  b	#0xfffffff0088afcc8
0xfffffff0088afc38: 281340b9  ldr	w8, [x25, #0x10]
0xfffffff0088afc3c: e803282a  mvn	w8, w8
0xfffffff0088afc40: 0801140b  add	w8, w8, w20
0xfffffff0088afc44: c85200b9  str	w8, [x22, #0x50]
0xfffffff0088afc48: 1f050071  cmp	w8, #1
0xfffffff0088afc4c: 6b030054  b.lt	#0xfffffff0088afcb8
0xfffffff0088afc50: 89060051  sub	w9, w20, #1
0xfffffff0088afc54: 6a0600d1  sub	x10, x19, #1
0xfffffff0088afc58: cb920191  add	x11, x22, #0x64
0xfffffff0088afc5c: 2c008052  mov	w12, #1
0xfffffff0088afc60: 6a411ff8  stur	x10, [x11, #-0xc]
0xfffffff0088afc64: 69b13f29  stp	w9, w12, [x11, #-4]
0xfffffff0088afc68: 29050051  sub	w9, w9, #1
0xfffffff0088afc6c: 4a0500d1  sub	x10, x10, #1
0xfffffff0088afc70: 6b410091  add	x11, x11, #0x10
0xfffffff0088afc74: 080500f1  subs	x8, x8, #1
0xfffffff0088afc78: 41ffff54  b.ne	#0xfffffff0088afc60
0xfffffff0088afc7c: 0f000014  b	#0xfffffff0088afcb8
0xfffffff0088afc80: c85200b9  str	w8, [x22, #0x50]
0xfffffff0088afc84: ff0a0071  cmp	w23, #2
0xfffffff0088afc88: 8b010054  b.lt	#0xfffffff0088afcb8
0xfffffff0088afc8c: 89060051  sub	w9, w20, #1
0xfffffff0088afc90: 6a0600d1  sub	x10, x19, #1
0xfffffff0088afc94: cb920191  add	x11, x22, #0x64
