; Candidate 5619
; ADRP+ADD at VM 0xfffffff0087fd068 (fileoff 0x17f9068): page=0x1fe9ec000 add_imm=0xe80

0xfffffff0087fcfe8: e8179f1a  cset	w8, eq
0xfffffff0087fcfec: 0900080a  and	w9, w0, w8
0xfffffff0087fcff0: a80e41b9  ldr	w8, [x21, #0x10c]
0xfffffff0087fcff4: 3f050071  cmp	w9, #1
0xfffffff0087fcff8: 41030054  b.ne	#0xfffffff0087fd060
0xfffffff0087fcffc: e9c30191  add	x9, sp, #0x70
0xfffffff0087fd000: e92300a9  stp	x9, x8, [sp]
0xfffffff0087fd004: c050ffd0  adrp	x0, #0xfffffff007217000
0xfffffff0087fd008: 00141891  add	x0, x0, #0x605
0xfffffff0087fd00c: 15e9d697  bl	#0xfffffff007db7460
0xfffffff0087fd010: 1e000014  b	#0xfffffff0087fd088
0xfffffff0087fd014: 66dc0294  bl	#0xfffffff0088b41ac
0xfffffff0087fd018: f70300aa  mov	x23, x0
0xfffffff0087fd01c: e00316aa  mov	x0, x22
0xfffffff0087fd020: 0cfa0194  bl	#0xfffffff00887b850
0xfffffff0087fd024: a90e41b9  ldr	w9, [x21, #0x10c]
0xfffffff0087fd028: e8c30191  add	x8, sp, #0x70
0xfffffff0087fd02c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087fd030: e80314aa  mov	x8, x20
0xfffffff0087fd034: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fd038: f70300f9  str	x23, [sp]
0xfffffff0087fd03c: 604fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fd040: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fd044: 4190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fd048: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fd04c: 2352ff90  adrp	x3, #0xfffffff007241000
0xfffffff0087fd050: 63b83b91  add	x3, x3, #0xeee
0xfffffff0087fd054: 02008052  mov	w2, #0
0xfffffff0087fd058: 36d8ec97  bl	#0xfffffff008333130
0xfffffff0087fd05c: 0b000014  b	#0xfffffff0087fd088
0xfffffff0087fd060: e9c30191  add	x9, sp, #0x70
0xfffffff0087fd064: e92300a9  stp	x9, x8, [sp]
0xfffffff0087fd068: 604fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fd06c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fd070: 4190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fd074: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fd078: 2352ff90  adrp	x3, #0xfffffff007241000
0xfffffff0087fd07c: 63203b91  add	x3, x3, #0xec8
0xfffffff0087fd080: 02008052  mov	w2, #0
0xfffffff0087fd084: 2bd8ec97  bl	#0xfffffff008333130
0xfffffff0087fd088: e00314aa  mov	x0, x20
0xfffffff0087fd08c: e10316aa  mov	x1, x22
0xfffffff0087fd090: d0f90194  bl	#0xfffffff00887b7d0
0xfffffff0087fd094: e0070034  cbz	w0, #0xfffffff0087fd190
0xfffffff0087fd098: e00314aa  mov	x0, x20
0xfffffff0087fd09c: dff90194  bl	#0xfffffff00887b818
0xfffffff0087fd0a0: 5302f837  tbnz	w19, #0x1f, #0xfffffff0087fd0e8
0xfffffff0087fd0a4: 78021b12  and	w24, w19, #0x20
0xfffffff0087fd0a8: 19000052  eor	w25, w0, #1
0xfffffff0087fd0ac: 40dc0294  bl	#0xfffffff0088b41ac
0xfffffff0087fd0b0: f70300aa  mov	x23, x0
0xfffffff0087fd0b4: e00316aa  mov	x0, x22
0xfffffff0087fd0b8: e6f90194  bl	#0xfffffff00887b850
0xfffffff0087fd0bc: 2817582a  orr	w8, w25, w24, lsr #5
0xfffffff0087fd0c0: e8020037  tbnz	w8, #0, #0xfffffff0087fd11c
0xfffffff0087fd0c4: a91241b9  ldr	w9, [x21, #0x110]
0xfffffff0087fd0c8: e8c30191  add	x8, sp, #0x70
0xfffffff0087fd0cc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087fd0d0: e80314aa  mov	x8, x20
0xfffffff0087fd0d4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fd0d8: f70300f9  str	x23, [sp]
0xfffffff0087fd0dc: c050ffd0  adrp	x0, #0xfffffff007217000
0xfffffff0087fd0e0: 00f81991  add	x0, x0, #0x67e
0xfffffff0087fd0e4: 0c000014  b	#0xfffffff0087fd114
