; Candidate 8975
; ADRP+ADD at VM 0xfffffff0089091f0 (fileoff 0x19051f0): page=0x19d2000 add_imm=0xec0

0xfffffff008909170: ff430191  add	sp, sp, #0x50
0xfffffff008909174: ff0f5fd6  retab	
0xfffffff008909178: 5f2403d5  bti	c
0xfffffff00890917c: 5e6de717  b	#0xfffffff0082e46f4
0xfffffff008909180: 5f2403d5  bti	c
0xfffffff008909184: 404bffb0  adrp	x0, #0xfffffff007272000
0xfffffff008909188: 00c83991  add	x0, x0, #0xe72
0xfffffff00890918c: c0035fd6  ret	
0xfffffff008909190: 5f2403d5  bti	c
0xfffffff008909194: 005440f9  ldr	x0, [x0, #0xa8]
0xfffffff008909198: c0035fd6  ret	
0xfffffff00890919c: 7f2303d5  pacibsp	
0xfffffff0089091a0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0089091a4: fd030091  mov	x29, sp
0xfffffff0089091a8: 80ce00d0  adrp	x0, #0xfffffff00a2db000
0xfffffff0089091ac: 00003b91  add	x0, x0, #0xec0
0xfffffff0089091b0: 414bffb0  adrp	x1, #0xfffffff007272000
0xfffffff0089091b4: 21c83991  add	x1, x1, #0xe72
0xfffffff0089091b8: 8288ffd0  adrp	x2, #0xfffffff007a1b000
0xfffffff0089091bc: 429841f9  ldr	x2, [x2, #0x330]
0xfffffff0089091c0: 03168052  mov	w3, #0xb0
0xfffffff0089091c4: 5d6ae797  bl	#0xfffffff0082e3b38
0xfffffff0089091c8: 9088ffd0  adrp	x16, #0xfffffff007a1b000
0xfffffff0089091cc: 10822e91  add	x16, x16, #0xba0
0xfffffff0089091d0: 10420091  add	x16, x16, #0x10
0xfffffff0089091d4: f10300aa  mov	x17, x0
0xfffffff0089091d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089091dc: 300ac1da  pacda	x16, x17
0xfffffff0089091e0: 100000f9  str	x16, [x0]
0xfffffff0089091e4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0089091e8: ff0f5fd6  retab	
0xfffffff0089091ec: 5f2403d5  bti	c
0xfffffff0089091f0: 80ce00d0  adrp	x0, #0xfffffff00a2db000
0xfffffff0089091f4: 00003b91  add	x0, x0, #0xec0
0xfffffff0089091f8: 3f6de717  b	#0xfffffff0082e46f4
0xfffffff0089091fc: 7f2303d5  pacibsp	
0xfffffff008909200: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008909204: fd030091  mov	x29, sp
0xfffffff008909208: 414bffd0  adrp	x1, #0xfffffff007273000
0xfffffff00890920c: 21400391  add	x1, x1, #0xd0
0xfffffff008909210: 8288ffd0  adrp	x2, #0xfffffff007a1b000
0xfffffff008909214: 429041f9  ldr	x2, [x2, #0x320]
0xfffffff008909218: 031f8052  mov	w3, #0xf8
0xfffffff00890921c: 476ae797  bl	#0xfffffff0082e3b38
0xfffffff008909220: 9088fff0  adrp	x16, #0xfffffff007a1c000
0xfffffff008909224: 10420991  add	x16, x16, #0x250
0xfffffff008909228: 10420091  add	x16, x16, #0x10
0xfffffff00890922c: f10300aa  mov	x17, x0
0xfffffff008909230: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008909234: 300ac1da  pacda	x16, x17
0xfffffff008909238: 100000f9  str	x16, [x0]
0xfffffff00890923c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008909240: ff0f5fd6  retab	
0xfffffff008909244: 5f2403d5  bti	c
0xfffffff008909248: 2b6de717  b	#0xfffffff0082e46f4
0xfffffff00890924c: 7f2303d5  pacibsp	
0xfffffff008909250: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008909254: fd030091  mov	x29, sp
0xfffffff008909258: 33dceb97  bl	#0xfffffff008400324
0xfffffff00890925c: 9088ffd0  adrp	x16, #0xfffffff007a1b000
0xfffffff008909260: 10e23091  add	x16, x16, #0xc38
0xfffffff008909264: 10420091  add	x16, x16, #0x10
0xfffffff008909268: f10300aa  mov	x17, x0
0xfffffff00890926c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
