; Candidate 11562
; ADRP+ADD at VM 0xfffffff008f90024 (fileoff 0x1f8c024): page=0x1feba1000 add_imm=0xe58

0xfffffff008f8ffa4: d6ba42f9  ldr	x22, [x22, #0x570]
0xfffffff008f8ffa8: e04b40f9  ldr	x0, [sp, #0x90]
0xfffffff008f8ffac: e8090034  cbz	w8, #0xfffffff008f900e8
0xfffffff008f8ffb0: 100040f9  ldr	x16, [x0]
0xfffffff008f8ffb4: f10300aa  mov	x17, x0
0xfffffff008f8ffb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f8ffbc: 301ac1da  autda	x16, x17
0xfffffff008f8ffc0: 112380d2  mov	x17, #0x118
0xfffffff008f8ffc4: 1002118b  add	x16, x16, x17
0xfffffff008f8ffc8: 080240f9  ldr	x8, [x16]
0xfffffff008f8ffcc: e90310aa  mov	x9, x16
0xfffffff008f8ffd0: a124fff0  adrp	x1, #0xfffffff007426000
0xfffffff008f8ffd4: 213c0d91  add	x1, x1, #0x34f
0xfffffff008f8ffd8: f10309aa  mov	x17, x9
0xfffffff008f8ffdc: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff008f8ffe0: 11093fd7  blraa	x8, x17
0xfffffff008f8ffe4: c10240f9  ldr	x1, [x22]
0xfffffff008f8ffe8: 434fcd97  bl	#0xfffffff0082e3cf4
0xfffffff008f8ffec: c04b03b4  cbz	x0, #0xfffffff008f96964
0xfffffff008f8fff0: f40300aa  mov	x20, x0
0xfffffff008f8fff4: 100040f9  ldr	x16, [x0]
0xfffffff008f8fff8: f10300aa  mov	x17, x0
0xfffffff008f8fffc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f90000: 301ac1da  autda	x16, x17
0xfffffff008f90004: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff008f90008: e90310aa  mov	x9, x16
0xfffffff008f9000c: f10309aa  mov	x17, x9
0xfffffff008f90010: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff008f90014: 11093fd7  blraa	x8, x17
0xfffffff008f90018: 087c0253  lsr	w8, w0, #2
0xfffffff008f9001c: 68ff2eb9  str	w8, [x27, #0x2efc]
0xfffffff008f90020: 01741e12  and	w1, w0, #0xfffffffc
0xfffffff008f90024: 005dffb0  adrp	x0, #0xfffffff007b31000
0xfffffff008f90028: 00603991  add	x0, x0, #0xe58
0xfffffff008f9002c: 691bcf97  bl	#0xfffffff008356dd0
0xfffffff008f90030: 608317f9  str	x0, [x27, #0x2f00]
0xfffffff008f90034: a04903b4  cbz	x0, #0xfffffff008f96968
0xfffffff008f90038: f50300aa  mov	x21, x0
0xfffffff008f9003c: 900240f9  ldr	x16, [x20]
0xfffffff008f90040: f10314aa  mov	x17, x20
0xfffffff008f90044: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f90048: 301ac1da  autda	x16, x17
0xfffffff008f9004c: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008f90050: e90310aa  mov	x9, x16
0xfffffff008f90054: e00314aa  mov	x0, x20
0xfffffff008f90058: f10309aa  mov	x17, x9
0xfffffff008f9005c: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff008f90060: 11093fd7  blraa	x8, x17
0xfffffff008f90064: e10300aa  mov	x1, x0
0xfffffff008f90068: 68ff6eb9  ldr	w8, [x27, #0x2efc]
0xfffffff008f9006c: 02f57ed3  lsl	x2, x8, #2
0xfffffff008f90070: e00315aa  mov	x0, x21
0xfffffff008f90074: 47f2b697  bl	#0xfffffff007d4c990
0xfffffff008f90078: 69f34339  ldrb	w9, [x27, #0xfc]
0xfffffff008f9007c: 68ff6eb9  ldr	w8, [x27, #0x2efc]
0xfffffff008f90080: e04b40f9  ldr	x0, [sp, #0x90]
0xfffffff008f90084: c9010034  cbz	w9, #0xfffffff008f900bc
0xfffffff008f90088: 28010034  cbz	w8, #0xfffffff008f900ac
0xfffffff008f9008c: 6a8357f9  ldr	x10, [x27, #0x2f00]
0xfffffff008f90090: 090340b9  ldr	w9, [x24]
0xfffffff008f90094: eb0308aa  mov	x11, x8
0xfffffff008f90098: 4c454078  ldrh	w12, [x10], #4
0xfffffff008f9009c: 29010c0b  add	w9, w9, w12
0xfffffff008f900a0: 6b0500f1  subs	x11, x11, #1
