; Candidate 16418
; ADRP+ADD at VM 0xfffffff009e9afc8 (fileoff 0x2e96fc8): page=0x1fd9a3000 add_imm=0xd1c

0xfffffff009e9af48: 80c20591  add	x0, x20, #0x170
0xfffffff009e9af4c: 2c4e7c97  bl	#0xfffffff007dae7fc
0xfffffff009e9af50: ff020071  cmp	w23, #0
0xfffffff009e9af54: e8079f1a  cset	w8, ne
0xfffffff009e9af58: 4803082a  orr	w8, w26, w8
0xfffffff009e9af5c: 680d0037  tbnz	w8, #0, #0xfffffff009e9b108
0xfffffff009e9af60: e00313aa  mov	x0, x19
0xfffffff009e9af64: 1b170194  bl	#0xfffffff009ee0bd0
0xfffffff009e9af68: e00313aa  mov	x0, x19
0xfffffff009e9af6c: b80a0094  bl	#0xfffffff009e9da4c
0xfffffff009e9af70: c0060034  cbz	w0, #0xfffffff009e9b048
0xfffffff009e9af74: 08d98352  mov	w8, #0x1ec8
0xfffffff009e9af78: 7702088b  add	x23, x19, x8
0xfffffff009e9af7c: e00317aa  mov	x0, x23
0xfffffff009e9af80: d3427c97  bl	#0xfffffff007dabacc
0xfffffff009e9af84: e00313aa  mov	x0, x19
0xfffffff009e9af88: cc0a0094  bl	#0xfffffff009e9dab8
0xfffffff009e9af8c: 80000035  cbnz	w0, #0xfffffff009e9af9c
0xfffffff009e9af90: e00313aa  mov	x0, x19
0xfffffff009e9af94: 030b0094  bl	#0xfffffff009e9dba0
0xfffffff009e9af98: 00040034  cbz	w0, #0xfffffff009e9b018
0xfffffff009e9af9c: e00317aa  mov	x0, x23
0xfffffff009e9afa0: e7457c97  bl	#0xfffffff007dac73c
0xfffffff009e9afa4: 083e8452  mov	w8, #0x21f0
0xfffffff009e9afa8: 6802088b  add	x8, x19, x8
0xfffffff009e9afac: 890640f9  ldr	x9, [x20, #8]
0xfffffff009e9afb0: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff009e9afb4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e9afb8: 08cdfef0  adrp	x8, #0xfffffff00783d000
0xfffffff009e9afbc: 082d3491  add	x8, x8, #0xd0b
0xfffffff009e9afc0: 09978052  mov	w9, #0x4b8
0xfffffff009e9afc4: e82700a9  stp	x8, x9, [sp]
0xfffffff009e9afc8: 00cdfef0  adrp	x0, #0xfffffff00783d000
0xfffffff009e9afcc: 00703491  add	x0, x0, #0xd1c
0xfffffff009e9afd0: 3d92ff97  bl	#0xfffffff009e7f8c4
0xfffffff009e9afd4: 17008052  mov	w23, #0
0xfffffff009e9afd8: 4a000014  b	#0xfffffff009e9b100
0xfffffff009e9afdc: 083e8452  mov	w8, #0x21f0
0xfffffff009e9afe0: 6802088b  add	x8, x19, x8
0xfffffff009e9afe4: 890640f9  ldr	x9, [x20, #8]
0xfffffff009e9afe8: ea0317aa  mov	x10, x23
0xfffffff009e9afec: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009e9aff0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e9aff4: 08cdfef0  adrp	x8, #0xfffffff00783d000
0xfffffff009e9aff8: 082d3491  add	x8, x8, #0xd0b
0xfffffff009e9affc: a9948052  mov	w9, #0x4a5
0xfffffff009e9b000: e82700a9  stp	x8, x9, [sp]
0xfffffff009e9b004: 60cdfe90  adrp	x0, #0xfffffff007847000
0xfffffff009e9b008: 00880691  add	x0, x0, #0x1a2
0xfffffff009e9b00c: 2e92ff97  bl	#0xfffffff009e7f8c4
0xfffffff009e9b010: 1a008052  mov	w26, #0
0xfffffff009e9b014: beffff17  b	#0xfffffff009e9af0c
0xfffffff009e9b018: 08db8352  mov	w8, #0x1ed8
0xfffffff009e9b01c: 7802088b  add	x24, x19, x8
0xfffffff009e9b020: e00318aa  mov	x0, x24
0xfffffff009e9b024: aa427c97  bl	#0xfffffff007dabacc
0xfffffff009e9b028: 08018052  mov	w8, #8
0xfffffff009e9b02c: 68ea1eb9  str	w8, [x19, #0x1ee8]
0xfffffff009e9b030: eecb8097  bl	#0xfffffff007ecdfe8
0xfffffff009e9b034: 607e0ff9  str	x0, [x19, #0x1ef8]
0xfffffff009e9b038: e00318aa  mov	x0, x24
0xfffffff009e9b03c: c0457c97  bl	#0xfffffff007dac73c
0xfffffff009e9b040: e00317aa  mov	x0, x23
0xfffffff009e9b044: be457c97  bl	#0xfffffff007dac73c
