; Candidate 6315
; ADRP+ADD at VM 0xfffffff008823168 (fileoff 0x181f168): page=0x1fe9c6000 add_imm=0xe80

0xfffffff0088230e8: 31440294  bl	#0xfffffff0088b41ac
0xfffffff0088230ec: f60300aa  mov	x22, x0
0xfffffff0088230f0: e00315aa  mov	x0, x21
0xfffffff0088230f4: d7610194  bl	#0xfffffff00887b850
0xfffffff0088230f8: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff0088230fc: 692a4029  ldp	w9, w10, [x19]
0xfffffff008823100: 6b0a40b9  ldr	w11, [x19, #8]
0xfffffff008823104: 6c1a40b9  ldr	w12, [x19, #0x18]
0xfffffff008823108: e83304a9  stp	x8, x12, [sp, #0x40]
0xfffffff00882310c: ea2f03a9  stp	x10, x11, [sp, #0x30]
0xfffffff008823110: f32702a9  stp	x19, x9, [sp, #0x20]
0xfffffff008823114: e8430191  add	x8, sp, #0x50
0xfffffff008823118: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882311c: f65300a9  stp	x22, x20, [sp]
0xfffffff008823120: 204effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008823124: 00003a91  add	x0, x0, #0xe80
0xfffffff008823128: 218fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00882312c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008823130: 2351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff008823134: 630c3391  add	x3, x3, #0xcc3
0xfffffff008823138: 02008052  mov	w2, #0
0xfffffff00882313c: fd3fec97  bl	#0xfffffff008333130
0xfffffff008823140: 12000014  b	#0xfffffff008823188
0xfffffff008823144: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff008823148: 692a4029  ldp	w9, w10, [x19]
0xfffffff00882314c: 6b0a40b9  ldr	w11, [x19, #8]
0xfffffff008823150: 6c1a40b9  ldr	w12, [x19, #0x18]
0xfffffff008823154: e8b302a9  stp	x8, x12, [sp, #0x28]
0xfffffff008823158: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff00882315c: f3a700a9  stp	x19, x9, [sp, #8]
0xfffffff008823160: e8430191  add	x8, sp, #0x50
0xfffffff008823164: e80300f9  str	x8, [sp]
0xfffffff008823168: 204effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882316c: 00003a91  add	x0, x0, #0xe80
0xfffffff008823170: 218fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008823174: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008823178: 2351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff00882317c: 63883291  add	x3, x3, #0xca2
0xfffffff008823180: 02008052  mov	w2, #0
0xfffffff008823184: eb3fec97  bl	#0xfffffff008333130
0xfffffff008823188: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff00882318c: 298fffb0  adrp	x9, #0xfffffff007a08000
0xfffffff008823190: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff008823194: 290140f9  ldr	x9, [x9]
0xfffffff008823198: 3f0108eb  cmp	x9, x8
0xfffffff00882319c: 01010054  b.ne	#0xfffffff0088231bc
0xfffffff0088231a0: 00008052  mov	w0, #0
0xfffffff0088231a4: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff0088231a8: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff0088231ac: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff0088231b0: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff0088231b4: ff030391  add	sp, sp, #0xc0
0xfffffff0088231b8: ff0f5fd6  retab	
0xfffffff0088231bc: 24ebd497  bl	#0xfffffff007d5de4c
0xfffffff0088231c0: f30300aa  mov	x19, x0
0xfffffff0088231c4: 74008052  mov	w20, #3
0xfffffff0088231c8: 60008052  mov	w0, #3
0xfffffff0088231cc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0088231d0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0088231d8
0xfffffff0088231d4: 208e38d4  brk	#0xc471
0xfffffff0088231d8: 9e610114  b	#0xfffffff00887b850
0xfffffff0088231dc: 5f2403d5  bti	c
0xfffffff0088231e0: 090080d2  mov	x9, #0
0xfffffff0088231e4: 2b008052  mov	w11, #1
