; Candidate 11430
; ADRP+ADD at VM 0xfffffff008f47f24 (fileoff 0x1f43f24): page=0x1fe4d4000 add_imm=0xe2d

0xfffffff008f47ea4: 098d47f8  ldr	x9, [x8, #0x78]!
0xfffffff008f47ea8: f10308aa  mov	x17, x8
0xfffffff008f47eac: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff008f47eb0: 31093fd7  blraa	x9, x17
0xfffffff008f47eb4: 80220034  cbz	w0, #0xfffffff008f48304
0xfffffff008f47eb8: 754600f9  str	x21, [x19, #0x88]
0xfffffff008f47ebc: b00240f9  ldr	x16, [x21]
0xfffffff008f47ec0: f10315aa  mov	x17, x21
0xfffffff008f47ec4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f47ec8: 301ac1da  autda	x16, x17
0xfffffff008f47ecc: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff008f47ed0: e90310aa  mov	x9, x16
0xfffffff008f47ed4: e00315aa  mov	x0, x21
0xfffffff008f47ed8: f10309aa  mov	x17, x9
0xfffffff008f47edc: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff008f47ee0: 11093fd7  blraa	x8, x17
0xfffffff008f47ee4: 940100b4  cbz	x20, #0xfffffff008f47f14
0xfffffff008f47ee8: 741200f9  str	x20, [x19, #0x20]
0xfffffff008f47eec: 900240f9  ldr	x16, [x20]
0xfffffff008f47ef0: f10314aa  mov	x17, x20
0xfffffff008f47ef4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f47ef8: 301ac1da  autda	x16, x17
0xfffffff008f47efc: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff008f47f00: e90310aa  mov	x9, x16
0xfffffff008f47f04: e00314aa  mov	x0, x20
0xfffffff008f47f08: f10309aa  mov	x17, x9
0xfffffff008f47f0c: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff008f47f10: 11093fd7  blraa	x8, x17
0xfffffff008f47f14: 28008052  mov	w8, #1
0xfffffff008f47f18: 68ca0039  strb	w8, [x19, #0x32]
0xfffffff008f47f1c: 7f420339  strb	wzr, [x19, #0xd0]
0xfffffff008f47f20: ff2700b9  str	wzr, [sp, #0x24]
0xfffffff008f47f24: a026ff90  adrp	x0, #0xfffffff00741b000
0xfffffff008f47f28: 00b43891  add	x0, x0, #0xe2d
0xfffffff008f47f2c: e1930091  add	x1, sp, #0x24
0xfffffff008f47f30: 82008052  mov	w2, #4
0xfffffff008f47f34: 2194d497  bl	#0xfffffff00846cfb8
0xfffffff008f47f38: e82740b9  ldr	w8, [sp, #0x24]
0xfffffff008f47f3c: 28030034  cbz	w8, #0xfffffff008f47fa0
0xfffffff008f47f40: 741240f9  ldr	x20, [x19, #0x20]
0xfffffff008f47f44: 700240f9  ldr	x16, [x19]
0xfffffff008f47f48: f10313aa  mov	x17, x19
0xfffffff008f47f4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f47f50: 301ac1da  autda	x16, x17
0xfffffff008f47f54: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f47f58: e90310aa  mov	x9, x16
0xfffffff008f47f5c: e00313aa  mov	x0, x19
0xfffffff008f47f60: f10309aa  mov	x17, x9
0xfffffff008f47f64: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f47f68: 11093fd7  blraa	x8, x17
0xfffffff008f47f6c: 7b72ce97  bl	#0xfffffff0082e4958
0xfffffff008f47f70: e82740b9  ldr	w8, [sp, #0x24]
0xfffffff008f47f74: f40100b4  cbz	x20, #0xfffffff008f47fb0
0xfffffff008f47f78: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008f47f7c: a826ff90  adrp	x8, #0xfffffff00741b000
0xfffffff008f47f80: 08813991  add	x8, x8, #0xe60
0xfffffff008f47f84: e02300a9  stp	x0, x8, [sp]
0xfffffff008f47f88: a226ff90  adrp	x2, #0xfffffff00741b000
0xfffffff008f47f8c: 42003991  add	x2, x2, #0xe40
0xfffffff008f47f90: e00314aa  mov	x0, x20
0xfffffff008f47f94: 41008052  mov	w1, #2
0xfffffff008f47f98: abf14094  bl	#0xfffffff009f84644
0xfffffff008f47f9c: 0c000014  b	#0xfffffff008f47fcc
0xfffffff008f47fa0: 140099d2  mov	x20, #0xc800
