; Candidate 7504
; ADRP+ADD at VM 0xfffffff00887080c (fileoff 0x186c80c): page=0x1fe9a3000 add_imm=0xe0f

0xfffffff00887078c: 00008052  mov	w0, #0
0xfffffff008870790: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008870794: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008870798: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00887079c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088707a0: ff030291  add	sp, sp, #0x80
0xfffffff0088707a4: ff0f5fd6  retab	
0xfffffff0088707a8: 7f2303d5  pacibsp	
0xfffffff0088707ac: ff8301d1  sub	sp, sp, #0x60
0xfffffff0088707b0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0088707b4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0088707b8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0088707bc: fd430191  add	x29, sp, #0x50
0xfffffff0088707c0: f30300aa  mov	x19, x0
0xfffffff0088707c4: 600b8052  mov	w0, #0x5b
0xfffffff0088707c8: e1008052  mov	w1, #7
0xfffffff0088707cc: 012c0094  bl	#0xfffffff00887b7d0
0xfffffff0088707d0: a0040034  cbz	w0, #0xfffffff008870864
0xfffffff0088707d4: 600b8052  mov	w0, #0x5b
0xfffffff0088707d8: 102c0094  bl	#0xfffffff00887b818
0xfffffff0088707dc: f50300aa  mov	x21, x0
0xfffffff0088707e0: 730e0194  bl	#0xfffffff0088b41ac
0xfffffff0088707e4: f40300aa  mov	x20, x0
0xfffffff0088707e8: e0008052  mov	w0, #7
0xfffffff0088707ec: 192c0094  bl	#0xfffffff00887b850
0xfffffff0088707f0: 75010034  cbz	w21, #0xfffffff00887081c
0xfffffff0088707f4: c84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff0088707f8: 08812491  add	x8, x8, #0x920
0xfffffff0088707fc: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008870800: 680b8052  mov	w8, #0x5b
0xfffffff008870804: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008870808: f40300f9  str	x20, [sp]
0xfffffff00887080c: 004dfff0  adrp	x0, #0xfffffff007213000
0xfffffff008870810: 003c3891  add	x0, x0, #0xe0f
0xfffffff008870814: 131bd597  bl	#0xfffffff007db7460
0xfffffff008870818: 13000014  b	#0xfffffff008870864
0xfffffff00887081c: 640e0194  bl	#0xfffffff0088b41ac
0xfffffff008870820: f40300aa  mov	x20, x0
0xfffffff008870824: e0008052  mov	w0, #7
0xfffffff008870828: 0a2c0094  bl	#0xfffffff00887b850
0xfffffff00887082c: c84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008870830: 08812491  add	x8, x8, #0x920
0xfffffff008870834: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008870838: 680b8052  mov	w8, #0x5b
0xfffffff00887083c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008870840: f40300f9  str	x20, [sp]
0xfffffff008870844: c04bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008870848: 00003a91  add	x0, x0, #0xe80
0xfffffff00887084c: c18cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008870850: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008870854: 434fff90  adrp	x3, #0xfffffff007258000
0xfffffff008870858: 63543591  add	x3, x3, #0xd55
0xfffffff00887085c: 02008052  mov	w2, #0
0xfffffff008870860: 340aeb97  bl	#0xfffffff008333130
0xfffffff008870864: 94088052  mov	w20, #0x44
0xfffffff008870868: 1408a072  movk	w20, #0x40, lsl #16
0xfffffff00887086c: 82121f11  add	w2, w20, #0x7c4
0xfffffff008870870: e00313aa  mov	x0, x19
0xfffffff008870874: 21008052  mov	w1, #1
0xfffffff008870878: 23008052  mov	w3, #1
0xfffffff00887087c: 3d520094  bl	#0xfffffff008885170
0xfffffff008870880: e00313aa  mov	x0, x19
0xfffffff008870884: 21008052  mov	w1, #1
0xfffffff008870888: 82088052  mov	w2, #0x44
