; Candidate 15779
; ADRP+ADD at VM 0xfffffff009d0ad4c (fileoff 0x2d06d4c): page=0x1fd956000 add_imm=0xce2

0xfffffff009d0accc: 740c8797  bl	#0xfffffff007ecde9c
0xfffffff009d0acd0: 1f040071  cmp	w0, #1
0xfffffff009d0acd4: 41040054  b.ne	#0xfffffff009d0ad5c
0xfffffff009d0acd8: 900240f9  ldr	x16, [x20]
0xfffffff009d0acdc: f10314aa  mov	x17, x20
0xfffffff009d0ace0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d0ace4: 301ac1da  autda	x16, x17
0xfffffff009d0ace8: 113d80d2  mov	x17, #0x1e8
0xfffffff009d0acec: 1002118b  add	x16, x16, x17
0xfffffff009d0acf0: 080240f9  ldr	x8, [x16]
0xfffffff009d0acf4: e90310aa  mov	x9, x16
0xfffffff009d0acf8: e00314aa  mov	x0, x20
0xfffffff009d0acfc: 010080d2  mov	x1, #0
0xfffffff009d0ad00: f10309aa  mov	x17, x9
0xfffffff009d0ad04: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009d0ad08: 11093fd7  blraa	x8, x17
0xfffffff009d0ad0c: f50300aa  mov	x21, x0
0xfffffff009d0ad10: 900240f9  ldr	x16, [x20]
0xfffffff009d0ad14: f10314aa  mov	x17, x20
0xfffffff009d0ad18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d0ad1c: 301ac1da  autda	x16, x17
0xfffffff009d0ad20: 114380d2  mov	x17, #0x218
0xfffffff009d0ad24: 1002118b  add	x16, x16, x17
0xfffffff009d0ad28: 080240f9  ldr	x8, [x16]
0xfffffff009d0ad2c: e90310aa  mov	x9, x16
0xfffffff009d0ad30: e00314aa  mov	x0, x20
0xfffffff009d0ad34: 010080d2  mov	x1, #0
0xfffffff009d0ad38: f10309aa  mov	x17, x9
0xfffffff009d0ad3c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009d0ad40: 11093fd7  blraa	x8, x17
0xfffffff009d0ad44: f86b01a9  stp	x24, x26, [sp, #0x10]
0xfffffff009d0ad48: f50300a9  stp	x21, x0, [sp]
0xfffffff009d0ad4c: a0cafed0  adrp	x0, #0xfffffff007660000
0xfffffff009d0ad50: 00883391  add	x0, x0, #0xce2
0xfffffff009d0ad54: b3309997  bl	#0xfffffff008357020
0xfffffff009d0ad58: 4b000014  b	#0xfffffff009d0ae84
0xfffffff009d0ad5c: a8027892  and	x8, x21, #0x100
0xfffffff009d0ad60: 08fd47d3  lsr	x8, x8, #7
0xfffffff009d0ad64: 15011f52  eor	w21, w8, #2
0xfffffff009d0ad68: 900240f9  ldr	x16, [x20]
0xfffffff009d0ad6c: f10314aa  mov	x17, x20
0xfffffff009d0ad70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d0ad74: 301ac1da  autda	x16, x17
0xfffffff009d0ad78: 113d80d2  mov	x17, #0x1e8
0xfffffff009d0ad7c: 1002118b  add	x16, x16, x17
0xfffffff009d0ad80: 080240f9  ldr	x8, [x16]
0xfffffff009d0ad84: e90310aa  mov	x9, x16
0xfffffff009d0ad88: e00314aa  mov	x0, x20
0xfffffff009d0ad8c: 010080d2  mov	x1, #0
0xfffffff009d0ad90: f10309aa  mov	x17, x9
0xfffffff009d0ad94: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009d0ad98: 11093fd7  blraa	x8, x17
0xfffffff009d0ad9c: 900240f9  ldr	x16, [x20]
0xfffffff009d0ada0: f10314aa  mov	x17, x20
0xfffffff009d0ada4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009d0ada8: 301ac1da  autda	x16, x17
0xfffffff009d0adac: 114380d2  mov	x17, #0x218
0xfffffff009d0adb0: 1002118b  add	x16, x16, x17
0xfffffff009d0adb4: 080240f9  ldr	x8, [x16]
0xfffffff009d0adb8: e90310aa  mov	x9, x16
0xfffffff009d0adbc: e00314aa  mov	x0, x20
0xfffffff009d0adc0: 010080d2  mov	x1, #0
0xfffffff009d0adc4: f10309aa  mov	x17, x9
0xfffffff009d0adc8: 11a8e6f2  movk	x17, #0x3540, lsl #48
