; Candidate 2909
; ADRP+ADD at VM 0xfffffff0086f4e74 (fileoff 0x16f0e74): page=0x1fea3d000 add_imm=0xd90

0xfffffff0086f4df4: fa0300f9  str	x26, [sp]
0xfffffff0086f4df8: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f4dfc: 00403691  add	x0, x0, #0xd90
0xfffffff0086f4e00: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f4e04: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f4e08: 0352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086f4e0c: 63343f91  add	x3, x3, #0xfcd
0xfffffff0086f4e10: 02008052  mov	w2, #0
0xfffffff0086f4e14: c7f8f097  bl	#0xfffffff008333130
0xfffffff0086f4e18: cafeff17  b	#0xfffffff0086f4940
0xfffffff0086f4e1c: 6ae67bb9  ldr	w10, [x19, #0x3be4]
0xfffffff0086f4e20: fc030caa  mov	x28, x12
0xfffffff0086f4e24: 8b6140b9  ldr	w11, [x12, #0x60]
0xfffffff0086f4e28: 5f010b6b  cmp	w10, w11
0xfffffff0086f4e2c: f90317aa  mov	x25, x23
0xfffffff0086f4e30: 02270054  b.hs	#0xfffffff0086f5310
0xfffffff0086f4e34: 68da3bb9  str	w8, [x19, #0x3bd8]
0xfffffff0086f4e38: 69de3bb9  str	w9, [x19, #0x3bdc]
0xfffffff0086f4e3c: 803340fd  ldr	d0, [x28, #0x60]
0xfffffff0086f4e40: 0008a00e  rev64	v0.2s, v0.2s
0xfffffff0086f4e44: 60f21dfd  str	d0, [x19, #0x3be0]
0xfffffff0086f4e48: 9f0a0071  cmp	w20, #2
0xfffffff0086f4e4c: f72340f9  ldr	x23, [sp, #0x40]
0xfffffff0086f4e50: 4b020054  b.lt	#0xfffffff0086f4e98
0xfffffff0086f4e54: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff0086f4e58: 014141b9  ldr	w1, [x8, #0x140]
0xfffffff0086f4e5c: 006d40f9  ldr	x0, [x8, #0xd8]
0xfffffff0086f4e60: cf4f0194  bl	#0xfffffff008748d9c
0xfffffff0086f4e64: a0010034  cbz	w0, #0xfffffff0086f4e98
0xfffffff0086f4e68: fa52ffb0  adrp	x26, #0xfffffff007151000
0xfffffff0086f4e6c: 5a4b1591  add	x26, x26, #0x552
0xfffffff0086f4e70: fa0300a9  stp	x26, x0, [sp]
0xfffffff0086f4e74: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f4e78: 00403691  add	x0, x0, #0xd90
0xfffffff0086f4e7c: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f4e80: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f4e84: 0352ffb0  adrp	x3, #0xfffffff007135000
0xfffffff0086f4e88: 632c0491  add	x3, x3, #0x10b
0xfffffff0086f4e8c: 02008052  mov	w2, #0
0xfffffff0086f4e90: a8f8f097  bl	#0xfffffff008333130
0xfffffff0086f4e94: abfeff17  b	#0xfffffff0086f4940
0xfffffff0086f4e98: 3b008052  mov	w27, #1
0xfffffff0086f4e9c: 68c27db9  ldr	w8, [x19, #0x3dc0]
0xfffffff0086f4ea0: e8050034  cbz	w8, #0xfffffff0086f4f5c
0xfffffff0086f4ea4: 68be7db9  ldr	w8, [x19, #0x3dbc]
0xfffffff0086f4ea8: 1f010071  cmp	w8, #0
0xfffffff0086f4eac: e8079f1a  cset	w8, ne
0xfffffff0086f4eb0: 08013b0a  bic	w8, w8, w27
0xfffffff0086f4eb4: c8090037  tbnz	w8, #0, #0xfffffff0086f4fec
0xfffffff0086f4eb8: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff0086f4ebc: 100040f9  ldr	x16, [x0]
0xfffffff0086f4ec0: f10300aa  mov	x17, x0
0xfffffff0086f4ec4: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0086f4ec8: 301ac1da  autda	x16, x17
0xfffffff0086f4ecc: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff0086f4ed0: e90310aa  mov	x9, x16
0xfffffff0086f4ed4: 010080d2  mov	x1, #0
0xfffffff0086f4ed8: f10309aa  mov	x17, x9
0xfffffff0086f4edc: 3173e4f2  movk	x17, #0x2399, lsl #48
0xfffffff0086f4ee0: 11093fd7  blraa	x8, x17
0xfffffff0086f4ee4: 7fbe3db9  str	wzr, [x19, #0x3dbc]
0xfffffff0086f4ee8: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff0086f4eec: 100040f9  ldr	x16, [x0]
0xfffffff0086f4ef0: f10300aa  mov	x17, x0
