; Candidate 13707
; ADRP+ADD at VM 0xfffffff0093d997c (fileoff 0x23d597c): page=0x1fe134000 add_imm=0xdcd

0xfffffff0093d98fc: e05301a9  stp	x0, x20, [sp, #0x10]
0xfffffff0093d9900: f55b00a9  stp	x21, x22, [sp]
0xfffffff0093d9904: 8009fff0  adrp	x0, #0xfffffff00750c000
0xfffffff0093d9908: 00002a91  add	x0, x0, #0xa80
0xfffffff0093d990c: c13fff90  adrp	x1, #0xfffffff007bd1000
0xfffffff0093d9910: 213844f9  ldr	x1, [x1, #0x870]
0xfffffff0093d9914: a309ffd0  adrp	x3, #0xfffffff00750f000
0xfffffff0093d9918: 63d81391  add	x3, x3, #0x4f6
0xfffffff0093d991c: 02008052  mov	w2, #0
0xfffffff0093d9920: 0466bd97  bl	#0xfffffff008333130
0xfffffff0093d9924: 44000014  b	#0xfffffff0093d9a34
0xfffffff0093d9928: b309ff90  adrp	x19, #0xfffffff00750d000
0xfffffff0093d992c: 730a3591  add	x19, x19, #0xd42
0xfffffff0093d9930: 74098052  mov	w20, #0x4b
0xfffffff0093d9934: f35300a9  stp	x19, x20, [sp]
0xfffffff0093d9938: a009ff90  adrp	x0, #0xfffffff00750d000
0xfffffff0093d993c: 00543691  add	x0, x0, #0xd95
0xfffffff0093d9940: b8f5bd97  bl	#0xfffffff008357020
0xfffffff0093d9944: f35300a9  stp	x19, x20, [sp]
0xfffffff0093d9948: 8009fff0  adrp	x0, #0xfffffff00750c000
0xfffffff0093d994c: 00002a91  add	x0, x0, #0xa80
0xfffffff0093d9950: c13fff90  adrp	x1, #0xfffffff007bd1000
0xfffffff0093d9954: 213844f9  ldr	x1, [x1, #0x870]
0xfffffff0093d9958: a309ffd0  adrp	x3, #0xfffffff00750f000
0xfffffff0093d995c: 634c1491  add	x3, x3, #0x513
0xfffffff0093d9960: 02008052  mov	w2, #0
0xfffffff0093d9964: f365bd97  bl	#0xfffffff008333130
0xfffffff0093d9968: 33000014  b	#0xfffffff0093d9a34
0xfffffff0093d996c: b309ff90  adrp	x19, #0xfffffff00750d000
0xfffffff0093d9970: 730a3591  add	x19, x19, #0xd42
0xfffffff0093d9974: b4098052  mov	w20, #0x4d
0xfffffff0093d9978: f35300a9  stp	x19, x20, [sp]
0xfffffff0093d997c: a009ff90  adrp	x0, #0xfffffff00750d000
0xfffffff0093d9980: 00343791  add	x0, x0, #0xdcd
0xfffffff0093d9984: a7f5bd97  bl	#0xfffffff008357020
0xfffffff0093d9988: f35300a9  stp	x19, x20, [sp]
0xfffffff0093d998c: 8009fff0  adrp	x0, #0xfffffff00750c000
0xfffffff0093d9990: 00002a91  add	x0, x0, #0xa80
0xfffffff0093d9994: c13fff90  adrp	x1, #0xfffffff007bd1000
0xfffffff0093d9998: 213844f9  ldr	x1, [x1, #0x870]
0xfffffff0093d999c: a309ffd0  adrp	x3, #0xfffffff00750f000
0xfffffff0093d99a0: 632c1591  add	x3, x3, #0x54b
0xfffffff0093d99a4: 02008052  mov	w2, #0
0xfffffff0093d99a8: e265bd97  bl	#0xfffffff008333130
0xfffffff0093d99ac: 22000014  b	#0xfffffff0093d9a34
0xfffffff0093d99b0: b309ff90  adrp	x19, #0xfffffff00750d000
0xfffffff0093d99b4: 730a3591  add	x19, x19, #0xd42
0xfffffff0093d99b8: 740b8052  mov	w20, #0x5b
0xfffffff0093d99bc: f35300a9  stp	x19, x20, [sp]
0xfffffff0093d99c0: a009ff90  adrp	x0, #0xfffffff00750d000
0xfffffff0093d99c4: 00383b91  add	x0, x0, #0xece
0xfffffff0093d99c8: 96f5bd97  bl	#0xfffffff008357020
0xfffffff0093d99cc: f35300a9  stp	x19, x20, [sp]
0xfffffff0093d99d0: 8009fff0  adrp	x0, #0xfffffff00750c000
0xfffffff0093d99d4: 00002a91  add	x0, x0, #0xa80
0xfffffff0093d99d8: c13fff90  adrp	x1, #0xfffffff007bd1000
0xfffffff0093d99dc: 213844f9  ldr	x1, [x1, #0x870]
0xfffffff0093d99e0: a309ffd0  adrp	x3, #0xfffffff00750f000
0xfffffff0093d99e4: 63d01891  add	x3, x3, #0x634
0xfffffff0093d99e8: 02008052  mov	w2, #0
0xfffffff0093d99ec: d165bd97  bl	#0xfffffff008333130
0xfffffff0093d99f0: 11000014  b	#0xfffffff0093d9a34
0xfffffff0093d99f4: b309ff90  adrp	x19, #0xfffffff00750d000
0xfffffff0093d99f8: 730a3591  add	x19, x19, #0xd42
