; Candidate 15221
; ADRP+ADD at VM 0xfffffff009b3fc20 (fileoff 0x2b3bc20): page=0x1fdae9000 add_imm=0xed0

0xfffffff009b3fba0: 40000054  b.eq	#0xfffffff009b3fba8
0xfffffff009b3fba4: 408e38d4  brk	#0xc472
0xfffffff009b3fba8: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b3fbac: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b3fbb0: e00313aa  mov	x0, x19
0xfffffff009b3fbb4: 010080d2  mov	x1, #0
0xfffffff009b3fbb8: f10308aa  mov	x17, x8
0xfffffff009b3fbbc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b3fbc0: 31093fd7  blraa	x9, x17
0xfffffff009b3fbc4: f60300aa  mov	x22, x0
0xfffffff009b3fbc8: 700240f9  ldr	x16, [x19]
0xfffffff009b3fbcc: f10313aa  mov	x17, x19
0xfffffff009b3fbd0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b3fbd4: 301ac1da  autda	x16, x17
0xfffffff009b3fbd8: f10310aa  mov	x17, x16
0xfffffff009b3fbdc: f147c1da  xpacd	x17
0xfffffff009b3fbe0: 1f0211eb  cmp	x16, x17
0xfffffff009b3fbe4: 40000054  b.eq	#0xfffffff009b3fbec
0xfffffff009b3fbe8: 408e38d4  brk	#0xc472
0xfffffff009b3fbec: 08620891  add	x8, x16, #0x218
0xfffffff009b3fbf0: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b3fbf4: e00313aa  mov	x0, x19
0xfffffff009b3fbf8: 010080d2  mov	x1, #0
0xfffffff009b3fbfc: f10308aa  mov	x17, x8
0xfffffff009b3fc00: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b3fc04: 31093fd7  blraa	x9, x17
0xfffffff009b3fc08: 48d7fed0  adrp	x8, #0xfffffff007629000
0xfffffff009b3fc0c: 08611a91  add	x8, x8, #0x698
0xfffffff009b3fc10: 49d7fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b3fc14: 29e11491  add	x9, x9, #0x538
0xfffffff009b3fc18: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b3fc1c: f60300a9  stp	x22, x0, [sp]
0xfffffff009b3fc20: 40d7feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b3fc24: 00403b91  add	x0, x0, #0xed0
0xfffffff009b3fc28: 63d7fe90  adrp	x3, #0xfffffff00762b000
0xfffffff009b3fc2c: 63702291  add	x3, x3, #0x89c
0xfffffff009b3fc30: e10315aa  mov	x1, x21
0xfffffff009b3fc34: e20314aa  mov	x2, x20
0xfffffff009b3fc38: 3ecd9f97  bl	#0xfffffff008333130
0xfffffff009b3fc3c: 00008052  mov	w0, #0
0xfffffff009b3fc40: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009b3fc44: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009b3fc48: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009b3fc4c: ff430191  add	sp, sp, #0x50
0xfffffff009b3fc50: ff0f5fd6  retab	
0xfffffff009b3fc54: 3e700094  bl	#0xfffffff009b5bd4c
0xfffffff009b3fc58: 7f2303d5  pacibsp	
0xfffffff009b3fc5c: ffc300d1  sub	sp, sp, #0x30
0xfffffff009b3fc60: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009b3fc64: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009b3fc68: fd830091  add	x29, sp, #0x20
0xfffffff009b3fc6c: c14300d0  adrp	x1, #0xfffffff00a3b9000
0xfffffff009b3fc70: 21e03b91  add	x1, x1, #0xef8
0xfffffff009b3fc74: 20909e97  bl	#0xfffffff0082e3cf4
0xfffffff009b3fc78: 200600b4  cbz	x0, #0xfffffff009b3fd3c
0xfffffff009b3fc7c: f30300aa  mov	x19, x0
0xfffffff009b3fc80: 146044b9  ldr	w20, [x0, #0x460]
0xfffffff009b3fc84: f40f00b9  str	w20, [sp, #0xc]
0xfffffff009b3fc88: 100040f9  ldr	x16, [x0]
0xfffffff009b3fc8c: f10300aa  mov	x17, x0
0xfffffff009b3fc90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b3fc94: 301ac1da  autda	x16, x17
0xfffffff009b3fc98: 11bf80d2  mov	x17, #0x5f8
0xfffffff009b3fc9c: 1002118b  add	x16, x16, x17
