; Candidate 7792
; ADRP+ADD at VM 0xfffffff00887fa08 (fileoff 0x187ba08): page=0x1fe96a000 add_imm=0xe80

0xfffffff00887f988: f82300a9  stp	x24, x8, [sp]
0xfffffff00887f98c: 404bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887f990: 00003a91  add	x0, x0, #0xe80
0xfffffff00887f994: 418cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887f998: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887f99c: e34eff90  adrp	x3, #0xfffffff00725b000
0xfffffff00887f9a0: 63481d91  add	x3, x3, #0x752
0xfffffff00887f9a4: 02008052  mov	w2, #0
0xfffffff00887f9a8: e2cdea97  bl	#0xfffffff008333130
0xfffffff00887f9ac: e00317aa  mov	x0, x23
0xfffffff00887f9b0: 51feff97  bl	#0xfffffff00887f2f4
0xfffffff00887f9b4: 608cffd0  adrp	x0, #0xfffffff007a0d000
0xfffffff00887f9b8: 00603491  add	x0, x0, #0xd18
0xfffffff00887f9bc: e10317aa  mov	x1, x23
0xfffffff00887f9c0: 535beb97  bl	#0xfffffff00835670c
0xfffffff00887f9c4: 1a000014  b	#0xfffffff00887fa2c
0xfffffff00887f9c8: f9d10094  bl	#0xfffffff0088b41ac
0xfffffff00887f9cc: f60300aa  mov	x22, x0
0xfffffff00887f9d0: 80008052  mov	w0, #4
0xfffffff00887f9d4: 9fefff97  bl	#0xfffffff00887b850
0xfffffff00887f9d8: e80314aa  mov	x8, x20
0xfffffff00887f9dc: e8d703a9  stp	x8, x21, [sp, #0x38]
0xfffffff00887f9e0: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887f9e4: 08351f91  add	x8, x8, #0x7cd
0xfffffff00887f9e8: 09168052  mov	w9, #0xb0
0xfffffff00887f9ec: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00887f9f0: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887f9f4: 08012091  add	x8, x8, #0x800
0xfffffff00887f9f8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00887f9fc: 680d8052  mov	w8, #0x6b
0xfffffff00887fa00: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887fa04: f60300f9  str	x22, [sp]
0xfffffff00887fa08: 404bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887fa0c: 00003a91  add	x0, x0, #0xe80
0xfffffff00887fa10: 418cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887fa14: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887fa18: e34eff90  adrp	x3, #0xfffffff00725b000
0xfffffff00887fa1c: 63501c91  add	x3, x3, #0x714
0xfffffff00887fa20: 02008052  mov	w2, #0
0xfffffff00887fa24: c3cdea97  bl	#0xfffffff008333130
0xfffffff00887fa28: 567d8012  mov	w22, #-0x3eb
0xfffffff00887fa2c: 600d8052  mov	w0, #0x6b
0xfffffff00887fa30: 01018052  mov	w1, #8
0xfffffff00887fa34: 67efff97  bl	#0xfffffff00887b7d0
0xfffffff00887fa38: 20050034  cbz	w0, #0xfffffff00887fadc
0xfffffff00887fa3c: 600d8052  mov	w0, #0x6b
0xfffffff00887fa40: 76efff97  bl	#0xfffffff00887b818
0xfffffff00887fa44: f80300aa  mov	x24, x0
0xfffffff00887fa48: d9d10094  bl	#0xfffffff0088b41ac
0xfffffff00887fa4c: f70300aa  mov	x23, x0
0xfffffff00887fa50: 00018052  mov	w0, #8
0xfffffff00887fa54: 7fefff97  bl	#0xfffffff00887b850
0xfffffff00887fa58: b8010034  cbz	w24, #0xfffffff00887fa8c
0xfffffff00887fa5c: e80316aa  mov	x8, x22
0xfffffff00887fa60: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00887fa64: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00887fa68: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887fa6c: 08012091  add	x8, x8, #0x800
0xfffffff00887fa70: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887fa74: 680d8052  mov	w8, #0x6b
0xfffffff00887fa78: 604dffb0  adrp	x0, #0xfffffff00722c000
0xfffffff00887fa7c: 00142491  add	x0, x0, #0x905
0xfffffff00887fa80: f72300a9  stp	x23, x8, [sp]
0xfffffff00887fa84: 77ded497  bl	#0xfffffff007db7460
